video_name,vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Animation_2160P-41dc,Animation_2160P-41dc,Animation,2160,3840,2160,yuv420p,15.0,1492998,264343,47.51324,99.204751,10,136.626705,9.752942,1,2488320,2023-12-20 17:54:45.320333,2023-12-20 17:55:38.384156,1,2023-12-20 17:55:38.469853,2023-12-20 17:55:43.406323,1,6165.421418738596,445.5272837057447,6610.948702444341
Animation_2160P-41dc,Animation_2160P-41dc,Animation,2160,3840,2160,yuv420p,15.0,1492998,98552,40.081277,96.983751,20,91.080225,5.898813,1,2488320,2023-12-20 17:55:43.481876,2023-12-20 17:57:13.737671,1,2023-12-20 17:57:13.754497,2023-12-20 17:57:19.891036,1,10953.82846736058,543.9728154352136,11497.801282795795
Animation_2160P-41dc,Animation_2160P-41dc,Animation,2160,3840,2160,yuv420p,15.0,1492998,25377,33.858691,87.499083,30,56.982675,3.580457,1,2488320,2023-12-20 17:57:19.965851,2023-12-20 17:58:15.977831,1,2023-12-20 17:58:16.011883,2023-12-20 17:58:19.442506,1,6501.746888367923,255.52483843954684,6757.27172680747
Animation_2160P-41dc,Animation_2160P-41dc,Animation,2160,3840,2160,yuv420p,15.0,1492998,5644,28.631495,58.190341,40,33.386002,2.844766,1,2488320,2023-12-20 17:58:19.508664,2023-12-20 17:58:52.291073,1,2023-12-20 17:58:52.320459,2023-12-20 17:58:54.651984,1,3544.8161559377563,146.98070438880004,3691.796860326556
Animation_2160P-41dc,Animation_2160P-41dc,Animation,2160,3840,2160,yuv420p,15.0,1492998,1038,22.808839,28.417252,50,23.380476,2.730592,1,2488320,2023-12-20 17:58:54.724692,2023-12-20 17:59:18.591451,1,2023-12-20 17:59:18.619280,2023-12-20 17:59:20.348955,1,2031.6415770319495,107.00726973571996,2138.648846767669
Animation_2160P-41dc,Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,76499,31.959274,91.846972,10,98.062863,4.52784,1,622080,2023-12-21 19:09:53.978831,2023-12-21 19:10:33.167941,1,2023-12-21 19:10:46.014551,2023-12-21 19:10:51.504008,1,4182.727627745685,339.88764773304,4522.6152754787245
Animation_2160P-41dc,Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,28136,31.275912,86.690164,20,25.460164,2.929451,1,622080,2023-12-21 19:11:01.588111,2023-12-21 19:11:26.857418,1,2023-12-21 19:11:36.898462,2023-12-21 19:11:42.299352,1,2822.966508684874,194.77792090413465,3017.7444295890086
Animation_2160P-41dc,Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,7490,29.387139,70.430703,30,16.554305,1.790747,1,622080,2023-12-21 19:11:52.382537,2023-12-21 19:12:09.236499,1,2023-12-21 19:12:19.278723,2023-12-21 19:12:21.213248,1,1707.8042823001967,71.31643588550588,1779.1207181857026
Animation_2160P-41dc,Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,1831,25.927272,43.027369,40,9.96509,1.224115,1,622080,2023-12-21 19:12:31.293632,2023-12-21 19:12:41.348688,1,2023-12-21 19:12:51.387898,2023-12-21 19:12:52.721978,1,916.4404047970854,32.36375359939091,948.8041583964764
Animation_2160P-41dc,Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,225,21.786368,23.530741,50,6.846682,0.843828,1,622080,2023-12-21 19:13:02.800090,2023-12-21 19:13:09.639822,1,2023-12-21 19:13:19.678879,2023-12-21 19:13:20.512378,1,438.0165845546575,16.954563890566668,454.9711484452242
