vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Animation_2160P-41dc,Animation,2160,116,3.512,3.061,3.334,3.669,0.743,0.713,0.76,0.695,3840,2160,yuv420p,15,,,
Gaming_2160P-2436,Gaming,2160,135,4.473,4.592,4.545,4.519,0.571,0.452,0.465,0.531,3840,2160,yuv420p,60,,,
Gaming_2160P-2cb1,Gaming,2160,129,4.481,4.544,4.575,4.463,0.517,0.468,0.449,0.487,3840,2160,yuv420p,59.94006309,,,
Gaming_2160P-2dc4,Gaming,2160,111,4.383,4.438,4.618,4.471,0.664,0.627,0.443,0.547,3840,2160,yuv420p,59.94006309,,,
Gaming_2160P-3002,Gaming,2160,108,4.337,4.358,4.283,4.336,0.485,0.458,0.597,0.482,3840,2160,yuv420p,24,,,
Gaming_2160P-31f6,Gaming,2160,133,4.311,4.317,4.263,4.316,0.517,0.469,0.578,0.615,3840,2160,yuv420p,60,,,
Gaming_2160P-348d,Gaming,2160,129,4.443,4.387,4.367,4.374,0.469,0.452,0.499,0.504,3840,2160,yuv420p,29.97002997,,,
Gaming_2160P-34a1,Gaming,2160,132,4.414,4.538,4.365,4.447,0.502,0.444,0.536,0.477,3840,2160,yuv420p,60,,,
Gaming_2160P-387f,Gaming,2160,115,4.513,4.426,4.494,4.48,0.447,0.501,0.435,0.475,3840,2160,yuv420p,29.97002997,,,
Gaming_2160P-3a25,Gaming,2160,127,4.502,4.514,4.601,4.539,0.443,0.449,0.44,0.54,3840,2160,yuv420p,60,,,
Gaming_2160P-3aec,Gaming,2160,132,4.646,4.611,4.374,4.46,0.386,0.404,0.622,0.477,3840,2160,yuv420p,60,,,
Gaming_2160P-3ce4,Gaming,2160,119,4.529,4.418,4.494,4.465,0.466,0.518,0.52,0.503,3840,2160,yuv420p,60,,,
Gaming_2160P-4139,Gaming,2160,107,3.923,3.57,3.45,3.994,0.597,0.701,0.757,0.688,3840,2160,yuv420p,29.97002997,,,
Gaming_2160P-416f,Gaming,2160,133,4.332,4.409,4.327,4.395,0.595,0.465,0.548,0.494,3840,2160,yuv420p,29.97002997,,,
Gaming_2160P-4258,Gaming,2160,130,4.067,3.794,3.847,4.152,0.662,0.605,0.64,0.654,3840,2160,yuv420p,60,,,
Gaming_2160P-5c33,Gaming,2160,115,2.834,2.711,2.954,2.468,0.913,0.914,0.767,0.911,3840,2160,yuv420p,29.97002997,,,
