vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy,duplicate_bitrate_rawvideo (kb/s)
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,47347,28.970299,31.183827,10,2023-10-06 14:30:48.650,2023-10-06 14:31:42.869,1,2023-10-06 14:31:56.445,2023-10-06 14:32:08.107,1,3699.5082804587146,508.6135102222224,4208.121790680937,2488320
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,10036,29.025591,30.353442,20,2023-10-06 14:32:26.601,2023-10-06 14:33:01.272,1,2023-10-06 14:33:14.745,2023-10-06 14:33:23.757,1,2345.21454375,342.88557199999997,2688.10011575,2488320
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,2549,29.171068,25.648487,30,2023-10-06 14:33:38.776,2023-10-06 14:34:06.387,1,2023-10-06 14:34:20.374,2023-10-06 14:34:28.379,1,1625.7377717424242,290.45230819444447,1916.1900799368686,2488320
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,679,29.214966,14.198733,40,2023-10-06 14:34:49.871,2023-10-06 14:35:25.256,1,2023-10-06 14:35:38.733,2023-10-06 14:35:46.411,1,1509.1723192982454,278.54680287499997,1787.7191221732453,2488320
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,195,27.948712,2.285996,50,2023-10-06 14:36:01.269,2023-10-06 14:36:38.786,1,2023-10-06 14:36:52.315,2023-10-06 14:37:00.198,1,1352.369796506667,274.3878808181818,1626.7576773248488,2488320
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,21504,29.029578,25.736101,10,2023-10-06 14:37:31.344,2023-10-06 14:38:02.720,1,2023-10-06 14:38:16.096,2023-10-06 14:38:18.498,1,1838.2502815661371,118.77569733333335,1957.0259788994704,2488320
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,4565,29.087038,24.518526,20,2023-10-06 14:38:33.972,2023-10-06 14:38:51.395,1,2023-10-06 14:39:04.942,2023-10-06 14:39:06.766,1,1062.3538737777778,80.68970666666668,1143.0435804444446,2488320
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,1164,29.212960,18.391568,30,2023-10-06 14:39:20.926,2023-10-06 14:39:37.924,1,2023-10-06 14:39:51.517,2023-10-06 14:39:52.832,1,825.9448387878791,54.09471666666666,880.0395554545457,2488320
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,307,29.173557,7.133582,40,2023-10-06 14:40:07.186,2023-10-06 14:40:28.478,1,2023-10-06 14:40:42.062,2023-10-06 14:40:43.399,1,792.494492412698,53.59810166666667,846.0925940793647,2488320
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,90,27.792125,1.125539,50,2023-10-06 14:40:57.965,2023-10-06 14:41:21.622,1,2023-10-06 14:41:35.215,2023-10-06 14:41:36.553,1,747.7148866099288,51.71593000000001,799.4308166099288,2488320
