vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,66485,38.172140,94.466870,10,47.644969,55.901238,,,,,,,,,,,
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,19500,36.072485,85.271956,20,14.280954,2.051611,,,,,,,,,,,
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,3927,32.294016,60.292448,30,6.132422,2.088737,,,,,,,,,,,
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,829,28.211930,20.726267,40,4.942769,2.023393,,,,,,,,,,,
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,247,24.984348,0.589496,50,4.958015,2.02532,,,,,,,,,,,
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,31188,33.850724,80.469562,10,9.733917,1.135963,,,,,,,,,,,
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,8777,32.807363,67.932669,20,6.61205,0.955871,,,,,,,,,,,
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,1832,30.307917,41.139218,30,2.985064,0.943412,,,,,,,,,,,
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,373,26.988781,8.919468,40,2.759425,0.958799,,,,,,,,,,,
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,112,24.107715,0.162184,50,3.27194,0.950372,,,,,,,,,,,
