vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,47347,28.970299,31.183827,10,51.954293,39.20477,12,622080,2023-11-07 02:41:00.723,2023-11-07 02:44:39.227,1,2023-11-07 02:44:54.002,2023-11-07 02:45:15.897,1,3785.1011937840376,307.4825260683759,4092.5837198524137
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,10036,29.025591,30.353442,20,12.285778,2.439816,12,622080,2023-11-07 02:59:25.330,2023-11-07 03:02:05.405,1,2023-11-07 03:02:19.088,2023-11-07 03:02:29.434,1,2494.3593928225796,159.1499315,2653.5093243225797
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,2549,29.171068,25.648487,30,10.012172,2.409948,12,622080,2023-11-07 03:19:22.877,2023-11-07 03:21:19.446,1,2023-11-07 03:21:33.601,2023-11-07 03:21:39.661,1,1682.670115070832,103.04146249999998,1785.711577570832
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,679,29.214966,14.198733,40,12.119438,2.403759,12,622080,2023-11-07 03:35:09.577,2023-11-07 03:37:49.693,1,2023-11-07 03:38:03.829,2023-11-07 03:38:08.500,1,1634.709217842106,79.41911,1714.128327842106
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,195,27.948712,2.285996,50,12.772323,2.392662,12,622080,2023-11-07 03:55:31.493,2023-11-07 03:58:04.712,1,2023-11-07 03:58:18.740,2023-11-07 03:58:22.669,1,1377.5838331638522,63.19632791666666,1440.7801610805188
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,21504,29.029578,25.736101,10,9.570265,1.515498,12,276480,2023-11-07 04:02:07.998,2023-11-07 04:04:06.856,1,2023-11-07 04:04:22.552,2023-11-07 04:04:38.578,1,1815.7450466017626,168.22358649999998,1983.9686331017626
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,4565,29.087038,24.518526,20,6.498164,1.278752,12,276480,2023-11-07 04:09:30.012,2023-11-07 04:10:52.478,1,2023-11-07 04:11:06.321,2023-11-07 04:11:11.171,1,1169.330246706349,63.20531547619047,1232.5355621825395
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,1164,29.212960,18.391568,30,6.258633,1.194112,12,276480,2023-11-07 04:14:37.880,2023-11-07 04:15:54.838,1,2023-11-07 04:16:09.850,2023-11-07 04:16:11.286,1,905.538278244444,23.79212666666667,929.3304049111107
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,307,29.173557,7.133582,40,7.482341,1.162801,12,276480,2023-11-07 04:22:34.123,2023-11-07 04:24:14.635,1,2023-11-07 04:24:30.843,2023-11-07 04:25:04.784,3,909.4262320473366,22.04101375,931.4672457973367
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,90,27.792125,1.125539,50,8.461031,1.136244,12,276480,2023-11-07 04:29:47.261,2023-11-07 04:31:35.551,1,2023-11-07 04:31:49.893,2023-11-07 04:32:07.786,2,844.3439510837244,32.225807999999994,876.5697590837244
