vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,47347,28.970299,31.183827,10,22.231651,5.766847,5,622080,2023-11-02 21:45:13.309,2023-11-02 21:46:43.666,1,2023-11-02 21:46:57.239,2023-11-02 21:47:05.726,1,3715.6545700927163,281.21052119999996,3996.8650912927164
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,10036,29.025591,30.353442,20,12.428303,2.401559,2,622080,2023-11-02 21:47:27.563,2023-11-02 21:47:52.151,1,2023-11-02 21:48:05.690,2023-11-02 21:48:06.636,1,2367.9153243750006,89.7754,2457.6907243750006
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,2549,29.171068,25.648487,30,10.215932,2.440408,2,622080,2023-11-02 21:48:25.712,2023-11-02 21:48:45.073,1,2023-11-02 21:49:02.527,2023-11-02 21:49:19.186,2,1634.9571236805552,101.14010475,1736.0972284305553
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,679,29.214966,14.198733,40,12.59038,2.395846,2,622080,2023-11-02 21:49:43.052,2023-11-02 21:50:09.960,1,2023-11-02 21:50:38.567,2023-11-02 21:50:41.367,1,1612.5675282127654,115.01728,1727.5848082127654
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,195,27.948712,2.285996,50,13.036948,2.380556,2,622080,2023-11-02 21:51:04.093,2023-11-02 21:51:30.280,1,2023-11-02 21:51:43.724,2023-11-02 21:52:28.862,4,1405.574665928572,52.542711249999996,1458.1173771785718
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,21504,29.029578,25.736101,10,9.825734,1.437537,3,276480,2023-11-02 21:53:08.509,2023-11-02 21:53:35.461,1,2023-11-02 21:53:08.509,2023-11-02 21:53:35.461,1,1675.8627823999996,1675.8627823999996,3351.725564799999
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,4565,29.087038,24.518526,20,6.464164,1.242802,4,276480,2023-11-02 21:54:29.109,2023-11-02 21:54:55.316,1,2023-11-02 21:55:08.874,2023-11-02 21:55:09.729,1,1136.3906505792684,31.816687499999997,1168.2073380792683
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,1164,29.212960,18.391568,30,6.423776,1.162869,4,276480,2023-11-02 21:55:28.245,2023-11-02 21:55:53.648,1,2023-11-02 21:56:07.367,2023-11-02 21:56:08.690,1,888.54597523125,29.28162825,917.8276034812501
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,307,29.173557,7.133582,40,7.766109,1.138196,4,276480,2023-11-02 21:56:27.739,2023-11-02 21:57:04.180,1,2023-11-02 21:57:45.090,2023-11-02 21:58:01.646,2,957.7466232459681,60.152209000000006,1017.898832245968
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,90,27.792125,1.125539,50,8.368531,1.132588,4,276480,2023-11-02 21:58:20.495,2023-11-02 21:58:56.318,1,2023-11-02 21:59:09.939,2023-11-02 21:59:37.084,2,836.5571266739132,,
