vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,66485,38.172140,94.466870,10,47.644969,55.901238,12,1244160,2023-11-07 13:32:47.421,2023-11-07 13:34:59.097,1,2023-11-07 13:35:13.415,2023-11-07 13:35:33.789,1,2522.4465489189192,314.04030844444446,2836.486857363364
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,19500,36.072485,85.271956,20,14.280954,2.051611,12,1244160,2023-11-07 13:50:26.283,2023-11-07 13:52:02.966,1,2023-11-07 13:52:16.494,2023-11-07 13:52:27.519,1,1857.725478730158,164.47411458333335,2022.1995933134915
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,3927,32.294016,60.292448,30,6.132422,2.088737,12,1244160,2023-11-07 14:02:01.705,2023-11-07 14:03:21.743,1,2023-11-07 14:04:07.196,2023-11-07 14:04:12.288,1,1435.108433608695,81.83645518518517,1516.9448887938802
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,829,28.211930,20.726267,40,4.942769,2.023393,12,1244160,2023-11-07 14:13:50.355,2023-11-07 14:14:50.667,1,2023-11-07 14:15:14.250,2023-11-07 14:15:15.091,1,989.3042609824561,13.308824999999999,1002.613085982456
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24,4767631,247,24.984348,0.589496,50,4.958015,2.02532,12,1244160,2023-11-07 14:27:32.794,2023-11-07 14:28:45.729,1,2023-11-07 14:29:03.532,2023-11-07 14:29:05.937,1,862.0010377430552,38.724508333333326,900.7255460763886
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,31188,33.850724,80.469562,10,9.733917,1.135963,12,552960,2023-11-07 14:34:38.632,2023-11-07 14:35:43.521,1,2023-11-07 14:35:57.307,2023-11-07 14:36:06.579,1,1187.2418065409943,134.7639749019608,1322.0057814429551
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,8777,32.807363,67.932669,20,6.61205,0.955871,12,552960,2023-11-07 14:42:10.894,2023-11-07 14:42:56.743,1,2023-11-07 14:43:10.483,2023-11-07 14:43:15.594,1,853.9930258750002,67.46993240740743,921.4629582824076
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,1832,30.307917,41.139218,30,2.985064,0.943412,12,552960,2023-11-07 14:45:53.354,2023-11-07 14:46:31.549,1,2023-11-07 14:46:45.534,2023-11-07 14:46:48.904,1,634.6348721846845,40.71168619047619,675.3465583751606
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,373,26.988781,8.919468,40,2.759425,0.958799,12,552960,2023-11-07 14:52:09.568,2023-11-07 14:52:40.432,1,2023-11-07 14:52:54.645,2023-11-07 14:52:56.939,1,444.55797245901636,23.684164041666666,468.24213650068305
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24,4767631,112,24.107715,0.162184,50,3.27194,0.950372,12,552960,2023-11-07 14:56:06.784,2023-11-07 14:56:47.147,1,2023-11-07 14:57:01.320,2023-11-07 14:57:20.129,2,421.44243089144726,13.321404833333332,434.7638357247806
