vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-07 02:44:54.002000'), Timestamp('2023-11-07 02:44:55.200000'), Timestamp('2023-11-07 02:44:56.067000'), Timestamp('2023-11-07 02:44:56.909000'), Timestamp('2023-11-07 02:44:57.392000'), Timestamp('2023-11-07 02:44:57.881000'), Timestamp('2023-11-07 02:44:58.363000'), Timestamp('2023-11-07 02:44:59.203000'), Timestamp('2023-11-07 02:45:00.082000'), Timestamp('2023-11-07 02:45:00.917000'), Timestamp('2023-11-07 02:45:01.431000'), Timestamp('2023-11-07 02:45:01.915000'), Timestamp('2023-11-07 02:45:02.430000'), Timestamp('2023-11-07 02:45:02.914000'), Timestamp('2023-11-07 02:45:03.428000'), Timestamp('2023-11-07 02:45:03.912000'), Timestamp('2023-11-07 02:45:04.426000'), Timestamp('2023-11-07 02:45:04.911000'), Timestamp('2023-11-07 02:45:05.425000'), Timestamp('2023-11-07 02:45:05.909000'), Timestamp('2023-11-07 02:45:06.424000'), Timestamp('2023-11-07 02:45:06.908000'), Timestamp('2023-11-07 02:45:07.423000'), Timestamp('2023-11-07 02:45:07.907000'), Timestamp('2023-11-07 02:45:08.422000'), Timestamp('2023-11-07 02:45:08.906000'), Timestamp('2023-11-07 02:45:09.421000'), Timestamp('2023-11-07 02:45:09.904000'), Timestamp('2023-11-07 02:45:10.419000'), Timestamp('2023-11-07 02:45:10.903000'), Timestamp('2023-11-07 02:45:11.418000'), Timestamp('2023-11-07 02:45:11.902000'), Timestamp('2023-11-07 02:45:12.417000'), Timestamp('2023-11-07 02:45:12.901000'), Timestamp('2023-11-07 02:45:13.416000'), Timestamp('2023-11-07 02:45:13.900000'), Timestamp('2023-11-07 02:45:14.415000'), Timestamp('2023-11-07 02:45:14.899000'), Timestamp('2023-11-07 02:45:15.414000'), Timestamp('2023-11-07 02:45:15.897000')]]","[[155.21, 176.57, 155.27, 173.63, 171.58, 180.35, 152.7, 182.1, 146.82, 167.17, 173.38, 182.72, 158.18, 168.45, 170.85, 174.58, 153.41, 169.68, 170.92, 172.89, 151.49, 179.01, 174.1, 169.55, 154.1, 181.53, 176.32, 162.87, 158.83, 181.98, 175.73, 151.2, 166.0, 176.36, 179.12, 148.79, 169.59, 178.22, 181.11, 153.69]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-07 03:02:19.088000'), Timestamp('2023-11-07 03:02:19.931000'), Timestamp('2023-11-07 03:02:20.760000'), Timestamp('2023-11-07 03:02:21.254000'), Timestamp('2023-11-07 03:02:21.740000'), Timestamp('2023-11-07 03:02:22.222000'), Timestamp('2023-11-07 03:02:22.702000'), Timestamp('2023-11-07 03:02:23.184000'), Timestamp('2023-11-07 03:02:23.664000'), Timestamp('2023-11-07 03:02:24.146000'), Timestamp('2023-11-07 03:02:24.626000'), Timestamp('2023-11-07 03:02:25.108000'), Timestamp('2023-11-07 03:02:25.587000'), Timestamp('2023-11-07 03:02:26.069000'), Timestamp('2023-11-07 03:02:26.549000'), Timestamp('2023-11-07 03:02:27.031000'), Timestamp('2023-11-07 03:02:27.512000'), Timestamp('2023-11-07 03:02:27.992000'), Timestamp('2023-11-07 03:02:28.472000'), Timestamp('2023-11-07 03:02:28.954000'), Timestamp('2023-11-07 03:02:29.434000')]]","[[189.15, 184.59, 174.55, 188.57, 181.36, 170.16, 183.25, 172.97, 189.2, 198.78, 192.31, 192.7, 180.29, 187.31, 185.04, 193.12, 179.74, 191.86, 174.61, 182.3, 184.76]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-07 03:21:33.601000'), Timestamp('2023-11-07 03:21:34.443000'), Timestamp('2023-11-07 03:21:35.312000'), Timestamp('2023-11-07 03:21:36.157000'), Timestamp('2023-11-07 03:21:36.646000'), Timestamp('2023-11-07 03:21:37.128000'), Timestamp('2023-11-07 03:21:37.610000'), Timestamp('2023-11-07 03:21:38.826000'), Timestamp('2023-11-07 03:21:39.661000')]]","[[210.4, 206.77, 209.32, 204.28, 197.94, 199.84, 204.56, 199.23, 198.86]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-07 03:38:03.829000'), Timestamp('2023-11-07 03:38:04.657000'), Timestamp('2023-11-07 03:38:05.139000'), Timestamp('2023-11-07 03:38:05.618000'), Timestamp('2023-11-07 03:38:06.100000'), Timestamp('2023-11-07 03:38:06.579000'), Timestamp('2023-11-07 03:38:07.061000'), Timestamp('2023-11-07 03:38:07.540000'), Timestamp('2023-11-07 03:38:08.022000'), Timestamp('2023-11-07 03:38:08.500000')]]","[[202.47, 207.83, 204.14, 207.55, 201.94, 199.21, 205.7, 205.49, 201.95, 203.07]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-07 03:58:18.740000'), Timestamp('2023-11-07 03:58:19.201000'), Timestamp('2023-11-07 03:58:19.684000'), Timestamp('2023-11-07 03:58:20.199000'), Timestamp('2023-11-07 03:58:20.682000'), Timestamp('2023-11-07 03:58:21.197000'), Timestamp('2023-11-07 03:58:21.680000'), Timestamp('2023-11-07 03:58:22.195000'), Timestamp('2023-11-07 03:58:22.669000')]]","[[186.2, 192.97, 192.55, 197.4, 192.88, 191.6, 197.55, 192.97, 191.06]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-07 04:04:22.552000'), Timestamp('2023-11-07 04:04:23.388000'), Timestamp('2023-11-07 04:04:23.876000'), Timestamp('2023-11-07 04:04:24.359000'), Timestamp('2023-11-07 04:04:25.202000'), Timestamp('2023-11-07 04:04:26.071000'), Timestamp('2023-11-07 04:04:26.914000'), Timestamp('2023-11-07 04:04:27.394000'), Timestamp('2023-11-07 04:04:27.874000'), Timestamp('2023-11-07 04:04:28.358000'), Timestamp('2023-11-07 04:04:29.199000'), Timestamp('2023-11-07 04:04:30.069000'), Timestamp('2023-11-07 04:04:30.913000'), Timestamp('2023-11-07 04:04:31.393000'), Timestamp('2023-11-07 04:04:31.874000'), Timestamp('2023-11-07 04:04:32.358000'), Timestamp('2023-11-07 04:04:33.200000'), Timestamp('2023-11-07 04:04:34.069000'), Timestamp('2023-11-07 04:04:34.914000'), Timestamp('2023-11-07 04:04:35.403000'), Timestamp('2023-11-07 04:04:35.885000'), Timestamp('2023-11-07 04:04:36.375000'), Timestamp('2023-11-07 04:04:36.857000'), Timestamp('2023-11-07 04:04:37.699000'), Timestamp('2023-11-07 04:04:38.578000')]]","[[160.59, 104.91, 78.627, 88.51799999999999, 149.9, 158.62, 140.73, 144.87, 142.26, 126.0, 131.92, 79.139, 78.279, 78.12899999999999, 111.04, 136.65, 140.49, 138.54, 143.02, 137.08, 153.94, 122.26, 149.44, 128.16, 122.08]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-07 04:11:06.321000'), Timestamp('2023-11-07 04:11:07.163000'), Timestamp('2023-11-07 04:11:07.646000'), Timestamp('2023-11-07 04:11:08.133000'), Timestamp('2023-11-07 04:11:08.617000'), Timestamp('2023-11-07 04:11:09.458000'), Timestamp('2023-11-07 04:11:10.327000'), Timestamp('2023-11-07 04:11:11.171000')]]","[[158.0, 163.6, 154.86, 151.49, 148.9, 148.15, 169.69, 158.94]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-07 04:16:09.850000'), Timestamp('2023-11-07 04:16:10.314000'), Timestamp('2023-11-07 04:16:10.796000'), Timestamp('2023-11-07 04:16:11.286000')]]","[[206.11, 195.99, 194.36, 209.18]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-07 04:24:30.843000')], [Timestamp('2023-11-07 04:24:45.952000'), Timestamp('2023-11-07 04:24:46.802000'), Timestamp('2023-11-07 04:24:47.638000')], [Timestamp('2023-11-07 04:25:03.932000'), Timestamp('2023-11-07 04:25:04.784000')]]","[[206.71], [211.48, 210.39, 79.72800000000001], [203.46, 201.01]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-07 04:31:49.893000')], [Timestamp('2023-11-07 04:32:05.148000'), Timestamp('2023-11-07 04:32:05.982000'), Timestamp('2023-11-07 04:32:06.462000'), Timestamp('2023-11-07 04:32:06.946000'), Timestamp('2023-11-07 04:32:07.786000')]]","[[209.66], [212.46, 207.54, 86.838, 79.53, 78.505]]",[],[]
