vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-02 21:46:57.239000'), Timestamp('2023-11-02 21:46:57.728000'), Timestamp('2023-11-02 21:46:58.216000'), Timestamp('2023-11-02 21:46:58.698000'), Timestamp('2023-11-02 21:46:59.179000'), Timestamp('2023-11-02 21:47:00.029000'), Timestamp('2023-11-02 21:47:00.898000'), Timestamp('2023-11-02 21:47:01.733000'), Timestamp('2023-11-02 21:47:02.248000'), Timestamp('2023-11-02 21:47:02.731000'), Timestamp('2023-11-02 21:47:03.246000'), Timestamp('2023-11-02 21:47:03.730000'), Timestamp('2023-11-02 21:47:04.244000'), Timestamp('2023-11-02 21:47:04.728000'), Timestamp('2023-11-02 21:47:05.243000'), Timestamp('2023-11-02 21:47:05.726000')]]","[[172.67, 165.98, 148.73, 169.89, 167.56, 152.68, 175.3, 166.86, 150.74, 173.69, 170.15, 163.02, 151.15, 177.74, 178.91, 163.86]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-02 21:48:05.690000'), Timestamp('2023-11-02 21:48:06.153000'), Timestamp('2023-11-02 21:48:06.636000')]]","[[187.25, 192.35, 176.53]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-02 21:49:02.527000'), Timestamp('2023-11-02 21:49:03.014000')], [Timestamp('2023-11-02 21:49:16.499000'), Timestamp('2023-11-02 21:49:16.986000'), Timestamp('2023-11-02 21:49:17.469000'), Timestamp('2023-11-02 21:49:18.308000'), Timestamp('2023-11-02 21:49:19.186000')]]","[[108.06, 199.94], [193.35, 171.28, 79.92699999999999, 79.351, 77.929]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-02 21:50:38.567000'), Timestamp('2023-11-02 21:50:39.421000'), Timestamp('2023-11-02 21:50:39.887000'), Timestamp('2023-11-02 21:50:40.370000'), Timestamp('2023-11-02 21:50:40.884000'), Timestamp('2023-11-02 21:50:41.367000')]]","[[79.485, 78.581, 81.95100000000001, 93.001, 77.758, 77.777]]",[],[]
Gaming_2160P-2dc4_downsample_1080p,"[[Timestamp('2023-11-02 21:51:43.724000'), Timestamp('2023-11-02 21:51:44.217000')], [Timestamp('2023-11-02 21:51:57.937000'), Timestamp('2023-11-02 21:51:58.794000')], [Timestamp('2023-11-02 21:52:28.012000'), Timestamp('2023-11-02 21:52:28.862000')], [Timestamp('2023-11-02 21:52:28.012000'), Timestamp('2023-11-02 21:52:28.862000')]]","[[177.35, 79.054], [104.02, 79.58], [143.39, 78.018], [143.39, 78.018]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[['2023-11-02 21:53:08.509', '2023-11-02 21:53:09.360', '2023-11-02 21:53:10.196', '2023-11-02 21:53:10.711', '2023-11-02 21:53:11.195', '2023-11-02 21:53:11.710', '2023-11-02 21:53:12.193', '2023-11-02 21:53:12.708', '2023-11-02 21:53:13.192', '2023-11-02 21:53:13.707', '2023-11-02 21:53:14.191', '2023-11-02 21:53:14.706', '2023-11-02 21:53:15.190', '2023-11-02 21:53:15.705', '2023-11-02 21:53:16.189', '2023-11-02 21:53:16.704', '2023-11-02 21:53:17.188', '2023-11-02 21:53:17.703', '2023-11-02 21:53:18.187', '2023-11-02 21:53:18.701', '2023-11-02 21:53:19.185', '2023-11-02 21:53:19.700', '2023-11-02 21:53:20.184', '2023-11-02 21:53:20.699', '2023-11-02 21:53:21.183', '2023-11-02 21:53:21.698', '2023-11-02 21:53:22.182', '2023-11-02 21:53:22.697', '2023-11-02 21:53:23.181', '2023-11-02 21:53:23.696', '2023-11-02 21:53:24.180', '2023-11-02 21:53:24.695', '2023-11-02 21:53:25.179', '2023-11-02 21:53:25.694', '2023-11-02 21:53:26.178', '2023-11-02 21:53:26.666', '2023-11-02 21:53:27.149', '2023-11-02 21:53:27.637', '2023-11-02 21:53:28.120', '2023-11-02 21:53:28.960', '2023-11-02 21:53:29.829', '2023-11-02 21:53:30.673', '2023-11-02 21:53:31.189', '2023-11-02 21:53:31.672', '2023-11-02 21:53:32.188', '2023-11-02 21:53:32.670', '2023-11-02 21:53:33.159', '2023-11-02 21:53:33.641', '2023-11-02 21:53:34.130', '2023-11-02 21:53:34.611', '2023-11-02 21:53:35.461']]","[[196.84, 192.25, 200.43, 184.46, 185.86, 194.24, 200.44, 197.44, 195.55, 195.13, 191.24, 166.89, 168.28, 201.02, 159.94, 82.99, 186.24, 188.73, 197.31, 195.53, 195.18, 196.94, 200.26, 181.59, 188.07, 197.42, 183.97, 199.23, 198.45, 192.09, 183.32, 169.6, 167.37, 200.49, 185.59, 186.88, 144.99, 194.11, 201.46, 197.96, 183.54, 186.29, 197.02, 199.13, 193.06, 196.33, 196.56, 186.55, 170.1, 172.57, 178.38]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-02 21:55:08.874000'), Timestamp('2023-11-02 21:55:09.729000')]]","[[148.85, 142.91]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-02 21:56:07.367000'), Timestamp('2023-11-02 21:56:08.223000'), Timestamp('2023-11-02 21:56:08.690000')]]","[[97.665, 79.39699999999999, 90.913]]",[],[]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-02 21:57:45.090000')], [Timestamp('2023-11-02 21:57:59.834000'), Timestamp('2023-11-02 21:58:00.314000'), Timestamp('2023-11-02 21:58:00.796000'), Timestamp('2023-11-02 21:58:01.646000')]]","[[151.4], [207.18, 111.66, 79.51899999999999, 79.425]]",[[78.63]],[[Timestamp('2023-11-02 21:57:30.783000')]]
Gaming_2160P-2dc4_downsample_720p,"[[Timestamp('2023-11-02 21:59:09.939000')], [Timestamp('2023-11-02 21:59:37.084000')]]","[[163.13], [93.87700000000001]]",[],[]
