vid,time_stamp,power,failure_decoding_power,failure_decoding_time
HDR_2160P-06ae_downsample_1080p,"[[Timestamp('2023-11-07 13:35:13.415000'), Timestamp('2023-11-07 13:35:14.615000'), Timestamp('2023-11-07 13:35:15.483000'), Timestamp('2023-11-07 13:35:16.316000'), Timestamp('2023-11-07 13:35:16.797000'), Timestamp('2023-11-07 13:35:17.280000'), Timestamp('2023-11-07 13:35:18.123000'), Timestamp('2023-11-07 13:35:18.992000'), Timestamp('2023-11-07 13:35:19.835000'), Timestamp('2023-11-07 13:35:20.315000'), Timestamp('2023-11-07 13:35:20.795000'), Timestamp('2023-11-07 13:35:21.279000'), Timestamp('2023-11-07 13:35:22.121000'), Timestamp('2023-11-07 13:35:23'), Timestamp('2023-11-07 13:35:23.834000'), Timestamp('2023-11-07 13:35:24.323000'), Timestamp('2023-11-07 13:35:24.805000'), Timestamp('2023-11-07 13:35:25.295000'), Timestamp('2023-11-07 13:35:25.777000'), Timestamp('2023-11-07 13:35:26.628000'), Timestamp('2023-11-07 13:35:27.498000'), Timestamp('2023-11-07 13:35:28.333000'), Timestamp('2023-11-07 13:35:28.820000'), Timestamp('2023-11-07 13:35:29.303000'), Timestamp('2023-11-07 13:35:29.791000'), Timestamp('2023-11-07 13:35:30.275000'), Timestamp('2023-11-07 13:35:31.116000'), Timestamp('2023-11-07 13:35:31.995000'), Timestamp('2023-11-07 13:35:32.828000'), Timestamp('2023-11-07 13:35:33.309000'), Timestamp('2023-11-07 13:35:33.789000')]]","[[185.33, 182.09, 189.1, 182.16, 185.78, 187.77, 177.93, 189.04, 187.68, 182.48, 182.77, 191.27, 183.58, 188.29, 175.7, 183.98, 192.37, 183.83, 177.74, 192.17, 187.52, 182.86, 185.01, 181.81, 182.99, 186.28, 184.96, 191.17, 184.6, 180.7, 188.18]]",[],[]
HDR_2160P-06ae_downsample_1080p,"[[Timestamp('2023-11-07 13:52:16.494000'), Timestamp('2023-11-07 13:52:16.982000'), Timestamp('2023-11-07 13:52:17.466000'), Timestamp('2023-11-07 13:52:18.307000'), Timestamp('2023-11-07 13:52:19.176000'), Timestamp('2023-11-07 13:52:20.021000'), Timestamp('2023-11-07 13:52:20.510000'), Timestamp('2023-11-07 13:52:20.992000'), Timestamp('2023-11-07 13:52:21.481000'), Timestamp('2023-11-07 13:52:21.963000'), Timestamp('2023-11-07 13:52:22.805000'), Timestamp('2023-11-07 13:52:23.684000'), Timestamp('2023-11-07 13:52:24.520000'), Timestamp('2023-11-07 13:52:25.035000'), Timestamp('2023-11-07 13:52:25.520000'), Timestamp('2023-11-07 13:52:26.035000'), Timestamp('2023-11-07 13:52:26.519000'), Timestamp('2023-11-07 13:52:27.035000'), Timestamp('2023-11-07 13:52:27.519000')]]","[[185.11, 178.76, 182.89, 182.4, 178.57, 170.05, 184.18, 173.72, 182.87, 175.38, 178.96, 178.05, 181.37, 176.16, 180.91, 175.59, 182.16, 175.22, 181.06]]",[],[]
HDR_2160P-06ae_downsample_1080p,"[[Timestamp('2023-11-07 14:04:07.196000'), Timestamp('2023-11-07 14:04:08.065000'), Timestamp('2023-11-07 14:04:08.918000'), Timestamp('2023-11-07 14:04:09.407000'), Timestamp('2023-11-07 14:04:09.888000'), Timestamp('2023-11-07 14:04:10.367000'), Timestamp('2023-11-07 14:04:10.849000'), Timestamp('2023-11-07 14:04:11.328000'), Timestamp('2023-11-07 14:04:11.809000'), Timestamp('2023-11-07 14:04:12.288000')]]","[[193.31, 192.3, 195.88, 194.68, 188.16, 194.77, 191.57, 191.97, 193.09, 193.85]]","[[195.54, 195.21, 194.17, 189.32, 191.47, 189.12, 191.83, 92.537, 109.62, 80.061, 79.438, 79.562, 79.265, 79.706, 78.789, 78.51, 78.668]]","[[Timestamp('2023-11-07 14:03:35.997000'), Timestamp('2023-11-07 14:03:36.838000'), Timestamp('2023-11-07 14:03:37.663000'), Timestamp('2023-11-07 14:03:38.155000'), Timestamp('2023-11-07 14:03:38.633000'), Timestamp('2023-11-07 14:03:39.114000'), Timestamp('2023-11-07 14:03:39.573000'), Timestamp('2023-11-07 14:03:40.804000'), Timestamp('2023-11-07 14:03:41.646000'), Timestamp('2023-11-07 14:03:42.499000'), Timestamp('2023-11-07 14:03:42.990000'), Timestamp('2023-11-07 14:03:43.469000'), Timestamp('2023-11-07 14:03:43.951000'), Timestamp('2023-11-07 14:03:44.430000'), Timestamp('2023-11-07 14:03:44.912000'), Timestamp('2023-11-07 14:03:45.391000'), Timestamp('2023-11-07 14:03:45.873000')]]"
HDR_2160P-06ae_downsample_1080p,"[[Timestamp('2023-11-07 14:15:14.250000'), Timestamp('2023-11-07 14:15:15.091000')]]","[[189.9, 189.22]]",[],[]
HDR_2160P-06ae_downsample_1080p,"[[Timestamp('2023-11-07 14:29:03.532000'), Timestamp('2023-11-07 14:29:04.012000'), Timestamp('2023-11-07 14:29:04.494000'), Timestamp('2023-11-07 14:29:04.974000'), Timestamp('2023-11-07 14:29:05.457000'), Timestamp('2023-11-07 14:29:05.937000')]]","[[190.46, 195.4, 193.42, 195.31, 191.51, 196.7]]",[],[]
HDR_2160P-06ae_downsample_720p,"[[Timestamp('2023-11-07 14:35:57.307000'), Timestamp('2023-11-07 14:35:58.155000'), Timestamp('2023-11-07 14:35:59.001000'), Timestamp('2023-11-07 14:35:59.834000'), Timestamp('2023-11-07 14:36:00.315000'), Timestamp('2023-11-07 14:36:00.805000'), Timestamp('2023-11-07 14:36:01.295000'), Timestamp('2023-11-07 14:36:01.775000'), Timestamp('2023-11-07 14:36:02.256000'), Timestamp('2023-11-07 14:36:02.736000'), Timestamp('2023-11-07 14:36:03.217000'), Timestamp('2023-11-07 14:36:03.696000'), Timestamp('2023-11-07 14:36:04.178000'), Timestamp('2023-11-07 14:36:04.657000'), Timestamp('2023-11-07 14:36:05.139000'), Timestamp('2023-11-07 14:36:05.618000'), Timestamp('2023-11-07 14:36:06.099000'), Timestamp('2023-11-07 14:36:06.579000')]]","[[173.77, 169.03, 164.26, 181.48, 173.29, 177.2, 177.28, 174.81, 176.94, 172.35, 177.57, 169.52, 179.9, 165.99, 179.35, 173.02, 179.28, 174.27]]",[],[]
HDR_2160P-06ae_downsample_720p,"[[Timestamp('2023-11-07 14:43:10.483000'), Timestamp('2023-11-07 14:43:11.355000'), Timestamp('2023-11-07 14:43:12.209000'), Timestamp('2023-11-07 14:43:12.703000'), Timestamp('2023-11-07 14:43:13.183000'), Timestamp('2023-11-07 14:43:13.666000'), Timestamp('2023-11-07 14:43:14.147000'), Timestamp('2023-11-07 14:43:14.630000'), Timestamp('2023-11-07 14:43:15.110000'), Timestamp('2023-11-07 14:43:15.594000')]]","[[157.61, 159.44, 158.18, 155.4, 152.29, 160.05, 160.48, 154.39, 167.86, 149.42]]",[],[]
HDR_2160P-06ae_downsample_720p,"[[Timestamp('2023-11-07 14:46:45.534000'), Timestamp('2023-11-07 14:46:46.016000'), Timestamp('2023-11-07 14:46:46.496000'), Timestamp('2023-11-07 14:46:46.978000'), Timestamp('2023-11-07 14:46:47.459000'), Timestamp('2023-11-07 14:46:47.941000'), Timestamp('2023-11-07 14:46:48.421000'), Timestamp('2023-11-07 14:46:48.904000')]]","[[180.38, 182.24, 185.15, 113.87, 80.072, 168.5, 104.56, 79.301]]",[],[]
HDR_2160P-06ae_downsample_720p,"[[Timestamp('2023-11-07 14:52:54.645000'), Timestamp('2023-11-07 14:52:55.500000'), Timestamp('2023-11-07 14:52:55.967000'), Timestamp('2023-11-07 14:52:56.451000'), Timestamp('2023-11-07 14:52:56.939000')]]","[[128.22, 80.471, 137.9, 148.98, 80.622]]",[],[]
HDR_2160P-06ae_downsample_720p,"[[Timestamp('2023-11-07 14:57:01.320000'), Timestamp('2023-11-07 14:57:02.177000'), Timestamp('2023-11-07 14:57:02.643000')], [Timestamp('2023-11-07 14:57:18.816000'), Timestamp('2023-11-07 14:57:19.649000'), Timestamp('2023-11-07 14:57:20.129000')]]","[[172.61, 81.23, 79.744], [151.09, 80.134, 79.00399999999999]]",[],[]
