vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,27486,45.994384,97.962394,12
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,18323,44.159637,97.710907,18
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,12981,42.780976,97.438095,24
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,7822,40.996289,96.824846,30
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,4491,39.222075,95.337259,36
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,2759,37.663094,93.100422,42
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1795,36.159910,90.428001,48
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1207,34.569354,86.740596,54
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,678,32.567567,80.307611,60
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,18244,45.160744,99.491664,12
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,15185,42.887876,99.471370,18
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,13079,41.021010,99.435378,24
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,10662,38.449747,99.367448,30
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,8324,35.571603,99.246377,36
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,6326,32.619450,99.046355,42
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,4586,29.652771,98.658382,48
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,3236,26.919870,96.680756,54
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,1955,23.792940,85.639336,60
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,4896,45.367046,93.053408,12
