vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,32597,48.361002,97.779723,12
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,22830,46.099854,97.253022,18
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,17050,44.496246,96.742096,24
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,10520,42.336354,95.702407,30
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,5999,40.243675,93.929978,36
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,3221,38.305616,90.880090,42
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1791,36.580795,86.781062,48
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1018,34.813038,81.002000,54
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,601,32.832813,72.772027,60
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,19340,46.622745,99.483366,12
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,15945,43.458359,99.413563,18
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,13776,41.465148,99.372452,24
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,11110,38.717732,99.216355,30
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,8760,35.892430,98.967621,36
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,6688,32.994217,98.546160,42
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,4940,30.143692,97.959395,48
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,3483,27.424728,96.409488,54
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,2262,24.689426,88.589927,60
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,11925,45.740163,94.123723,12
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,5385,44.317274,92.832675,18
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,2603,43.346773,91.585877,24
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,1305,42.334666,90.000159,30
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,882,41.047950,87.556036,36
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,584,39.204012,83.622469,42
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,338,36.891863,76.230801,48
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,175,34.781057,64.415100,54
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,69,33.122189,50.930065,60
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,9437,32.683277,98.389205,12
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,5712,32.684142,96.603448,18
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,3729,32.682349,94.535843,24
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,2045,32.674842,90.609134,30
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,1089,32.653270,85.640336,36
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,595,32.625008,79.251920,42
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,353,32.577726,71.786867,48
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,218,32.506764,63.394512,54
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,136,32.375475,54.245101,60
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,15043,30.307161,99.549861,12
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,12380,30.284763,99.318393,18
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,10535,30.255241,98.958609,24
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,8027,30.183960,98.018491,30
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,5549,30.052846,96.119257,36
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,3443,29.858337,93.014512,42
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,1971,29.597037,88.523989,48
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,1027,29.244894,82.453517,54
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,511,28.722848,74.530048,60
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,58718,46.600141,99.467678,12
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,45289,44.188270,99.055410,18
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,36847,42.412858,98.507713,24
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,26707,39.926278,97.204795,30
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,18215,37.383625,94.614637,36
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,11330,34.871707,90.137785,42
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,6332,32.620070,83.568656,48
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,3044,30.731786,74.594910,54
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,1253,29.083700,62.830315,60
