vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,39111,49.054351,98.356143,10
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,22833,45.559974,97.946673,15
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,12322,42.243290,97.001804,20
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,6529,39.169567,93.850109,25
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,3602,35.955874,87.091141,30
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,2005,32.106658,75.084317,35
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,867,28.518832,58.318632,40
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,219,26.179849,40.221642,45
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,84,25.053879,26.444085,50
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,26168,49.556715,99.518997,10
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,19611,45.251127,99.510658,15
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,14193,41.081328,99.470671,20
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,10146,37.067147,99.396543,25
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,7043,33.124795,99.235638,30
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,4576,29.203181,98.832916,35
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,2631,25.523905,92.599188,40
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,1256,22.150372,78.795947,45
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,604,19.578087,66.157785,50
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,34092,51.153650,95.959226,10
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,17754,48.221242,94.998835,15
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,6401,44.881216,93.115425,20
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,1483,41.611178,89.716456,25
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,442,38.400566,82.470878,30
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,175,35.425800,70.160560,35
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,73,33.210944,54.433075,40
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,39,31.960200,39.746736,45
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,29,31.223538,27.983757,50
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,19991,53.021879,99.349533,10
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,10511,50.321143,97.762399,15
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,4536,47.809825,94.004188,20
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,1602,45.789829,87.303709,25
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,687,44.277606,78.763303,30
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,328,42.551833,67.065435,35
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,170,40.519049,52.115528,40
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,97,37.995326,35.566747,45
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,64,35.251898,22.481531,50
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,18644,52.532381,99.641723,10
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,12919,48.572591,99.308324,15
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,8653,44.550561,98.164478,20
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,4993,40.792024,95.408218,25
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,2347,37.497526,90.422864,30
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,937,34.759278,82.673287,35
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,374,32.098873,70.690320,40
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,177,29.147375,53.736563,45
TelevisionClip_1080P-5278,TelevisionClip,1080,1920,1080,yuv420p,24.97502498,621469,99,26.111774,34.407660,50
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,71112,47.352951,99.639355,10
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,46068,43.339748,99.117757,15
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,26870,39.324534,97.488645,20
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,13241,35.561346,93.231133,25
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,5504,32.649033,85.636436,30
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,2063,30.345704,74.137472,35
TelevisionClip_1080P-68c6,TelevisionClip,1080,1920,1080,yuv420p,25.0,622090,684,28.329133,57.870132,40
