category,Bitrate (kb/s),PSNR (dB),VMAF,QP,encode_energy,decode_energy,total_energy,std_bitrate,std_psnr,std_vmaf,std_encode_energy,std_decode_energy,std_total_energy,codec
Animation,32242.333333333332,50.76887833333333,98.13098233333334,10,536.4710725293334,2953.116750460666,3489.5878229900004,5544.188569023324,1.2070508325215186,1.3119569536084463,159.99382856030962,1826.5064269333218,1979.5707858904625,x264
Animation,20573.666666666668,46.617399666666664,97.55792833333334,15,743.7717812366667,2387.3316297416663,3131.1034109783336,3061.2930093163063,1.254478555723276,1.859937425269347,269.9256935216322,1194.5088645192532,1462.8929253358995,x264
Animation,11776.0,42.487745,96.42903766666666,20,648.5945383633333,2377.5213097986666,3026.115848162,4181.8188227931,1.2942578645280325,2.7976007886552052,222.29593532861065,1069.8053549533251,1286.3403274161494,x264
Animation,6939.333333333333,38.701703333333334,93.69318166666666,25,568.7377023800001,2359.119251288333,2927.856953668333,3785.0090562052237,1.7188396804622448,4.543580246706653,176.34063748199333,1245.8474704701277,1420.5087050803954,x264
Animation,4317.333333333333,35.26959300000001,89.04774433333334,30,478.74119608999996,2103.4034640570003,2582.144660147,2755.672251113248,2.3149640913803995,7.3672639458314215,176.33361478678495,1223.7076843967277,1398.2044024800318,x264
Animation,2898.3333333333335,32.07846,81.121596,35,500.30734974999996,2324.4332507106665,2824.740600460667,1818.2457357451867,2.9337758847134183,12.466629033093534,151.246874617442,962.5688164238717,1113.35401771305,x264
Animation,1874.0,29.190888666666666,65.524073,40,488.33799332333336,2514.788026101,3003.126019424333,1264.5602661267935,3.7609642468018176,17.233800613543202,155.61867221491283,1018.6783174172466,1169.8347562711892,x264
Animation,999.0,26.708385333333336,48.898316666666666,45,462.96682068,2587.7134304756664,3050.680251155667,724.4257495883664,4.704772816324669,17.50790150467958,174.32006894452434,1150.0498797311327,1300.466363224564,x264
Animation,288.6666666666667,24.443005666666668,33.09202033333333,50,439.4455930666666,2131.824018594,2571.269611660666,187.27935165296668,5.173209041212641,18.78671777503646,182.21504626498967,920.4703912039193,1046.7243114337352,x264
TelevisionClip,38145.666666666664,51.636167,99.73564499999999,10,683.8313848973334,2669.012576134,3352.843961031334,19813.729201967228,2.9003177224991528,0.07882244649844303,137.8310697062224,805.9238178094707,856.4807458247311,x264
TelevisionClip,23658.666666666668,47.97499766666667,99.27786033333332,15,1061.72083982,2076.019523628,3137.740363448,12851.700129641302,3.5663458808029573,0.06093326193103012,184.8894767306712,789.6505373895852,850.7888752974977,x264
TelevisionClip,13927.0,44.39289766666667,97.56282300000002,20,939.04819642,2284.1896665130002,3223.237862933,7312.899470570252,4.28880442711333,0.5599614713537591,129.59149895723812,906.5341574804735,970.5701235456146,x264
TelevisionClip,6815.0,40.690747666666674,92.74363799999999,25,847.8610029266665,2542.751144177333,3390.612147104,3580.367578894659,4.692796253241226,2.288811844030144,149.52674789129765,890.6572436366406,925.8195558844114,x264
TelevisionClip,2833.0,37.776074,84.675145,30,758.85213256,2144.121600172,2902.973732732,1396.017430645716,5.170170246129684,4.488345415017874,215.54410800177277,982.7067259594311,841.9753386926826,x264
TelevisionClip,1205.3333333333333,35.363633666666665,73.24408566666666,35,713.3688559833332,2480.2990540670003,3193.667910050334,471.5939873332663,5.3786158996337425,6.298730758456943,258.10988343016953,1032.8488236953854,920.9960653515875,x264
TelevisionClip,595.6666666666666,32.974576000000006,58.003707999999996,40,694.2993948100001,1873.2132483603334,2567.5126431703334,149.49321798069042,5.25787331917554,6.785261282525872,248.8533659330781,535.2004648055488,485.3068994123921,x264
TelevisionClip,356.6666666666667,30.40243166666667,40.90139033333333,45,728.37619559,1994.2487450523333,2722.6249406423335,65.89048152469032,4.754485938502034,6.444508808854526,232.78788962498268,725.8857528653056,517.94842680623,x264
