vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,27486,45.994384,97.962394,12,2023-06-09 11:29:07.188,2023-06-09 11:29:15.245,1,2023-06-09 11:29:34.943,2023-06-09 11:29:38.851,1,1507.1711950000004,420.985392,1928.1565870000004
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,18323,44.159637,97.710907,18,2023-06-09 11:30:04.666,2023-06-09 11:30:12.671,1,2023-06-09 11:30:31.281,2023-06-09 11:30:34.797,1,1473.4975035714283,371.18412,1844.6816235714282
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,12981,42.780976,97.438095,24,2023-06-09 11:31:00.612,2023-06-09 11:31:08.126,1,2023-06-09 11:31:26.386,2023-06-09 11:31:29.550,1,1431.1106599999996,336.29523200000006,1767.4058919999998
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,7822,40.996289,96.824846,30,2023-06-09 11:31:54.959,2023-06-09 11:32:02.097,1,2023-06-09 11:32:19.455,2023-06-09 11:32:21.637,1,1295.7481618181819,226.5672426666667,1522.3154044848486
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,4491,39.222075,95.337259,36,2023-06-09 11:32:47.518,2023-06-09 11:32:54.137,1,2023-06-09 11:33:10.767,2023-06-09 11:33:12.579,1,1203.6927291666666,183.05307200000001,1386.7458011666665
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,2759,37.663094,93.100422,42,2023-06-09 11:33:37.868,2023-06-09 11:33:44.057,1,2023-06-09 11:34:00.366,2023-06-09 11:34:19.019,2,1117.21765,865.1914254999998,1982.4090754999997
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1795,36.159910,90.428001,48,2023-06-09 11:34:45.034,2023-06-09 11:34:50.371,1,2023-06-09 11:35:06.769,2023-06-09 11:35:25.044,2,982.6150837499998,855.815965625,1838.431049375
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1207,34.569354,86.740596,54,2023-06-09 11:35:50.378,2023-06-09 11:35:55.232,1,2023-06-09 11:36:11.528,2023-06-09 11:37:35.951,2,870.4816885714287,3776.0983261875003,4646.580014758929
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,678,32.567567,80.307611,60,2023-06-09 11:38:01.841,2023-06-09 11:38:06.989,1,2023-06-09 11:38:22.320,2023-06-09 11:39:52.123,2,939.7673999999998,4031.9301925,4971.6975925
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,18244,45.160744,99.491664,12,2023-06-09 11:40:18.237,2023-06-09 11:40:20.041,1,2023-06-09 11:40:35.781,2023-06-09 11:40:51.635,2,272.9452,865.430225,1138.375425
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,15185,42.887876,99.471370,18,2023-06-09 11:41:07.492,2023-06-09 11:41:24.152,2,2023-06-09 11:41:39.742,2023-06-09 11:41:40.237,1,1313.84092,53.757,1367.5979200000002
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,13079,41.021010,99.435378,24,2023-06-09 11:41:56.152,2023-06-09 11:42:11.872,2,2023-06-09 11:42:27.999,2023-06-09 11:42:28.480,1,1068.1150499999999,51.8037,1119.9187499999998
