vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,27486,45.994384,97.962394,12,622089,2023-06-15 12:44:43.158,2023-06-15 12:45:19.227,1,2023-06-15 12:45:32.952,2023-06-15 12:47:34.251,1,1125.559194833334,1939.9379726168038,3065.4971674501376
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,18323,44.159637,97.710907,18,622089,2023-06-15 12:47:48.987,2023-06-15 12:48:21.418,1,2023-06-15 12:48:34.920,2023-06-15 12:49:11.501,1,1019.1351663888889,668.7734244086759,1687.9085907975648
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,12981,42.780976,97.438095,24,622089,2023-06-15 12:49:26.337,2023-06-15 12:49:54.735,1,2023-06-15 12:50:08.479,2023-06-15 12:50:32.296,1,927.0467937500002,458.36312687500003,1385.4099206250003
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,7822,40.996289,96.824846,30,622089,2023-06-15 12:50:47.225,2023-06-15 12:51:14.131,1,2023-06-15 12:51:27.662,2023-06-15 12:51:47.808,1,882.9372062499996,383.51975543859635,1266.456961688596
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,4491,39.222075,95.337259,36,622089,2023-06-15 12:52:02.644,2023-06-15 12:52:28.612,1,2023-06-15 12:52:42.279,2023-06-15 12:52:59.004,1,837.152216296296,312.0557058823529,1149.207922178649
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,2759,37.663094,93.100422,42,622089,2023-06-15 12:53:13.832,2023-06-15 12:53:37.133,1,2023-06-15 12:53:50.736,2023-06-15 12:54:04.813,1,752.6322153191492,259.8153656172839,1012.447580936433
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1795,36.159910,90.428001,48,622089,2023-06-15 12:54:20.021,2023-06-15 12:54:42.810,1,2023-06-15 12:54:56.437,2023-06-15 12:55:08.842,1,718.2575525873016,229.96719799999997,948.2247505873015
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1207,34.569354,86.740596,54,622089,2023-06-15 12:55:23.681,2023-06-15 12:55:45.826,1,2023-06-15 12:55:59.350,2023-06-15 12:56:10.886,1,694.54342,212.22042177777777,906.7638417777778
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,678,32.567567,80.307611,60,622089,2023-06-15 12:56:25.528,2023-06-15 12:56:44.534,1,2023-06-15 12:56:58.280,2023-06-15 12:57:08.609,1,624.3280939999999,191.1388335999999,815.4669275999997
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,18244,45.160744,99.491664,12,99534,2023-06-15 12:58:45.291,2023-06-15 12:58:54.438,1,2023-06-15 12:59:07.770,2023-06-15 12:59:19.466,1,298.879027368421,232.62900969696966,531.5080370653907
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,15185,42.887876,99.471370,18,99534,2023-06-15 12:59:40.296,2023-06-15 12:59:48.364,1,2023-06-15 13:00:02.139,2023-06-15 13:00:12.401,1,265.6246129166666,200.1684115789474,465.79302449561396
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,13079,41.021010,99.435378,24,99534,2023-06-15 13:00:25.925,2023-06-15 13:00:33.980,1,2023-06-15 13:00:47.275,2023-06-15 13:00:56.478,1,267.51102499999996,177.94409522222222,445.45512022222215
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,10662,38.449747,99.367448,30,99534,2023-06-15 13:01:10.138,2023-06-15 13:01:16.882,1,2023-06-15 13:01:30.577,2023-06-15 13:01:38.119,1,224.31581538461543,146.43364363636366,370.7494590209791
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,8324,35.571603,99.246377,36,99534,2023-06-15 13:01:52.144,2023-06-15 13:01:58.450,1,2023-06-15 13:02:11.893,2023-06-15 13:02:18.336,1,210.47431100000006,123.15696878787878,333.63127978787884
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,6326,32.619450,99.046355,42,99534,2023-06-15 13:02:32.347,2023-06-15 13:02:38.420,1,2023-06-15 13:02:51.761,2023-06-15 13:02:57.357,1,208.6489568181818,107.21936,315.8683168181818
