vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,8316,30.915989,85.440878,12,622089,2023-07-08 17:22:00.731,2023-07-08 17:23:41.530,1,2023-07-08 17:23:55.648,2023-07-08 17:24:53.455,1,479.2417079985551,220.86815978571417,700.1098677842692
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,5876,30.803078,84.289911,18,622089,2023-07-08 17:25:13.976,2023-07-08 17:25:56.553,1,2023-07-08 17:26:10.289,2023-07-08 17:27:00.480,1,288.8109237542271,188.19789832818347,477.0088220824106
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,4357,30.699662,83.161146,24,622089,2023-07-08 17:27:24.934,2023-07-08 17:28:04.401,1,2023-07-08 17:28:18.328,2023-07-08 17:29:04.158,1,290.06871148734183,171.81870688888884,461.8874183762307
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,2672,30.559223,81.442314,30,622089,2023-07-08 17:29:21.243,2023-07-08 17:30:05.629,1,2023-07-08 17:30:19.396,2023-07-08 17:30:59.550,1,337.2442115277777,150.13616603059077,487.3803775583684
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,1628,30.248389,78.107542,36,622089,2023-07-08 17:31:24.024,2023-07-08 17:32:04.394,1,2023-07-08 17:32:18.107,2023-07-08 17:32:55.427,1,309.403249375,138.40835595890414,447.81160533390414
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,1011,29.825023,74.305204,42,622089,2023-07-08 17:33:15.083,2023-07-08 17:33:51.605,1,2023-07-08 17:34:05.648,2023-07-08 17:34:30.046,1,275.4933929166667,92.92297507166667,368.4163679883334
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,645,29.327369,70.292669,48,622089,2023-07-08 17:34:54.536,2023-07-08 17:35:29.642,1,2023-07-08 17:35:43.566,2023-07-08 17:36:02.903,1,253.23217854642857,74.5880249013158,327.82020344774435
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,396,28.751301,65.314492,54,622089,2023-07-08 17:36:18.315,2023-07-08 17:36:50.015,1,2023-07-08 17:37:03.939,2023-07-08 17:37:21.712,1,229.9574397486773,68.90594101463965,298.86338076331697
Animation_1080P-05f8_downsample_540p,Animation,540,960,540,yuv420p,25.0,622090,198,27.937129,56.870722,60,622089,2023-07-08 17:37:55.165,2023-07-08 17:38:21.734,1,2023-07-08 17:38:35.848,2023-07-08 17:38:48.220,1,195.52590804245287,49.501629820000005,245.02753786245287
Animation_1080P-05f8_downsample_720p,Animation,720,1280,720,yuv420p,25.0,622090,12764,33.704651,94.609878,12,622089,2023-07-08 17:39:03.406,2023-07-08 17:40:25.455,1,2023-07-08 17:40:39.527,2023-07-08 17:42:37.812,1,519.7621259591004,452.4281645223154,972.1902904814158
Animation_1080P-05f8_downsample_720p,Animation,720,1280,720,yuv420p,25.0,622090,8735,33.515822,93.708334,18,622089,2023-07-08 17:43:02.480,2023-07-08 17:44:13.505,1,2023-07-08 17:44:27.615,2023-07-08 17:45:49.140,1,469.35006843750006,315.20480292721527,784.5548713647154
