vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,start_time_encode,end_time_encode,start_time_decode,end_time_decode
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,27486,45.994384,97.962394,12,2023-04-18 17:39:13.492594,2023-04-18 17:40:50.030741,2023-04-18 17:40:56.011358,2023-04-18 17:41:01.844901
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,18323,44.159637,97.710907,18,2023-04-18 17:41:13.810804,2023-04-18 17:42:50.691332,2023-04-18 17:42:55.703967,2023-04-18 17:43:00.883091
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,12981,42.780976,97.438095,24,2023-04-18 17:43:12.845153,2023-04-18 17:44:42.852141,2023-04-18 17:44:47.470108,2023-04-18 17:44:52.109920
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,7822,40.996289,96.824846,30,2023-04-18 17:45:04.048405,2023-04-18 17:46:28.898708,2023-04-18 17:46:32.576190,2023-04-18 17:46:36.389364
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,4491,39.222075,95.337259,36,2023-04-18 17:46:48.326102,2023-04-18 17:48:07.922314,2023-04-18 17:48:11.125796,2023-04-18 17:48:14.279319
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,2759,37.663094,93.100422,42,2023-04-18 17:48:26.227214,2023-04-18 17:49:41.560123,2023-04-18 17:49:44.267084,2023-04-18 17:49:46.901745
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1795,36.159910,90.428001,48,2023-04-18 17:49:58.880641,2023-04-18 17:51:09.615694,2023-04-18 17:51:12.048142,2023-04-18 17:51:14.378015
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1207,34.569354,86.740596,54,2023-04-18 17:51:26.367129,2023-04-18 17:52:33.476804,2023-04-18 17:52:35.600528,2023-04-18 17:52:37.654316
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,678,32.567567,80.307611,60,2023-04-18 17:52:49.680334,2023-04-18 17:53:52.721836,2023-04-18 17:53:54.724257,2023-04-18 17:53:56.567524
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,18244,45.160744,99.491664,12,2023-04-18 17:54:09.302610,2023-04-18 17:54:41.243086,2023-04-18 17:54:43.586822,2023-04-18 17:54:45.941015
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,15185,42.887876,99.471370,18,2023-04-18 17:54:48.214979,2023-04-18 17:55:23.160655,2023-04-18 17:55:25.276150,2023-04-18 17:55:27.392438
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,13079,41.021010,99.435378,24,2023-04-18 17:55:29.660752,2023-04-18 17:56:02.553129,2023-04-18 17:56:04.539462,2023-04-18 17:56:06.472291
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,10662,38.449747,99.367448,30,2023-04-18 17:56:08.723753,2023-04-18 17:56:35.796066,2023-04-18 17:56:37.479937,2023-04-18 17:56:39.187123
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,8324,35.571603,99.246377,36,2023-04-18 17:56:41.426292,2023-04-18 17:57:06.591677,2023-04-18 17:57:08.168783,2023-04-18 17:57:09.663657
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,6326,32.619450,99.046355,42,2023-04-18 17:57:11.899294,2023-04-18 17:57:36.043835,2023-04-18 17:57:37.453971,2023-04-18 17:57:38.729531
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,4586,29.652771,98.658382,48,2023-04-18 17:57:40.953417,2023-04-18 17:58:04.319898,2023-04-18 17:58:05.453762,2023-04-18 17:58:06.573829
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,3236,26.919870,96.680756,54,2023-04-18 17:58:08.767423,2023-04-18 17:58:31.475551,2023-04-18 17:58:32.632835,2023-04-18 17:58:33.763785
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,1955,23.792940,85.639336,60,2023-04-18 17:58:35.983807,2023-04-18 17:58:57.945060,2023-04-18 17:58:58.950177,2023-04-18 17:58:59.875670
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,4896,45.367046,93.053408,12,2023-04-18 17:59:17.522157,2023-04-18 18:00:20.756717,2023-04-18 18:00:23.360666,2023-04-18 18:00:25.979342
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,3610,44.933040,92.641734,18,2023-04-18 18:00:41.508014,2023-04-18 18:01:40.304706,2023-04-18 18:01:42.698366,2023-04-18 18:01:45.023049
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,2823,44.551208,92.413355,24,2023-04-18 18:02:00.535844,2023-04-18 18:02:56.594205,2023-04-18 18:02:58.803684,2023-04-18 18:03:00.908818
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,1978,43.888326,91.791661,30,2023-04-18 18:03:16.493045,2023-04-18 18:04:11.022940,2023-04-18 18:04:12.945823,2023-04-18 18:04:14.832529
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,1306,43.103484,91.166537,36,2023-04-18 18:04:30.375782,2023-04-18 18:05:17.381796,2023-04-18 18:05:18.992210,2023-04-18 18:05:20.681805
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,916,42.338354,90.459690,42,2023-04-18 18:05:36.185292,2023-04-18 18:06:20.711642,2023-04-18 18:06:22.080457,2023-04-18 18:06:23.576123
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,710,41.489579,89.464155,48,2023-04-18 18:06:39.041619,2023-04-18 18:07:22.138704,2023-04-18 18:07:23.487115,2023-04-18 18:07:24.807848
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,522,40.157771,87.180074,54,2023-04-18 18:07:40.272021,2023-04-18 18:08:22.046815,2023-04-18 18:08:23.387285,2023-04-18 18:08:24.752700
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,297,37.627842,80.859253,60,2023-04-18 18:08:40.209764,2023-04-18 18:09:20.660294,2023-04-18 18:09:22.058447,2023-04-18 18:09:23.469258
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,5261,48.022055,96.037167,12,2023-04-18 18:09:41.096908,2023-04-18 18:10:26.405145,2023-04-18 18:10:29.290911,2023-04-18 18:10:31.953209
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,3219,47.097017,93.241658,18,2023-04-18 18:10:40.160878,2023-04-18 18:11:16.893103,2023-04-18 18:11:19.140031,2023-04-18 18:11:21.312657
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,2092,46.362842,90.351996,24,2023-04-18 18:11:29.559101,2023-04-18 18:12:04.841569,2023-04-18 18:12:06.901869,2023-04-18 18:12:08.773058
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,1229,45.574245,86.328196,30,2023-04-18 18:12:17.072202,2023-04-18 18:12:50.955970,2023-04-18 18:12:52.714904,2023-04-18 18:12:54.401782
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,662,44.630709,80.003148,36,2023-04-18 18:13:02.667734,2023-04-18 18:13:34.523970,2023-04-18 18:13:36.104663,2023-04-18 18:13:37.545020
