vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,85169,32.021608,92.569053,10,9.492049,2.023553,12,622080,2023-11-21 01:08:10.168,2023-11-21 01:10:00.420,1,2023-11-21 01:10:16.245,2023-11-21 01:10:37.217,1,1845.0581821322467,312.1013974509804,2157.1595795832272
Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,30766,31.235332,87.197838,20,7.065781,1.189725,12,622080,2023-11-21 01:12:03.807,2023-11-21 01:13:27.460,1,2023-11-21 01:13:41.105,2023-11-21 01:13:53.007,1,1395.6400491158092,151.46502702941177,1547.1050761452211
Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,7561,28.584271,64.798091,30,5.589444,0.848022,12,622080,2023-11-21 01:15:09.877,2023-11-21 01:16:12.675,1,2023-11-21 01:16:26.839,2023-11-21 01:16:31.291,1,983.5780273366336,55.83523499999999,1039.4132623366336
Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,1924,24.365142,36.568871,40,4.931117,0.766959,12,622080,2023-11-21 01:17:02.968,2023-11-21 01:17:56.001,1,2023-11-21 01:18:10.141,2023-11-21 01:18:11.468,1,742.7952240166669,20.670236666666668,763.4654606833336
Animation_2160P-41dc_downsample_1080p,Animation,1080,1920,1080,yuv420p,15.0,1492998,314,21.443179,20.481986,50,5.030204,0.777532,12,622080,2023-11-21 01:19:21.123,2023-11-21 01:20:18.005,1,2023-11-21 01:20:31.853,2023-11-21 01:21:03.772,3,599.8608067789473,13.648950333333334,613.5097571122807
Animation_2160P-41dc_downsample_720p,Animation,720,1280,720,yuv420p,15.0,1492998,39301,27.573728,80.563227,10,4.833719,1.03255,12,276480,2023-11-21 01:21:26.961,2023-11-21 01:22:22.929,1,2023-11-21 01:22:37.007,2023-11-21 01:22:46.376,1,872.2153741481478,134.21098076785714,1006.4263549160049
Animation_2160P-41dc_downsample_720p,Animation,720,1280,720,yuv420p,15.0,1492998,13738,27.255141,71.643729,20,3.733548,0.633756,12,276480,2023-11-21 01:23:03.575,2023-11-21 01:23:43.852,1,2023-11-21 01:23:57.903,2023-11-21 01:24:02.559,1,630.3246031531249,56.73913149999999,687.0637346531249
Animation_2160P-41dc_downsample_720p,Animation,720,1280,720,yuv420p,15.0,1492998,3372,25.915064,48.854082,30,3.063834,0.450124,12,276480,2023-11-21 01:24:23.278,2023-11-21 01:24:55.097,1,2023-11-21 01:25:09.128,2023-11-21 01:25:10.580,1,458.35367189912284,17.57162,475.92529189912284
Animation_2160P-41dc_downsample_720p,Animation,720,1280,720,yuv420p,15.0,1492998,758,23.059324,29.298066,40,3.088078,0.460776,12,276480,2023-11-21 01:25:28.060,2023-11-21 01:25:59.566,1,2023-11-21 01:26:13.447,2023-11-21 01:26:42.981,3,363.19338050000005,6.775772666666666,369.96915316666673
Animation_2160P-41dc_downsample_720p,Animation,720,1280,720,yuv420p,15.0,1492998,115,21.209729,19.582941,50,2.915435,0.376055,12,276480,2023-11-21 01:27:03.632,2023-11-21 01:27:42.477,1,2023-11-21 01:27:03.632,2023-11-21 01:27:42.477,1,344.9735762785388,344.9735762785388,689.9471525570776
