vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-2cb1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5951100,82293,32.138619,77.764903,10,19.720285,47.113518,12,622080,2023-11-21 03:58:53.314,2023-11-21 04:03:49.385,1,2023-11-21 04:04:03.842,2023-11-21 04:04:37.415,1,4172.619055409016,447.7082481439393,4620.3273035529555
Gaming_2160P-2cb1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5951100,20194,31.492415,66.785125,20,14.250342,2.541274,12,622080,2023-11-21 04:24:19.853,2023-11-21 04:26:40.942,1,2023-11-21 04:26:54.830,2023-11-21 04:27:13.124,1,2340.2894475847947,228.30229986842104,2568.5917474532157
Gaming_2160P-2cb1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5951100,3242,29.829750,40.273107,30,8.568199,2.407449,12,622080,2023-11-21 04:42:51.383,2023-11-21 04:44:28.346,1,2023-11-21 04:44:42.544,2023-11-21 04:44:49.681,1,1535.3272642555864,111.82002886363637,1647.147293119223
Gaming_2160P-2cb1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5951100,706,27.509475,6.074011,40,20.928149,2.401806,12,622080,2023-11-21 05:00:26.375,2023-11-21 05:02:00.849,1,2023-11-21 05:02:14.617,2023-11-21 05:02:20.528,1,1193.9348570833329,92.02343316666668,1285.9582902499997
Gaming_2160P-2cb1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5951100,196,25.264335,0.089757,50,19.573203,2.410549,12,622080,2023-11-21 05:19:11.114,2023-11-21 05:21:02.311,1,2023-11-21 05:21:16.884,2023-11-21 05:21:20.797,1,1166.7052862121213,66.07426583333333,1232.7795520454547
Gaming_2160P-2cb1_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5951100,35149,30.456117,62.508194,10,9.36812,2.024915,12,276480,2023-11-21 05:24:37.025,2023-11-21 05:26:25.941,1,2023-11-21 05:26:47.029,2023-11-21 05:27:07.965,1,1565.9303861701037,220.57646199999996,1786.5068481701037
Gaming_2160P-2cb1_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5951100,7724,30.032116,49.628906,20,6.510594,1.406757,12,276480,2023-11-21 05:31:32.737,2023-11-21 05:32:56.593,1,2023-11-21 05:33:13.568,2023-11-21 05:33:27.559,1,1132.3561948413792,131.0951930340909,1263.4513878754701
Gaming_2160P-2cb1_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5951100,1346,28.840375,23.158047,30,4.266068,1.224126,12,276480,2023-11-21 05:37:36.153,2023-11-21 05:38:32.544,1,2023-11-21 05:38:46.961,2023-11-21 05:38:49.363,1,750.914136294643,33.506699000000005,784.420835294643
Gaming_2160P-2cb1_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5951100,309,26.962026,0.861854,40,5.086709,1.163743,12,276480,2023-11-21 05:43:10.667,2023-11-21 05:44:16.171,1,2023-11-21 05:44:36.397,2023-11-21 05:44:37.252,1,664.1505146666663,14.389650000000001,678.5401646666662
Gaming_2160P-2cb1_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5951100,89,24.844090,0.042673,50,5.828058,1.158597,12,276480,2023-11-21 05:48:39.756,2023-11-21 05:49:58.835,1,2023-11-21 05:50:12.804,2023-11-21 05:50:13.642,1,684.1005584216335,14.083986666666666,698.1845450883002
