vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-348d_downsample_1080p,Gaming,1080,1920,1080,yuv420p,29.97002997,2983014,15118,39.456834,93.275830,10,6.138815,27.470722,12,622080,2023-11-21 07:23:47.504,2023-11-21 07:24:51.962,1,2023-11-21 07:25:08.409,2023-11-21 07:25:16.955,1,930.7063967519084,104.41716450000003,1035.1235612519085
Gaming_2160P-348d_downsample_1080p,Gaming,1080,1920,1080,yuv420p,29.97002997,2983014,4067,38.773206,91.070016,20,4.268633,1.360527,12,622080,2023-11-21 07:30:44.912,2023-11-21 07:31:39.687,1,2023-11-21 07:31:54.002,2023-11-21 07:31:58.448,1,720.777170643939,57.21684428571428,777.9940149296533
Gaming_2160P-348d_downsample_1080p,Gaming,1080,1920,1080,yuv420p,29.97002997,2983014,998,36.453522,80.302156,30,3.90059,1.329309,12,622080,2023-11-21 07:36:46.460,2023-11-21 07:37:29.662,1,2023-11-21 07:38:07.223,2023-11-21 07:38:10.110,1,538.5380055794575,40.01061222222223,578.5486178016797
Gaming_2160P-348d_downsample_1080p,Gaming,1080,1920,1080,yuv420p,29.97002997,2983014,310,32.235257,57.885320,40,4.024454,1.300846,12,622080,2023-11-21 07:42:56.939,2023-11-21 07:43:47.626,1,2023-11-21 07:44:01.550,2023-11-21 07:44:03.229,1,525.807663817152,26.06507583333334,551.8727396504854
Gaming_2160P-348d_downsample_1080p,Gaming,1080,1920,1080,yuv420p,29.97002997,2983014,126,27.513612,25.740252,50,4.022807,1.302566,12,622080,2023-11-21 07:49:05.158,2023-11-21 07:49:55.371,1,2023-11-21 07:50:12.200,2023-11-21 07:50:14.737,1,507.25916496296287,32.26331088888889,539.5224758518517
Gaming_2160P-348d_downsample_720p,Gaming,720,1280,720,yuv420p,29.97002997,2983014,7684,35.709412,84.461734,10,2.773077,0.918184,12,276480,2023-11-21 07:50:51.739,2023-11-21 07:51:25.081,1,2023-11-21 07:51:39.174,2023-11-21 07:51:43.891,1,437.1308715820894,50.83397342592591,487.96484500801535
Gaming_2160P-348d_downsample_720p,Gaming,720,1280,720,yuv420p,29.97002997,2983014,2035,35.299335,80.392247,20,2.474854,0.704542,12,276480,2023-11-21 07:52:39.819,2023-11-21 07:53:10.506,1,2023-11-21 07:53:25.759,2023-11-21 07:53:31.779,1,359.9574140357143,50.950680454545456,410.90809449025977
Gaming_2160P-348d_downsample_720p,Gaming,720,1280,720,yuv420p,29.97002997,2983014,508,33.766461,67.814675,30,2.282718,0.652065,12,276480,2023-11-21 07:54:03.615,2023-11-21 07:54:29.015,1,2023-11-21 07:54:53.892,2023-11-21 07:55:14.861,2,282.80897307692305,21.199429197916665,304.00840227483974
Gaming_2160P-348d_downsample_720p,Gaming,720,1280,720,yuv420p,29.97002997,2983014,156,30.485807,45.015358,40,2.48427,0.654371,12,276480,2023-11-21 07:55:53.554,2023-11-21 07:56:24.173,1,2023-11-21 07:56:54.047,2023-11-21 07:57:38.330,3,288.4079334408602,,
Gaming_2160P-348d_downsample_720p,Gaming,720,1280,720,yuv420p,29.97002997,2983014,63,25.926054,13.749486,50,2.435,0.634129,12,276480,2023-11-21 07:58:18.242,2023-11-21 07:58:49.392,1,2023-11-21 07:59:18.275,2023-11-21 08:00:44.788,3,281.0626357142857,11.602578833333334,292.66521454761903
