vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-34a1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,60.0,5971994,41691,43.483099,94.372648,10,31.591179,38.719044,12,622080,2023-11-21 10:31:18.595,2023-11-21 10:35:15.035,1,2023-11-21 10:35:28.898,2023-11-21 10:35:43.935,1,4159.241895428976,258.260475,4417.502370428976
Gaming_2160P-34a1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,60.0,5971994,9939,42.081559,88.754054,20,13.490501,2.444412,12,622080,2023-11-21 10:52:43.596,2023-11-21 10:55:16.827,1,2023-11-21 10:55:30.915,2023-11-21 10:55:39.761,1,2567.5310342391317,154.4894926666667,2722.0205269057983
Gaming_2160P-34a1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,60.0,5971994,2649,38.987342,73.224635,30,12.578926,4.31967,12,622080,2023-11-21 11:12:31.125,2023-11-21 11:14:35.999,1,2023-11-21 11:14:49.947,2023-11-21 11:14:55.523,1,1786.3567545088572,98.18672190476188,1884.5434764136191
Gaming_2160P-34a1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,60.0,5971994,883,33.801346,46.172301,40,12.492112,2.453848,12,622080,2023-11-21 11:31:53.979,2023-11-21 11:34:16.169,1,2023-11-21 11:34:29.997,2023-11-21 11:34:34.486,1,1554.975038791811,77.12315761904763,1632.0981964108585
Gaming_2160P-34a1_downsample_1080p,Gaming,1080,1920,1080,yuv420p,60.0,5971994,223,27.710227,10.084986,50,13.178087,2.384407,12,622080,2023-11-21 11:50:44.193,2023-11-21 11:53:17.740,1,2023-11-21 11:53:31.500,2023-11-21 11:53:35.985,1,1394.615434421238,75.09438392857143,1469.7098183498094
Gaming_2160P-34a1_downsample_720p,Gaming,720,1280,720,yuv420p,60.0,5971994,21317,39.046296,82.444502,10,10.308367,1.307237,12,276480,2023-11-21 11:56:26.912,2023-11-21 11:58:38.157,1,2023-11-21 11:58:55.036,2023-11-21 11:59:01.771,1,2034.0788835671128,101.89052767857144,2135.969411245684
Gaming_2160P-34a1_downsample_720p,Gaming,720,1280,720,yuv420p,60.0,5971994,4544,38.306113,74.716355,20,7.170878,1.205839,12,276480,2023-11-21 12:03:07.771,2023-11-21 12:04:37.997,1,2023-11-21 12:04:54.730,2023-11-21 12:04:59.210,1,1279.7443716489759,66.03696000000001,1345.7813316489758
Gaming_2160P-34a1_downsample_720p,Gaming,720,1280,720,yuv420p,60.0,5971994,1249,36.258591,57.669285,30,6.855175,1.166164,12,276480,2023-11-21 12:09:39.837,2023-11-21 12:11:03.676,1,2023-11-21 12:11:17.466,2023-11-21 12:11:19.419,1,973.0075718423692,33.4174575,1006.4250293423692
Gaming_2160P-34a1_downsample_720p,Gaming,720,1280,720,yuv420p,60.0,5971994,391,32.097767,32.867964,40,7.760277,1.189966,12,276480,2023-11-21 12:15:02.843,2023-11-21 12:16:42.182,1,2023-11-21 12:16:56.843,2023-11-21 12:17:01.474,1,935.850503949367,53.380379250000004,989.230883199367
Gaming_2160P-34a1_downsample_720p,Gaming,720,1280,720,yuv420p,60.0,5971994,99,26.930025,4.440822,50,8.551541,1.185053,12,276480,2023-11-21 12:21:13.177,2023-11-21 12:22:57.952,1,2023-11-21 12:23:14.554,2023-11-21 12:23:16.856,1,835.2354589717739,39.05438916666666,874.2898481384406
