vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24.0,4767631,66485,38.172140,94.466870,10,28.528311,63.815532,12,1244160,2023-11-15 21:53:29.964,2023-11-15 21:55:43.602,1,2023-11-15 21:55:57.273,2023-11-15 21:56:17.574,1,2531.184155111326,307.9203146710526,2839.1044697823786
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24.0,4767631,19500,36.072485,85.271956,20,8.485491,2.110949,12,1244160,2023-11-15 22:08:34.842,2023-11-15 22:10:10.192,1,2023-11-15 22:10:23.682,2023-11-15 22:10:34.622,1,1824.519740789474,162.71136590909086,1987.2311066985649
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24.0,4767631,3927,32.294016,60.292448,30,6.131937,2.026047,12,1244160,2023-11-15 22:19:40.197,2023-11-15 22:20:56.908,1,2023-11-15 22:21:12.438,2023-11-15 22:21:22.320,1,1384.9447678728077,118.50823799999999,1503.4530058728076
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24.0,4767631,829,28.211930,20.726267,40,4.872675,2.127371,12,1244160,2023-11-15 22:31:12.746,2023-11-15 22:32:15.570,1,2023-11-15 22:32:35.541,2023-11-15 22:32:38.672,1,1031.0305082645502,43.739026333333335,1074.7695345978836
HDR_2160P-06ae_downsample_1080p,HDR,1080,1920,1080,yuv420p10le,24.0,4767631,247,24.984348,0.589496,50,5.205753,2.053298,12,1244160,2023-11-15 22:42:47.684,2023-11-15 22:43:53.871,1,2023-11-15 22:44:10.393,2023-11-15 22:44:18.854,1,809.1102366134613,97.33750331770835,906.4477399311697
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24.0,4767631,31188,33.850724,80.469562,10,5.449045,1.13496,12,552960,2023-11-15 22:46:44.366,2023-11-15 22:48:10.648,1,2023-11-15 22:48:26.806,2023-11-15 22:48:37.295,1,1327.662677185185,145.64850583333333,1473.3111830185182
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24.0,4767631,8777,32.807363,67.932669,20,3.971772,1.023681,12,552960,2023-11-15 22:51:12.193,2023-11-15 22:52:03.909,1,2023-11-15 22:52:43.342,2023-11-15 22:52:47.837,1,889.2461667659578,60.48718154761905,949.7333483135768
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24.0,4767631,1832,30.307917,41.139218,30,3.030902,0.965511,12,552960,2023-11-15 22:56:07.526,2023-11-15 22:56:47.029,1,2023-11-15 22:57:01.043,2023-11-15 22:57:03.983,1,655.6021465644443,40.19429166666666,695.796438231111
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24.0,4767631,373,26.988781,8.919468,40,2.806976,0.973379,12,552960,2023-11-15 22:59:29.380,2023-11-15 22:59:56.997,1,2023-11-15 23:00:18.433,2023-11-15 23:00:19.404,1,404.778362830247,15.386304166666667,420.16466699691364
HDR_2160P-06ae_downsample_720p,HDR,720,1280,720,yuv420p10le,24.0,4767631,112,24.107715,0.162184,50,3.286279,0.983779,12,552960,2023-11-15 23:02:41.278,2023-11-15 23:03:20.257,1,2023-11-15 23:02:41.278,2023-11-15 23:03:20.257,1,396.4926389423077,396.4926389423077,792.9852778846154
