vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Sports_2160P-0455_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,105818,35.890117,96.371674,10,15.015366,26.363233,12,622080,2023-11-15 23:30:50.038,2023-11-15 23:33:40.988,1,2023-11-15 23:34:51.396,2023-11-15 23:35:17.167,1,2898.3730700757587,397.34033417628206,3295.7134042520406
Sports_2160P-0455_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,35168,34.147506,84.119495,20,11.328388,1.526525,12,622080,2023-11-15 23:39:34.102,2023-11-15 23:41:50.230,1,2023-11-15 23:42:51.263,2023-11-15 23:43:08.222,1,2267.2129164379576,240.48140367424242,2507.6943201122
Sports_2160P-0455_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,6838,29.915505,48.940328,30,7.330523,1.360264,12,622080,2023-11-15 23:48:03.601,2023-11-15 23:49:33.063,1,2023-11-15 23:52:54.327,2023-11-15 23:53:01.795,1,1459.5729959479158,105.17342376923075,1564.7464197171466
Sports_2160P-0455_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,865,26.501526,23.242607,40,6.548633,1.307892,12,622080,2023-11-15 23:58:50.311,2023-11-16 00:00:10.376,1,2023-11-16 00:00:24.610,2023-11-16 00:00:27.287,1,956.5128368198921,44.949060833333334,1001.4618976532254
Sports_2160P-0455_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,233,24.526570,8.403161,50,6.999471,1.331106,12,622080,2023-11-16 00:05:58.290,2023-11-16 00:07:25.976,1,2023-11-16 00:07:57.912,2023-11-16 00:08:00.951,1,888.192838618421,43.130121124999995,931.3229597434209
Sports_2160P-0455_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,56819,31.480809,76.451382,10,8.020155,1.342272,12,276480,2023-11-16 00:08:32.061,2023-11-16 00:10:15.104,1,2023-11-16 00:10:29.684,2023-11-16 00:10:45.420,1,1557.423332580144,224.13710929166666,1781.5604418718108
Sports_2160P-0455_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,17871,30.672809,61.507572,20,6.050111,0.876678,12,276480,2023-11-16 00:11:45.261,2023-11-16 00:13:00.408,1,2023-11-16 00:13:15.251,2023-11-16 00:13:21.592,1,1110.3803248990068,87.28338462121212,1197.663709520219
Sports_2160P-0455_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,2618,28.191467,30.315047,30,3.558452,0.702711,12,276480,2023-11-16 00:14:03.919,2023-11-16 00:14:44.789,1,2023-11-16 00:14:58.428,2023-11-16 00:15:01.599,1,629.5245973170735,39.61133925,669.1359365670735
Sports_2160P-0455_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,366,25.952848,14.658399,40,3.995318,0.686305,12,276480,2023-11-16 00:15:56.816,2023-11-16 00:16:49.214,1,2023-11-16 00:17:34.269,2023-11-16 00:18:05.395,3,527.5856167783018,19.922123166666665,547.5077399449684
Sports_2160P-0455_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,104,24.135255,4.824803,50,4.339289,0.665457,12,276480,2023-11-16 00:18:48.390,2023-11-16 00:19:40.470,1,2023-11-16 00:19:58.354,2023-11-16 00:20:14.063,2,473.7675885436895,16.680536222222223,490.4481247659117
