vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Sports_2160P-086d_downsample_1080p,Sports,1080,1920,1080,yuv420p,23.97602398,2386411,56317,39.558792,98.040155,10,10.400222,1.549815,12,622080,2023-11-21 12:43:37.184,2023-11-21 12:45:40.801,1,2023-11-21 12:45:54.406,2023-11-21 12:46:14.522,1,2110.0724700120013,270.74353362601624,2380.8160036380177
Sports_2160P-086d_downsample_1080p,Sports,1080,1920,1080,yuv420p,23.97602398,2386411,13080,37.642940,91.670919,20,7.02982,1.139874,12,622080,2023-11-21 12:50:13.074,2023-11-21 12:51:37.630,1,2023-11-21 12:51:51.033,2023-11-21 12:52:00.179,1,1370.0504027357008,124.50662404385965,1494.5570267795604
Sports_2160P-086d_downsample_1080p,Sports,1080,1920,1080,yuv420p,23.97602398,2386411,2622,34.194846,71.062557,30,4.378486,1.109369,12,622080,2023-11-21 12:54:47.463,2023-11-21 12:55:37.139,1,2023-11-21 12:55:50.884,2023-11-21 12:55:54.421,1,793.4218616462581,52.484953499999996,845.906815146258
Sports_2160P-086d_downsample_1080p,Sports,1080,1920,1080,yuv420p,23.97602398,2386411,801,29.681564,34.014803,40,5.188668,1.109024,12,622080,2023-11-21 12:59:48.747,2023-11-21 13:00:44.591,1,2023-11-21 13:00:58.972,2023-11-21 13:01:00.413,1,660.6797388141596,25.17587111111111,685.8556099252706
Sports_2160P-086d_downsample_1080p,Sports,1080,1920,1080,yuv420p,23.97602398,2386411,300,25.717895,0.202014,50,5.067301,1.116328,12,622080,2023-11-21 13:04:44.273,2023-11-21 13:05:48.784,1,2023-11-21 13:06:04.141,2023-11-21 13:06:47.933,3,662.9648966011449,36.19899111111111,699.163887712256
Sports_2160P-086d_downsample_720p,Sports,720,1280,720,yuv420p,23.97602398,2386411,26225,34.847736,84.149538,10,5.277902,0.882058,12,276480,2023-11-21 13:07:10.261,2023-11-21 13:08:11.275,1,2023-11-21 13:08:25.440,2023-11-21 13:08:36.283,1,982.2731495284548,130.39641202777776,1112.6695615562326
Sports_2160P-086d_downsample_720p,Sports,720,1280,720,yuv420p,23.97602398,2386411,6097,33.940718,74.604572,20,3.622923,0.748845,12,276480,2023-11-21 13:08:59.781,2023-11-21 13:09:46.475,1,2023-11-21 13:09:59.866,2023-11-21 13:10:08.193,1,668.4605411985817,75.11723090972221,743.577772108304
Sports_2160P-086d_downsample_720p,Sports,720,1280,720,yuv420p,23.97602398,2386411,1341,31.697885,51.307288,30,2.56449,0.577564,12,276480,2023-11-21 13:10:27.562,2023-11-21 13:10:54.395,1,2023-11-21 13:11:18.656,2023-11-21 13:11:20.456,1,384.32198484545455,19.1125,403.43448484545456
Sports_2160P-086d_downsample_720p,Sports,720,1280,720,yuv420p,23.97602398,2386411,396,28.035919,15.574253,40,2.95175,0.564605,12,276480,2023-11-21 13:11:41.818,2023-11-21 13:12:18.706,1,2023-11-21 13:12:32.258,2023-11-21 13:12:50.853,3,379.8999911388889,12.811479333333333,392.71147047222223
Sports_2160P-086d_downsample_720p,Sports,720,1280,720,yuv420p,23.97602398,2386411,140,24.701361,0.000000,50,3.222796,0.554922,12,276480,2023-11-21 13:13:38.945,2023-11-21 13:14:18.015,1,2023-11-21 13:16:22.939,2023-11-21 13:17:42.664,2,353.71647508771935,,
