vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Vlog_2160P-030a_downsample_1080p,Vlog,1080,1920,1080,yuv420p,23.97602398,2386411,69503,32.457209,88.694117,10,49.248982,2.601509,12,622080,2023-11-19 17:05:26.157,2023-11-19 17:07:47.332,1,2023-11-19 17:08:01.818,2023-11-19 17:08:17.192,1,2396.497195776256,252.00761861111116,2648.504814387367
Vlog_2160P-030a_downsample_1080p,Vlog,1080,1920,1080,yuv420p,23.97602398,2386411,14889,31.894762,82.469652,20,15.003501,1.573358,12,622080,2023-11-19 17:11:29.365,2023-11-19 17:13:08.347,1,2023-11-19 17:13:54.261,2023-11-19 17:14:01.312,1,1571.1270304402171,111.85823916666668,1682.9852696068838
Vlog_2160P-030a_downsample_1080p,Vlog,1080,1920,1080,yuv420p,23.97602398,2386411,2745,30.479674,68.730788,30,6.117644,1.127441,12,622080,2023-11-19 17:20:15.833,2023-11-19 17:21:26.036,1,2023-11-19 17:21:39.944,2023-11-19 17:21:42.565,1,999.8994264796744,42.18281083333333,1042.0822373130077
Vlog_2160P-030a_downsample_1080p,Vlog,1080,1920,1080,yuv420p,23.97602398,2386411,769,27.555354,46.116387,40,6.892226,1.153447,12,622080,2023-11-19 17:24:15.453,2023-11-19 17:25:40.786,1,2023-11-19 17:25:56.274,2023-11-19 17:25:57.734,1,938.4478897291665,24.944505555555555,963.392395284722
Vlog_2160P-030a_downsample_1080p,Vlog,1080,1920,1080,yuv420p,23.97602398,2386411,190,25.040878,21.124672,50,7.027513,1.121866,12,622080,2023-11-19 17:29:45.086,2023-11-19 17:31:12.472,1,2023-11-19 17:31:26.394,2023-11-19 17:31:29.277,1,838.8415983488612,35.639445791666674,874.481044140528
Vlog_2160P-030a_downsample_720p,Vlog,720,1280,720,yuv420p,23.97602398,2386411,35541,26.902810,71.732701,10,14.946134,0.937139,12,276480,2023-11-19 17:31:52.707,2023-11-19 17:33:12.237,1,2023-11-19 17:33:26.201,2023-11-19 17:33:32.816,1,1277.6708651093747,108.54112499999998,1386.2119901093747
Vlog_2160P-030a_downsample_720p,Vlog,720,1280,720,yuv420p,23.97602398,2386411,5453,26.797978,66.079028,20,3.986082,0.591894,12,276480,2023-11-19 17:36:37.108,2023-11-19 17:37:18.329,1,2023-11-19 17:37:32.147,2023-11-19 17:37:33.473,1,683.2435275132271,21.195005000000002,704.4385325132272
Vlog_2160P-030a_downsample_720p,Vlog,720,1280,720,yuv420p,23.97602398,2386411,842,26.574563,54.198267,30,3.330325,0.566074,12,276480,2023-11-19 17:37:53.287,2023-11-19 17:38:33.795,1,2023-11-19 17:38:47.704,2023-11-19 17:39:05.961,2,479.0919319710145,14.180630333333335,493.27256230434784
Vlog_2160P-030a_downsample_720p,Vlog,720,1280,720,yuv420p,23.97602398,2386411,260,26.011025,34.171136,40,3.737904,0.517904,12,276480,2023-11-19 17:39:26.331,2023-11-19 17:40:15.454,1,2023-11-19 17:40:29.305,2023-11-19 17:41:17.717,3,472.2375488634539,8.954444375000001,481.1919932384539
Vlog_2160P-030a_downsample_720p,Vlog,720,1280,720,yuv420p,23.97602398,2386411,93,24.817473,16.835977,50,4.011028,0.534674,12,276480,2023-11-19 17:41:39.834,2023-11-19 17:42:29.404,1,2023-11-19 17:42:43.895,2023-11-19 17:43:27.464,2,424.44797872916683,6.5353935000000005,430.98337222916683
