vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,33574,41.468575,90.367897,10,51.803073,9.584314,12,622080,2023-11-25 07:46:34.294,2023-11-25 07:46:35.135,1,2023-11-25 18:52:49.696,2023-11-25 18:54:22.713,1,11.380832499999999,842.3742893333329,853.7551218333329
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,7552,39.986310,82.752275,20,32.457453,4.8973,12,622080,2023-11-25 19:16:41.028,2023-11-25 19:23:02.800,1,2023-11-25 19:23:16.688,2023-11-25 19:24:12.398,1,5571.439061776065,448.8001602155171,6020.239221991582
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,1615,37.278468,62.319744,30,24.32619,3.271349,12,622080,2023-11-25 19:46:29.573,2023-11-25 19:51:14.798,1,2023-11-25 19:51:28.346,2023-11-25 19:52:02.527,1,3906.3731948608115,270.7388332877358,4177.112028148547
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,357,33.901474,29.796339,40,22.948469,2.616579,12,622080,2023-11-25 20:12:25.148,2023-11-25 20:16:58.802,1,2023-11-25 20:17:12.264,2023-11-25 20:17:34.636,1,3289.9167137815894,185.5773971851852,3475.4941109667743
Gaming_2160P-2dc4_downsample_1080p,Gaming,1080,1920,1080,yuv420p,59.94006309,5956076,132,30.882082,3.207578,50,31.534039,2.453373,12,622080,2023-11-25 20:38:33.071,2023-11-25 20:43:18.638,1,2023-11-25 20:43:32.375,2023-11-25 20:43:45.497,1,3198.020614580448,145.27366199999997,3343.2942765804482
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,15617,38.591295,76.379569,10,40.727878,6.311151,12,276480,2023-11-25 20:48:44.279,2023-11-25 20:56:04.530,1,2023-11-25 20:56:18.484,2023-11-25 20:57:31.931,1,5046.875834319912,547.4861791666667,5594.36201348658
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,3655,37.642375,65.953340,20,22.548979,3.702533,12,276480,2023-11-25 21:02:50.722,2023-11-25 21:07:34.154,1,2023-11-25 21:07:48.152,2023-11-25 21:08:29.103,1,3159.070395542265,295.6247571124999,3454.695152654765
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,798,35.612522,43.099345,30,14.611591,2.158063,12,276480,2023-11-25 21:12:37.259,2023-11-25 21:15:42.195,1,2023-11-25 21:15:56.057,2023-11-25 21:16:18.666,1,2077.3619320337093,165.00573051785716,2242.3676625515664
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,181,32.750326,11.940023,40,13.1679,1.478836,12,276480,2023-11-25 21:20:51.317,2023-11-25 21:23:52.535,1,2023-11-25 21:24:06.315,2023-11-25 21:24:19.502,1,1791.20188452353,99.4003971633333,1890.6022816868633
Gaming_2160P-2dc4_downsample_720p,Gaming,720,1280,720,yuv420p,59.94006309,5956076,71,30.075702,1.390436,50,13.785808,1.257864,12,276480,2023-11-25 21:28:50.011,2023-11-25 21:31:50.872,1,2023-11-25 21:32:05.132,2023-11-25 21:32:13.343,1,1685.1578106234467,65.45265825,1750.6104688734467
