vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,29657,47.676710,99.449584,10,35.974312,5.018327,12,622080,2023-11-22 01:58:26.921,2023-11-22 02:05:01.779,1,2023-11-22 02:05:15.624,2023-11-22 02:06:09.746,1,6144.450002782004,524.9305389068099,6669.3805416888135
Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,8992,44.346724,96.273791,20,23.815261,3.211076,12,622080,2023-11-22 02:10:11.839,2023-11-22 02:14:45.706,1,2023-11-22 02:14:59.734,2023-11-22 02:15:33.044,1,4179.305920248509,292.78246015432103,4472.08838040283
Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,2664,39.526415,77.030156,30,16.381116,2.303352,12,622080,2023-11-22 02:19:34.547,2023-11-22 02:23:00.553,1,2023-11-22 02:23:14.293,2023-11-22 02:23:37.506,1,2985.1015892084383,184.99649835077525,3170.0980875592136
Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,725,34.003090,44.178074,40,12.777827,1.683135,12,622080,2023-11-22 02:26:53.140,2023-11-22 02:29:30.917,1,2023-11-22 02:29:46.478,2023-11-22 02:30:02.368,1,2176.5340967185484,123.6377849691358,2300.171881687684
Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,231,29.140086,13.107971,50,12.05428,1.330261,12,622080,2023-11-22 02:34:29.938,2023-11-22 02:37:07.742,1,2023-11-22 02:37:21.689,2023-11-22 02:37:32.190,1,1778.2127027201789,82.35252656140351,1860.5652292815823
Gaming_2160P-3002_downsample_720p,Gaming,720,1280,720,yuv420p,24.0,2388797,16766,44.485726,97.562404,10,23.11424,3.876762,12,276480,2023-11-22 02:43:05.884,2023-11-22 02:47:38.822,1,2023-11-22 02:47:52.749,2023-11-22 02:48:35.145,1,3439.24074213532,344.1929098734178,3783.4336520087377
Gaming_2160P-3002_downsample_720p,Gaming,720,1280,720,yuv420p,24.0,2388797,5216,41.846441,88.868261,20,16.774175,2.666075,12,276480,2023-11-22 02:48:54.694,2023-11-22 02:52:26.269,1,2023-11-22 02:52:40.383,2023-11-22 02:53:07.730,1,2448.872697785195,201.59046152500002,2650.4631593101954
Gaming_2160P-3002_downsample_720p,Gaming,720,1280,720,yuv420p,24.0,2388797,1515,37.321014,63.320117,30,11.646106,1.710277,12,276480,2023-11-22 02:53:27.285,2023-11-22 02:55:56.260,1,2023-11-22 02:56:10.332,2023-11-22 02:56:27.197,1,1680.4104361523887,121.87659993279567,1802.2870360851844
Gaming_2160P-3002_downsample_720p,Gaming,720,1280,720,yuv420p,24.0,2388797,383,32.152001,31.052270,40,8.319884,1.129408,12,276480,2023-11-22 02:56:48.308,2023-11-22 02:58:29.268,1,2023-11-22 02:58:44.407,2023-11-22 02:58:57.292,1,1142.8743468100363,91.71441276315791,1234.5887595731942
Gaming_2160P-3002_downsample_720p,Gaming,720,1280,720,yuv420p,24.0,2388797,120,27.790330,4.271318,50,6.727236,0.75574,12,276480,2023-11-22 02:59:19.563,2023-11-22 03:00:40.553,1,2023-11-22 03:00:54.284,2023-11-22 03:01:02.533,1,840.728659431818,60.511649942307685,901.2403093741257
