vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Sports_2160P-1b70_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,61068,41.275148,95.115125,10,46.540241,6.732732,12,622080,2023-11-22 15:17:09.925,2023-11-22 15:25:51.027,1,2023-11-22 15:26:04.794,2023-11-22 15:27:23.503,1,8749.527820637208,828.1693487983094,9577.697169435518
Sports_2160P-1b70_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,8860,39.216904,89.032816,20,22.098239,3.535838,12,622080,2023-11-22 15:33:21.355,2023-11-22 15:37:27.952,1,2023-11-22 15:37:42.093,2023-11-22 15:38:21.415,1,3531.6252679775935,343.0869194975844,3874.712187475178
Sports_2160P-1b70_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,1451,36.549505,72.348992,30,12.317742,1.966414,12,622080,2023-11-22 15:44:12.022,2023-11-22 15:46:41.622,1,2023-11-22 15:46:55.705,2023-11-22 15:47:15.802,1,2085.173317814208,158.10375256097555,2243.2770703751835
Sports_2160P-1b70_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,340,32.093806,37.208371,40,10.5699,1.439892,12,622080,2023-11-22 15:53:33.343,2023-11-22 15:55:49.314,1,2023-11-22 15:56:03.011,2023-11-22 15:56:18.899,1,1720.2273271196402,123.69765693333335,1843.9249840529735
Sports_2160P-1b70_downsample_1080p,Sports,1080,1920,1080,yuv420p,29.97002997,2983014,93,27.249694,8.530185,50,10.672978,1.384653,12,622080,2023-11-22 16:02:15.442,2023-11-22 16:04:30.556,1,2023-11-22 16:04:44.401,2023-11-22 16:04:54.935,1,1590.0726828030292,87.95023871111111,1678.0229215141403
Sports_2160P-1b70_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,24836,37.763643,86.665327,10,26.648089,5.641581,12,276480,2023-11-22 16:05:22.237,2023-11-22 16:11:01.643,1,2023-11-22 16:11:15.583,2023-11-22 16:12:18.697,1,4206.806339798473,539.5588475826446,4746.365187381118
Sports_2160P-1b70_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,4178,36.800904,78.208269,20,14.975957,2.899896,12,276480,2023-11-22 16:12:43.004,2023-11-22 16:15:46.580,1,2023-11-22 16:16:00.576,2023-11-22 16:16:33.080,1,1963.1533724560265,233.15862755555563,2196.3120000115823
Sports_2160P-1b70_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,840,34.560456,57.363059,30,8.178341,1.547543,12,276480,2023-11-22 16:17:46.873,2023-11-22 16:19:29.172,1,2023-11-22 16:19:42.982,2023-11-22 16:20:00.240,1,1138.2450650176766,124.48001991379313,1262.7250849314696
Sports_2160P-1b70_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,194,30.511290,23.751173,40,6.428955,0.975804,12,276480,2023-11-22 16:21:11.557,2023-11-22 16:22:25.738,1,2023-11-22 16:22:39.782,2023-11-22 16:22:47.900,1,824.6697543162392,60.57339369230769,885.2431480085469
Sports_2160P-1b70_downsample_720p,Sports,720,1280,720,yuv420p,29.97002997,2983014,51,26.110826,3.472858,50,6.215109,0.741246,12,276480,2023-11-22 16:23:30.387,2023-11-22 16:24:49.750,1,2023-11-22 16:25:04.739,2023-11-22 16:25:11.248,1,783.7579138841916,49.8088290448718,833.5667429290634
