vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Gaming_2160P-348d_downsample_1080p,"[[Timestamp('2023-11-21 07:25:08.409000'), Timestamp('2023-11-21 07:25:09.265000'), Timestamp('2023-11-21 07:25:09.748000'), Timestamp('2023-11-21 07:25:10.227000'), Timestamp('2023-11-21 07:25:10.709000'), Timestamp('2023-11-21 07:25:11.188000'), Timestamp('2023-11-21 07:25:11.671000'), Timestamp('2023-11-21 07:25:12.149000'), Timestamp('2023-11-21 07:25:12.632000'), Timestamp('2023-11-21 07:25:13.110000'), Timestamp('2023-11-21 07:25:13.593000'), Timestamp('2023-11-21 07:25:14.072000'), Timestamp('2023-11-21 07:25:14.554000'), Timestamp('2023-11-21 07:25:15.033000'), Timestamp('2023-11-21 07:25:15.516000'), Timestamp('2023-11-21 07:25:15.994000'), Timestamp('2023-11-21 07:25:16.477000'), Timestamp('2023-11-21 07:25:16.955000')]]","[[141.84, 146.74, 161.03, 134.51, 161.1, 151.13, 141.29, 133.01, 143.11, 168.36, 143.3, 155.4, 170.46, 133.64, 155.63, 157.28, 94.693, 78.672]]",[],[]
Gaming_2160P-348d_downsample_1080p,"[[Timestamp('2023-11-21 07:31:54.002000'), Timestamp('2023-11-21 07:31:54.844000'), Timestamp('2023-11-21 07:31:55.687000'), Timestamp('2023-11-21 07:31:56.513000'), Timestamp('2023-11-21 07:31:57.006000'), Timestamp('2023-11-21 07:31:57.486000'), Timestamp('2023-11-21 07:31:57.968000'), Timestamp('2023-11-21 07:31:58.448000')]]","[[157.45, 161.01, 166.1, 111.74, 163.71, 161.66, 159.35, 159.02]]",[],[]
Gaming_2160P-348d_downsample_1080p,"[[Timestamp('2023-11-21 07:38:07.223000'), Timestamp('2023-11-21 07:38:07.704000'), Timestamp('2023-11-21 07:38:08.185000'), Timestamp('2023-11-21 07:38:08.666000'), Timestamp('2023-11-21 07:38:09.148000'), Timestamp('2023-11-21 07:38:09.628000'), Timestamp('2023-11-21 07:38:10.110000')]]","[[133.44, 170.19, 172.71, 175.79, 174.12, 171.59, 177.18]]","[[176.83, 175.94, 178.35, 182.87, 159.84, 80.251, 79.624, 78.876, 79.542, 78.334, 78.516, 77.609, 77.23]]","[[Timestamp('2023-11-21 07:37:43.444000'), Timestamp('2023-11-21 07:37:44.302000'), Timestamp('2023-11-21 07:37:45.132000'), Timestamp('2023-11-21 07:37:45.614000'), Timestamp('2023-11-21 07:37:46.094000'), Timestamp('2023-11-21 07:37:46.576000'), Timestamp('2023-11-21 07:37:47.056000'), Timestamp('2023-11-21 07:37:47.538000'), Timestamp('2023-11-21 07:37:48.018000'), Timestamp('2023-11-21 07:37:48.500000'), Timestamp('2023-11-21 07:37:48.981000'), Timestamp('2023-11-21 07:37:49.463000'), Timestamp('2023-11-21 07:37:49.943000')]]"
Gaming_2160P-348d_downsample_1080p,"[[Timestamp('2023-11-21 07:44:01.550000'), Timestamp('2023-11-21 07:44:02.386000'), Timestamp('2023-11-21 07:44:03.229000')]]","[[181.77, 190.81, 192.97]]",[],[]
Gaming_2160P-348d_downsample_1080p,"[[Timestamp('2023-11-21 07:50:12.200000'), Timestamp('2023-11-21 07:50:13.046000'), Timestamp('2023-11-21 07:50:13.906000'), Timestamp('2023-11-21 07:50:14.737000')]]","[[78.836, 193.16, 185.82, 196.4]]",[],[]
Gaming_2160P-348d_downsample_720p,"[[Timestamp('2023-11-21 07:51:39.174000'), Timestamp('2023-11-21 07:51:40.028000'), Timestamp('2023-11-21 07:51:40.519000'), Timestamp('2023-11-21 07:51:41.002000'), Timestamp('2023-11-21 07:51:41.482000'), Timestamp('2023-11-21 07:51:41.965000'), Timestamp('2023-11-21 07:51:42.446000'), Timestamp('2023-11-21 07:51:42.928000'), Timestamp('2023-11-21 07:51:43.409000'), Timestamp('2023-11-21 07:51:43.891000')]]","[[128.7, 127.22, 129.06, 133.15, 129.11, 125.89, 126.54, 129.96, 134.26, 116.2]]",[],[]
Gaming_2160P-348d_downsample_720p,"[[Timestamp('2023-11-21 07:53:25.759000'), Timestamp('2023-11-21 07:53:26.617000'), Timestamp('2023-11-21 07:53:27.447000'), Timestamp('2023-11-21 07:53:27.929000'), Timestamp('2023-11-21 07:53:28.409000'), Timestamp('2023-11-21 07:53:28.892000'), Timestamp('2023-11-21 07:53:29.372000'), Timestamp('2023-11-21 07:53:29.854000'), Timestamp('2023-11-21 07:53:30.335000'), Timestamp('2023-11-21 07:53:30.817000'), Timestamp('2023-11-21 07:53:31.297000'), Timestamp('2023-11-21 07:53:31.779000')]]","[[78.457, 105.26, 113.68, 121.81, 114.66, 120.73, 115.6, 111.56, 78.486, 78.21, 78.738, 78.294]]",[],[]
Gaming_2160P-348d_downsample_720p,"[[Timestamp('2023-11-21 07:54:53.892000'), Timestamp('2023-11-21 07:54:54.734000'), Timestamp('2023-11-21 07:54:55.583000')], [Timestamp('2023-11-21 07:55:11.842000'), Timestamp('2023-11-21 07:55:12.687000'), Timestamp('2023-11-21 07:55:13.548000'), Timestamp('2023-11-21 07:55:14.377000'), Timestamp('2023-11-21 07:55:14.861000')]]","[[155.08, 86.759, 78.30199999999999], [123.86, 121.58, 78.941, 78.814, 78.806]]",[],[]
Gaming_2160P-348d_downsample_720p,"[[Timestamp('2023-11-21 07:56:54.047000')], [Timestamp('2023-11-21 07:57:08.168000')], [Timestamp('2023-11-21 07:57:38.330000')]]","[[172.27], [128.12], [171.4]]",[[0.0]],[[Timestamp('2023-11-21 07:57:24.295000')]]
Gaming_2160P-348d_downsample_720p,"[[Timestamp('2023-11-21 07:59:18.275000'), Timestamp('2023-11-21 07:59:19.090000')], [Timestamp('2023-11-21 08:00:27.255000')], [Timestamp('2023-11-21 08:00:43.107000'), Timestamp('2023-11-21 08:00:43.956000'), Timestamp('2023-11-21 08:00:44.788000')]]","[[139.06, 78.41199999999999], [131.7], [117.73, 78.734, 78.207]]","[[78.884, 78.42699999999999], [78.178]]","[[Timestamp('2023-11-21 07:59:36.505000'), Timestamp('2023-11-21 07:59:37.703000')], [Timestamp('2023-11-21 08:00:11.301000')]]"
