vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Gaming_2160P-34a1_downsample_1080p,"[[Timestamp('2023-11-21 10:35:28.898000'), Timestamp('2023-11-21 10:35:29.743000'), Timestamp('2023-11-21 10:35:30.574000'), Timestamp('2023-11-21 10:35:31.409000'), Timestamp('2023-11-21 10:35:31.892000'), Timestamp('2023-11-21 10:35:32.379000'), Timestamp('2023-11-21 10:35:32.861000'), Timestamp('2023-11-21 10:35:33.342000'), Timestamp('2023-11-21 10:35:33.824000'), Timestamp('2023-11-21 10:35:34.305000'), Timestamp('2023-11-21 10:35:34.787000'), Timestamp('2023-11-21 10:35:35.268000'), Timestamp('2023-11-21 10:35:35.750000'), Timestamp('2023-11-21 10:35:36.231000'), Timestamp('2023-11-21 10:35:36.713000'), Timestamp('2023-11-21 10:35:37.194000'), Timestamp('2023-11-21 10:35:37.676000'), Timestamp('2023-11-21 10:35:38.157000'), Timestamp('2023-11-21 10:35:38.639000'), Timestamp('2023-11-21 10:35:39.120000'), Timestamp('2023-11-21 10:35:39.602000'), Timestamp('2023-11-21 10:35:40.083000'), Timestamp('2023-11-21 10:35:40.565000'), Timestamp('2023-11-21 10:35:41.046000'), Timestamp('2023-11-21 10:35:41.528000'), Timestamp('2023-11-21 10:35:42.009000'), Timestamp('2023-11-21 10:35:42.491000'), Timestamp('2023-11-21 10:35:42.972000'), Timestamp('2023-11-21 10:35:43.454000'), Timestamp('2023-11-21 10:35:43.935000')]]","[[215.75, 209.6, 193.02, 211.99, 216.68, 189.94, 215.84, 209.72, 193.11, 216.2, 205.77, 206.77, 210.39, 201.44, 199.49, 211.87, 198.58, 209.95, 210.94, 200.59, 209.38, 211.35, 198.4, 207.84, 207.62, 198.02, 211.91, 201.42, 203.32, 211.66]]",[],[]
Gaming_2160P-34a1_downsample_1080p,"[[Timestamp('2023-11-21 10:55:30.915000'), Timestamp('2023-11-21 10:55:31.756000'), Timestamp('2023-11-21 10:55:32.238000'), Timestamp('2023-11-21 10:55:32.725000'), Timestamp('2023-11-21 10:55:33.207000'), Timestamp('2023-11-21 10:55:34.046000'), Timestamp('2023-11-21 10:55:34.923000'), Timestamp('2023-11-21 10:55:35.756000'), Timestamp('2023-11-21 10:55:36.272000'), Timestamp('2023-11-21 10:55:36.760000'), Timestamp('2023-11-21 10:55:37.252000'), Timestamp('2023-11-21 10:55:37.766000'), Timestamp('2023-11-21 10:55:38.249000'), Timestamp('2023-11-21 10:55:38.763000'), Timestamp('2023-11-21 10:55:39.246000'), Timestamp('2023-11-21 10:55:39.761000')]]","[[217.93, 210.59, 207.45, 208.97, 211.61, 210.19, 205.73, 208.49, 212.69, 201.54, 218.63, 201.3, 214.83, 206.52, 207.11, 204.12]]",[],[]
Gaming_2160P-34a1_downsample_1080p,"[[Timestamp('2023-11-21 11:14:49.947000'), Timestamp('2023-11-21 11:14:51.146000'), Timestamp('2023-11-21 11:14:52.014000'), Timestamp('2023-11-21 11:14:52.848000'), Timestamp('2023-11-21 11:14:53.329000'), Timestamp('2023-11-21 11:14:53.813000'), Timestamp('2023-11-21 11:14:54.655000'), Timestamp('2023-11-21 11:14:55.523000')]]","[[209.72, 206.98, 211.81, 215.03, 216.23, 213.89, 205.48, 208.94]]",[],[]
Gaming_2160P-34a1_downsample_1080p,"[[Timestamp('2023-11-21 11:34:29.997000'), Timestamp('2023-11-21 11:34:30.850000'), Timestamp('2023-11-21 11:34:31.707000'), Timestamp('2023-11-21 11:34:32.564000'), Timestamp('2023-11-21 11:34:33.046000'), Timestamp('2023-11-21 11:34:33.525000'), Timestamp('2023-11-21 11:34:34.007000'), Timestamp('2023-11-21 11:34:34.486000')]]","[[203.19, 211.68, 209.78, 203.49, 202.02, 203.23, 209.77, 203.36]]",[],[]
Gaming_2160P-34a1_downsample_1080p,"[[Timestamp('2023-11-21 11:53:31.500000'), Timestamp('2023-11-21 11:53:32.357000'), Timestamp('2023-11-21 11:53:33.226000'), Timestamp('2023-11-21 11:53:34.060000'), Timestamp('2023-11-21 11:53:34.542000'), Timestamp('2023-11-21 11:53:35.022000'), Timestamp('2023-11-21 11:53:35.504000'), Timestamp('2023-11-21 11:53:35.985000')]]","[[199.2, 190.1, 201.2, 206.16, 203.02, 199.84, 206.93, 207.57]]",[],[]
Gaming_2160P-34a1_downsample_720p,"[[Timestamp('2023-11-21 11:58:55.036000'), Timestamp('2023-11-21 11:58:55.518000'), Timestamp('2023-11-21 11:58:55.998000'), Timestamp('2023-11-21 11:58:56.481000'), Timestamp('2023-11-21 11:58:56.961000'), Timestamp('2023-11-21 11:58:57.444000'), Timestamp('2023-11-21 11:58:57.923000'), Timestamp('2023-11-21 11:58:58.405000'), Timestamp('2023-11-21 11:58:58.885000'), Timestamp('2023-11-21 11:58:59.368000'), Timestamp('2023-11-21 11:58:59.847000'), Timestamp('2023-11-21 11:59:00.330000'), Timestamp('2023-11-21 11:59:00.809000'), Timestamp('2023-11-21 11:59:01.292000'), Timestamp('2023-11-21 11:59:01.771000')]]","[[180.22, 202.92, 173.85, 188.73, 167.34, 175.4, 192.06, 156.5, 205.71, 161.67, 186.75, 170.25, 179.44, 200.75, 169.17]]",[],[]
Gaming_2160P-34a1_downsample_720p,"[[Timestamp('2023-11-21 12:04:54.730000'), Timestamp('2023-11-21 12:04:55.575000'), Timestamp('2023-11-21 12:04:56.432000'), Timestamp('2023-11-21 12:04:57.287000'), Timestamp('2023-11-21 12:04:57.770000'), Timestamp('2023-11-21 12:04:58.249000'), Timestamp('2023-11-21 12:04:58.731000'), Timestamp('2023-11-21 12:04:59.210000')]]","[[201.02, 194.46, 193.55, 199.85, 198.52, 169.98, 80.813, 80.755]]",[],[]
Gaming_2160P-34a1_downsample_720p,"[[Timestamp('2023-11-21 12:11:17.466000'), Timestamp('2023-11-21 12:11:17.947000'), Timestamp('2023-11-21 12:11:18.426000'), Timestamp('2023-11-21 12:11:18.908000'), Timestamp('2023-11-21 12:11:19.419000')]]","[[202.91, 203.42, 210.57, 204.42, 203.21]]",[],[]
Gaming_2160P-34a1_downsample_720p,"[[Timestamp('2023-11-21 12:16:56.843000'), Timestamp('2023-11-21 12:16:57.702000'), Timestamp('2023-11-21 12:16:58.535000'), Timestamp('2023-11-21 12:16:59.051000'), Timestamp('2023-11-21 12:16:59.533000'), Timestamp('2023-11-21 12:17:00.022000'), Timestamp('2023-11-21 12:17:00.504000'), Timestamp('2023-11-21 12:17:00.993000'), Timestamp('2023-11-21 12:17:01.474000')]]","[[108.23, 78.94800000000001, 180.16, 203.95, 206.89, 171.3, 78.54, 78.55, 79.913]]",[],[]
Gaming_2160P-34a1_downsample_720p,"[[Timestamp('2023-11-21 12:23:14.554000'), Timestamp('2023-11-21 12:23:15.397000'), Timestamp('2023-11-21 12:23:15.879000'), Timestamp('2023-11-21 12:23:16.368000'), Timestamp('2023-11-21 12:23:16.856000')]]","[[206.48, 204.96, 202.7, 200.2, 95.542]]",[],[]
