vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Sports_2160P-086d_downsample_1080p,"[[Timestamp('2023-11-21 12:45:54.406000'), Timestamp('2023-11-21 12:45:55.260000'), Timestamp('2023-11-21 12:45:55.753000'), Timestamp('2023-11-21 12:45:56.233000'), Timestamp('2023-11-21 12:45:56.716000'), Timestamp('2023-11-21 12:45:57.196000'), Timestamp('2023-11-21 12:45:57.678000'), Timestamp('2023-11-21 12:45:58.159000'), Timestamp('2023-11-21 12:45:58.641000'), Timestamp('2023-11-21 12:45:59.121000'), Timestamp('2023-11-21 12:45:59.603000'), Timestamp('2023-11-21 12:46:00.084000'), Timestamp('2023-11-21 12:46:00.566000'), Timestamp('2023-11-21 12:46:01.047000'), Timestamp('2023-11-21 12:46:01.529000'), Timestamp('2023-11-21 12:46:02.009000'), Timestamp('2023-11-21 12:46:02.491000'), Timestamp('2023-11-21 12:46:02.972000'), Timestamp('2023-11-21 12:46:03.454000'), Timestamp('2023-11-21 12:46:03.934000'), Timestamp('2023-11-21 12:46:04.416000'), Timestamp('2023-11-21 12:46:04.897000'), Timestamp('2023-11-21 12:46:05.379000'), Timestamp('2023-11-21 12:46:05.859000'), Timestamp('2023-11-21 12:46:06.341000'), Timestamp('2023-11-21 12:46:06.822000'), Timestamp('2023-11-21 12:46:07.304000'), Timestamp('2023-11-21 12:46:07.784000'), Timestamp('2023-11-21 12:46:08.267000'), Timestamp('2023-11-21 12:46:08.747000'), Timestamp('2023-11-21 12:46:09.229000'), Timestamp('2023-11-21 12:46:09.709000'), Timestamp('2023-11-21 12:46:10.192000'), Timestamp('2023-11-21 12:46:10.672000'), Timestamp('2023-11-21 12:46:11.154000'), Timestamp('2023-11-21 12:46:11.635000'), Timestamp('2023-11-21 12:46:12.117000'), Timestamp('2023-11-21 12:46:12.597000'), Timestamp('2023-11-21 12:46:13.079000'), Timestamp('2023-11-21 12:46:13.560000'), Timestamp('2023-11-21 12:46:14.042000'), Timestamp('2023-11-21 12:46:14.522000')]]","[[194.5, 192.58, 188.65, 195.79, 184.75, 191.65, 191.86, 191.29, 194.29, 195.52, 158.57, 80.19800000000001, 79.62100000000001, 78.344, 169.1, 192.05, 187.81, 193.37, 189.1, 186.94, 187.5, 127.45, 80.997, 80.35300000000001, 79.01, 167.53, 188.91, 193.57, 188.34, 193.7, 190.52, 192.22, 126.48, 80.89, 79.819, 98.152, 185.41, 192.49, 191.34, 189.32, 171.9, 79.438]]",[],[]
Sports_2160P-086d_downsample_1080p,"[[Timestamp('2023-11-21 12:51:51.033000'), Timestamp('2023-11-21 12:51:51.516000'), Timestamp('2023-11-21 12:51:51.996000'), Timestamp('2023-11-21 12:51:52.478000'), Timestamp('2023-11-21 12:51:52.958000'), Timestamp('2023-11-21 12:51:53.441000'), Timestamp('2023-11-21 12:51:53.921000'), Timestamp('2023-11-21 12:51:54.403000'), Timestamp('2023-11-21 12:51:54.884000'), Timestamp('2023-11-21 12:51:55.366000'), Timestamp('2023-11-21 12:51:55.846000'), Timestamp('2023-11-21 12:51:56.328000'), Timestamp('2023-11-21 12:51:56.809000'), Timestamp('2023-11-21 12:51:57.291000'), Timestamp('2023-11-21 12:51:57.771000'), Timestamp('2023-11-21 12:51:58.253000'), Timestamp('2023-11-21 12:51:58.734000'), Timestamp('2023-11-21 12:51:59.216000'), Timestamp('2023-11-21 12:51:59.696000'), Timestamp('2023-11-21 12:52:00.179000')]]","[[187.08, 187.73, 191.85, 187.45, 89.07799999999999, 79.516, 154.52, 186.11, 172.12, 180.89, 183.77, 180.35, 186.73, 188.76, 187.53, 141.18, 79.903, 152.64, 186.61, 98.01299999999999]]",[],[]
Sports_2160P-086d_downsample_1080p,"[[Timestamp('2023-11-21 12:55:50.884000'), Timestamp('2023-11-21 12:55:51.751000'), Timestamp('2023-11-21 12:55:52.617000'), Timestamp('2023-11-21 12:55:53.450000'), Timestamp('2023-11-21 12:55:53.931000'), Timestamp('2023-11-21 12:55:54.421000')]]","[[122.65, 190.57, 198.24, 198.52, 180.35, 191.8]]",[],[]
Sports_2160P-086d_downsample_1080p,"[[Timestamp('2023-11-21 13:00:58.972000'), Timestamp('2023-11-21 13:00:59.451000'), Timestamp('2023-11-21 13:00:59.933000'), Timestamp('2023-11-21 13:01:00.413000')]]","[[211.92, 208.4, 208.64, 209.04]]",[],[]
Sports_2160P-086d_downsample_1080p,"[[Timestamp('2023-11-21 13:06:04.141000')], [Timestamp('2023-11-21 13:06:26.717000')], [Timestamp('2023-11-21 13:06:45.750000'), Timestamp('2023-11-21 13:06:46.617000'), Timestamp('2023-11-21 13:06:47.451000'), Timestamp('2023-11-21 13:06:47.933000')]]","[[197.28], [166.83], [208.86, 213.18, 174.92, 78.732]]",[],[]
Sports_2160P-086d_downsample_720p,"[[Timestamp('2023-11-21 13:08:25.440000'), Timestamp('2023-11-21 13:08:26.282000'), Timestamp('2023-11-21 13:08:27.136000'), Timestamp('2023-11-21 13:08:27.628000'), Timestamp('2023-11-21 13:08:28.107000'), Timestamp('2023-11-21 13:08:28.589000'), Timestamp('2023-11-21 13:08:29.068000'), Timestamp('2023-11-21 13:08:29.551000'), Timestamp('2023-11-21 13:08:30.030000'), Timestamp('2023-11-21 13:08:30.513000'), Timestamp('2023-11-21 13:08:30.993000'), Timestamp('2023-11-21 13:08:31.475000'), Timestamp('2023-11-21 13:08:31.954000'), Timestamp('2023-11-21 13:08:32.436000'), Timestamp('2023-11-21 13:08:32.915000'), Timestamp('2023-11-21 13:08:33.398000'), Timestamp('2023-11-21 13:08:33.877000'), Timestamp('2023-11-21 13:08:34.360000'), Timestamp('2023-11-21 13:08:34.840000'), Timestamp('2023-11-21 13:08:35.321000'), Timestamp('2023-11-21 13:08:35.800000'), Timestamp('2023-11-21 13:08:36.283000')]]","[[168.4, 166.25, 176.63, 174.1, 126.34, 79.542, 78.718, 80.653, 159.15, 164.68, 153.84, 170.52, 170.58, 169.87, 103.04, 89.75399999999999, 173.12, 171.26, 165.94, 160.01, 128.12, 78.336]]",[],[]
Sports_2160P-086d_downsample_720p,"[[Timestamp('2023-11-21 13:09:59.866000'), Timestamp('2023-11-21 13:10:00.711000'), Timestamp('2023-11-21 13:10:01.570000'), Timestamp('2023-11-21 13:10:02.427000'), Timestamp('2023-11-21 13:10:02.908000'), Timestamp('2023-11-21 13:10:03.368000'), Timestamp('2023-11-21 13:10:04.593000'), Timestamp('2023-11-21 13:10:05.451000'), Timestamp('2023-11-21 13:10:06.261000'), Timestamp('2023-11-21 13:10:06.748000'), Timestamp('2023-11-21 13:10:07.230000'), Timestamp('2023-11-21 13:10:07.710000'), Timestamp('2023-11-21 13:10:08.193000')]]","[[134.39, 78.891, 77.71600000000001, 109.26, 131.65, 122.11, 129.67, 127.5, 88.758, 78.398, 104.06, 116.61, 117.33]]",[],[]
Sports_2160P-086d_downsample_720p,"[[Timestamp('2023-11-21 13:11:18.656000'), Timestamp('2023-11-21 13:11:19.483000'), Timestamp('2023-11-21 13:11:19.975000'), Timestamp('2023-11-21 13:11:20.456000')]]","[[131.34, 115.98, 134.93, 123.83]]",[],[]
Sports_2160P-086d_downsample_720p,"[[Timestamp('2023-11-21 13:12:32.258000')], [Timestamp('2023-11-21 13:12:49.537000'), Timestamp('2023-11-21 13:12:50.371000'), Timestamp('2023-11-21 13:12:50.853000')], [Timestamp('2023-11-21 13:12:49.537000'), Timestamp('2023-11-21 13:12:50.371000'), Timestamp('2023-11-21 13:12:50.853000')]]","[[171.95], [152.96, 80.684, 80.593], [152.96, 80.684, 80.593]]",[],[]
Sports_2160P-086d_downsample_720p,"[[Timestamp('2023-11-21 13:16:22.939000')], [Timestamp('2023-11-21 13:17:42.664000')]]","[[146.69], [203.75]]",[],[]
