vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Sports_2160P-1733_downsample_1080p,"[[Timestamp('2023-11-21 15:04:44.094000'), Timestamp('2023-11-21 15:04:44.920000'), Timestamp('2023-11-21 15:04:45.412000'), Timestamp('2023-11-21 15:04:45.892000'), Timestamp('2023-11-21 15:04:46.374000'), Timestamp('2023-11-21 15:04:46.854000'), Timestamp('2023-11-21 15:04:47.336000'), Timestamp('2023-11-21 15:04:47.816000'), Timestamp('2023-11-21 15:04:48.297000'), Timestamp('2023-11-21 15:04:48.777000'), Timestamp('2023-11-21 15:04:49.259000'), Timestamp('2023-11-21 15:04:49.739000'), Timestamp('2023-11-21 15:04:50.221000'), Timestamp('2023-11-21 15:04:50.701000'), Timestamp('2023-11-21 15:04:51.182000'), Timestamp('2023-11-21 15:04:51.662000'), Timestamp('2023-11-21 15:04:52.144000'), Timestamp('2023-11-21 15:04:52.624000'), Timestamp('2023-11-21 15:04:53.106000'), Timestamp('2023-11-21 15:04:53.586000'), Timestamp('2023-11-21 15:04:54.068000'), Timestamp('2023-11-21 15:04:54.547000'), Timestamp('2023-11-21 15:04:55.029000'), Timestamp('2023-11-21 15:04:55.509000'), Timestamp('2023-11-21 15:04:55.991000'), Timestamp('2023-11-21 15:04:56.471000'), Timestamp('2023-11-21 15:04:56.953000')]]","[[163.09, 189.13, 161.52, 173.79, 187.6, 138.73, 178.19, 171.94, 169.88, 187.59, 145.34, 178.27, 170.98, 162.11, 185.13, 153.72, 186.18, 180.02, 168.44, 185.61, 155.08, 172.87, 173.38, 165.2, 186.62, 155.94, 174.42]]",[],[]
Sports_2160P-1733_downsample_1080p,"[[Timestamp('2023-11-21 15:10:55.565000'), Timestamp('2023-11-21 15:10:56.045000'), Timestamp('2023-11-21 15:10:56.527000'), Timestamp('2023-11-21 15:10:57.008000'), Timestamp('2023-11-21 15:10:57.490000'), Timestamp('2023-11-21 15:10:57.970000'), Timestamp('2023-11-21 15:10:58.452000'), Timestamp('2023-11-21 15:10:58.932000'), Timestamp('2023-11-21 15:10:59.414000'), Timestamp('2023-11-21 15:10:59.894000'), Timestamp('2023-11-21 15:11:00.368000'), Timestamp('2023-11-21 15:11:01.566000'), Timestamp('2023-11-21 15:11:02.413000'), Timestamp('2023-11-21 15:11:03.248000'), Timestamp('2023-11-21 15:11:03.740000')]]","[[169.92, 171.36, 183.33, 111.7, 80.149, 108.58, 165.11, 170.1, 170.21, 178.27, 161.11, 171.48, 167.24, 172.88, 79.82300000000001]]",[],[]
Sports_2160P-1733_downsample_1080p,"[[Timestamp('2023-11-21 15:17:27.313000'), Timestamp('2023-11-21 15:17:28.152000'), Timestamp('2023-11-21 15:17:28.994000'), Timestamp('2023-11-21 15:17:29.478000'), Timestamp('2023-11-21 15:17:29.993000'), Timestamp('2023-11-21 15:17:30.477000'), Timestamp('2023-11-21 15:17:30.992000'), Timestamp('2023-11-21 15:17:31.476000'), Timestamp('2023-11-21 15:17:31.991000'), Timestamp('2023-11-21 15:17:32.476000')]]","[[195.48, 200.02, 197.36, 197.2, 182.22, 187.38, 79.627, 79.389, 78.596, 78.908]]",[],[]
Sports_2160P-1733_downsample_1080p,"[[Timestamp('2023-11-21 15:24:33.751000'), Timestamp('2023-11-21 15:24:34.605000'), Timestamp('2023-11-21 15:24:35.096000'), Timestamp('2023-11-21 15:24:35.575000'), Timestamp('2023-11-21 15:24:36.058000'), Timestamp('2023-11-21 15:24:36.537000')]]","[[202.2, 121.03, 91.73, 197.84, 205.47, 191.1]]",[],[]
Sports_2160P-1733_downsample_1080p,"[[Timestamp('2023-11-21 15:31:30.341000'), Timestamp('2023-11-21 15:31:30.855000'), Timestamp('2023-11-21 15:31:31.338000'), Timestamp('2023-11-21 15:31:31.852000'), Timestamp('2023-11-21 15:31:32.336000')]]","[[201.37, 206.31, 205.22, 200.57, 160.34]]",[],[]
Sports_2160P-1733_downsample_720p,"[[Timestamp('2023-11-21 15:33:31.394000'), Timestamp('2023-11-21 15:33:32.248000'), Timestamp('2023-11-21 15:33:32.714000'), Timestamp('2023-11-21 15:33:33.197000'), Timestamp('2023-11-21 15:33:33.711000'), Timestamp('2023-11-21 15:33:34.194000'), Timestamp('2023-11-21 15:33:34.709000'), Timestamp('2023-11-21 15:33:35.192000'), Timestamp('2023-11-21 15:33:35.706000'), Timestamp('2023-11-21 15:33:36.189000'), Timestamp('2023-11-21 15:33:36.704000'), Timestamp('2023-11-21 15:33:37.187000'), Timestamp('2023-11-21 15:33:37.702000'), Timestamp('2023-11-21 15:33:38.185000'), Timestamp('2023-11-21 15:33:38.699000'), Timestamp('2023-11-21 15:33:39.182000'), Timestamp('2023-11-21 15:33:39.696000'), Timestamp('2023-11-21 15:33:40.180000'), Timestamp('2023-11-21 15:33:40.694000'), Timestamp('2023-11-21 15:33:41.178000'), Timestamp('2023-11-21 15:33:41.692000'), Timestamp('2023-11-21 15:33:42.176000'), Timestamp('2023-11-21 15:33:42.689000')]]","[[151.52, 166.47, 135.02, 143.86, 167.19, 128.22, 151.0, 162.19, 102.25, 78.85300000000001, 78.903, 78.395, 115.25, 142.17, 169.25, 130.81, 145.37, 164.64, 139.23, 125.85, 79.609, 78.83, 78.498]]",[],[]
Sports_2160P-1733_downsample_720p,"[[Timestamp('2023-11-21 15:35:43.671000'), Timestamp('2023-11-21 15:35:44.515000'), Timestamp('2023-11-21 15:35:44.996000'), Timestamp('2023-11-21 15:35:45.486000'), Timestamp('2023-11-21 15:35:45.974000'), Timestamp('2023-11-21 15:35:46.816000'), Timestamp('2023-11-21 15:35:47.685000')]]","[[139.08, 124.93, 133.61, 138.49, 130.97, 123.65, 99.556]]",[],[]
Sports_2160P-1733_downsample_720p,"[[Timestamp('2023-11-21 15:37:19.712000'), Timestamp('2023-11-21 15:37:20.578000')], [Timestamp('2023-11-21 15:37:37.435000'), Timestamp('2023-11-21 15:37:37.949000'), Timestamp('2023-11-21 15:37:38.433000'), Timestamp('2023-11-21 15:37:38.947000'), Timestamp('2023-11-21 15:37:39.431000'), Timestamp('2023-11-21 15:37:39.946000'), Timestamp('2023-11-21 15:37:40.429000')]]","[[189.9, 83.236], [177.49, 161.73, 185.1, 79.378, 79.403, 78.675, 78.829]]",[],[]
Sports_2160P-1733_downsample_720p,"[[Timestamp('2023-11-21 15:39:11.479000'), Timestamp('2023-11-21 15:39:12.323000')], [Timestamp('2023-11-21 15:39:28.008000'), Timestamp('2023-11-21 15:39:28.862000'), Timestamp('2023-11-21 15:39:29.328000'), Timestamp('2023-11-21 15:39:29.810000')]]","[[130.55, 79.21300000000001], [153.88, 79.369, 79.23, 78.908]]",[],[]
Sports_2160P-1733_downsample_720p,"[[Timestamp('2023-11-21 15:42:03.312000'), Timestamp('2023-11-21 15:42:04.156000'), Timestamp('2023-11-21 15:42:04.637000')], [Timestamp('2023-11-21 15:42:39.467000'), Timestamp('2023-11-21 15:42:40.297000')]]","[[78.723, 85.462, 202.22], [122.19, 78.566]]","[[80.143, 79.667, 78.796, 79.165, 78.391, 78.279]]","[[Timestamp('2023-11-21 15:42:18.813000'), Timestamp('2023-11-21 15:42:19.654000'), Timestamp('2023-11-21 15:42:20.137000'), Timestamp('2023-11-21 15:42:20.625000'), Timestamp('2023-11-21 15:42:21.108000'), Timestamp('2023-11-21 15:42:21.947000')]]"
