vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Sports_2160P-1b70_downsample_1080p,"[[Timestamp('2023-11-21 16:19:49.235000'), Timestamp('2023-11-21 16:19:50.078000'), Timestamp('2023-11-21 16:19:50.908000'), Timestamp('2023-11-21 16:19:51.401000'), Timestamp('2023-11-21 16:19:51.888000'), Timestamp('2023-11-21 16:19:52.370000'), Timestamp('2023-11-21 16:19:52.850000'), Timestamp('2023-11-21 16:19:53.332000'), Timestamp('2023-11-21 16:19:53.812000'), Timestamp('2023-11-21 16:19:54.293000'), Timestamp('2023-11-21 16:19:54.773000'), Timestamp('2023-11-21 16:19:55.255000'), Timestamp('2023-11-21 16:19:55.735000'), Timestamp('2023-11-21 16:19:56.217000'), Timestamp('2023-11-21 16:19:56.697000'), Timestamp('2023-11-21 16:19:57.178000'), Timestamp('2023-11-21 16:19:57.658000'), Timestamp('2023-11-21 16:19:58.140000'), Timestamp('2023-11-21 16:19:58.620000'), Timestamp('2023-11-21 16:19:59.102000'), Timestamp('2023-11-21 16:19:59.582000'), Timestamp('2023-11-21 16:20:00.064000'), Timestamp('2023-11-21 16:20:00.544000'), Timestamp('2023-11-21 16:20:01.026000'), Timestamp('2023-11-21 16:20:01.505000'), Timestamp('2023-11-21 16:20:01.987000'), Timestamp('2023-11-21 16:20:02.467000'), Timestamp('2023-11-21 16:20:02.949000'), Timestamp('2023-11-21 16:20:03.429000'), Timestamp('2023-11-21 16:20:03.911000'), Timestamp('2023-11-21 16:20:04.391000'), Timestamp('2023-11-21 16:20:04.873000'), Timestamp('2023-11-21 16:20:05.353000'), Timestamp('2023-11-21 16:20:05.835000'), Timestamp('2023-11-21 16:20:06.315000'), Timestamp('2023-11-21 16:20:06.797000'), Timestamp('2023-11-21 16:20:07.277000'), Timestamp('2023-11-21 16:20:07.759000'), Timestamp('2023-11-21 16:20:08.240000'), Timestamp('2023-11-21 16:20:08.722000'), Timestamp('2023-11-21 16:20:09.202000'), Timestamp('2023-11-21 16:20:09.684000'), Timestamp('2023-11-21 16:20:10.165000'), Timestamp('2023-11-21 16:20:10.647000'), Timestamp('2023-11-21 16:20:11.127000'), Timestamp('2023-11-21 16:20:11.609000'), Timestamp('2023-11-21 16:20:12.090000')]]","[[166.13, 188.97, 164.85, 167.9, 167.71, 189.91, 175.89, 169.97, 166.6, 189.04, 174.38, 170.12, 165.32, 181.35, 177.91, 171.78, 170.14, 173.58, 187.78, 168.4, 165.23, 172.76, 185.97, 171.46, 167.61, 163.59, 190.08, 169.03, 168.23, 160.28, 183.43, 178.5, 171.03, 167.25, 180.38, 181.16, 165.44, 163.93, 173.11, 184.17, 170.48, 165.29, 167.65, 187.13, 174.66, 164.8, 162.38]]",[],[]
Sports_2160P-1b70_downsample_1080p,"[[Timestamp('2023-11-21 16:27:04.982000'), Timestamp('2023-11-21 16:27:05.816000'), Timestamp('2023-11-21 16:27:06.304000'), Timestamp('2023-11-21 16:27:06.785000'), Timestamp('2023-11-21 16:27:07.265000'), Timestamp('2023-11-21 16:27:07.745000'), Timestamp('2023-11-21 16:27:08.228000'), Timestamp('2023-11-21 16:27:08.708000'), Timestamp('2023-11-21 16:27:09.189000'), Timestamp('2023-11-21 16:27:09.669000'), Timestamp('2023-11-21 16:27:10.150000'), Timestamp('2023-11-21 16:27:10.630000'), Timestamp('2023-11-21 16:27:11.112000'), Timestamp('2023-11-21 16:27:11.592000'), Timestamp('2023-11-21 16:27:12.074000'), Timestamp('2023-11-21 16:27:12.554000'), Timestamp('2023-11-21 16:27:13.035000'), Timestamp('2023-11-21 16:27:13.515000'), Timestamp('2023-11-21 16:27:13.998000'), Timestamp('2023-11-21 16:27:14.478000'), Timestamp('2023-11-21 16:27:14.960000'), Timestamp('2023-11-21 16:27:15.439000'), Timestamp('2023-11-21 16:27:15.913000')]]","[[148.48, 167.39, 150.52, 164.76, 143.85, 165.99, 153.68, 168.74, 113.63, 172.68, 144.24, 161.2, 146.54, 165.25, 152.19, 165.73, 164.84, 147.74, 158.12, 131.27, 85.805, 89.789, 79.366]]",[],[]
Sports_2160P-1b70_downsample_1080p,"[[Timestamp('2023-11-21 16:34:43.486000'), Timestamp('2023-11-21 16:34:44.340000'), Timestamp('2023-11-21 16:34:44.832000'), Timestamp('2023-11-21 16:34:45.310000'), Timestamp('2023-11-21 16:34:45.792000'), Timestamp('2023-11-21 16:34:46.271000'), Timestamp('2023-11-21 16:34:46.754000'), Timestamp('2023-11-21 16:34:47.232000')]]","[[192.24, 188.56, 142.73, 79.541, 155.2, 186.52, 181.15, 188.06]]",[],[]
Sports_2160P-1b70_downsample_1080p,"[[Timestamp('2023-11-21 16:41:01.682000'), Timestamp('2023-11-21 16:41:02.499000'), Timestamp('2023-11-21 16:41:03.354000'), Timestamp('2023-11-21 16:41:03.821000')]]","[[202.83, 201.92, 202.01, 200.08]]",[],[]
Sports_2160P-1b70_downsample_1080p,"[[Timestamp('2023-11-21 16:47:35.891000'), Timestamp('2023-11-21 16:47:36.757000'), Timestamp('2023-11-21 16:47:37.602000'), Timestamp('2023-11-21 16:47:38.084000')], [Timestamp('2023-11-21 16:47:52.915000'), Timestamp('2023-11-21 16:47:53.782000'), Timestamp('2023-11-21 16:47:54.626000')]]","[[202.11, 174.87, 79.958, 97.381], [207.78, 202.46, 201.59]]",[],[]
Sports_2160P-1b70_downsample_720p,"[[Timestamp('2023-11-21 16:51:40.493000'), Timestamp('2023-11-21 16:51:41.347000'), Timestamp('2023-11-21 16:51:41.839000'), Timestamp('2023-11-21 16:51:42.318000'), Timestamp('2023-11-21 16:51:42.800000'), Timestamp('2023-11-21 16:51:43.280000'), Timestamp('2023-11-21 16:51:43.761000'), Timestamp('2023-11-21 16:51:44.241000'), Timestamp('2023-11-21 16:51:44.722000'), Timestamp('2023-11-21 16:51:45.201000'), Timestamp('2023-11-21 16:51:45.683000'), Timestamp('2023-11-21 16:51:46.162000'), Timestamp('2023-11-21 16:51:46.644000'), Timestamp('2023-11-21 16:51:47.123000'), Timestamp('2023-11-21 16:51:47.604000'), Timestamp('2023-11-21 16:51:48.084000'), Timestamp('2023-11-21 16:51:48.565000'), Timestamp('2023-11-21 16:51:49.045000'), Timestamp('2023-11-21 16:51:49.526000'), Timestamp('2023-11-21 16:51:50.006000'), Timestamp('2023-11-21 16:51:50.487000'), Timestamp('2023-11-21 16:51:50.967000'), Timestamp('2023-11-21 16:51:51.448000'), Timestamp('2023-11-21 16:51:51.928000'), Timestamp('2023-11-21 16:51:52.409000'), Timestamp('2023-11-21 16:51:52.889000'), Timestamp('2023-11-21 16:51:53.371000'), Timestamp('2023-11-21 16:51:53.851000'), Timestamp('2023-11-21 16:51:54.332000'), Timestamp('2023-11-21 16:51:54.812000'), Timestamp('2023-11-21 16:51:55.294000'), Timestamp('2023-11-21 16:51:55.774000'), Timestamp('2023-11-21 16:51:56.256000'), Timestamp('2023-11-21 16:51:56.736000')]]","[[78.325, 78.499, 138.22, 161.19, 145.22, 151.77, 146.33, 152.97, 157.52, 103.11, 78.89699999999999, 78.498, 77.954, 107.16, 161.02, 138.67, 158.19, 146.51, 146.18, 146.78, 131.59, 79.973, 127.4, 144.55, 143.75, 156.33, 140.54, 161.87, 143.8, 154.18, 146.31, 133.58, 149.38, 131.65]]","[[79.14399999999999, 79.128, 79.413, 78.419, 78.259, 78.236, 77.986, 77.768, 77.88600000000001, 78.77, 78.183, 78.449, 78.36, 79.058, 78.278, 79.373, 78.282, 78.263, 78.32300000000001, 78.453, 134.59, 146.91, 138.99, 162.5, 147.3, 158.25, 142.02, 159.79, 141.3, 158.65, 141.14, 99.736, 160.25, 144.86, 149.31, 149.14, 134.95, 161.62, 144.7, 154.76, 138.9, 100.75, 78.525, 118.42, 151.52, 142.95, 156.24, 144.64, 155.79, 143.62, 97.736, 79.20100000000001]]","[[Timestamp('2023-11-21 16:50:58.479000'), Timestamp('2023-11-21 16:50:58.960000'), Timestamp('2023-11-21 16:50:59.440000'), Timestamp('2023-11-21 16:50:59.921000'), Timestamp('2023-11-21 16:51:00.401000'), Timestamp('2023-11-21 16:51:00.882000'), Timestamp('2023-11-21 16:51:01.362000'), Timestamp('2023-11-21 16:51:01.844000'), Timestamp('2023-11-21 16:51:02.323000'), Timestamp('2023-11-21 16:51:02.805000'), Timestamp('2023-11-21 16:51:03.284000'), Timestamp('2023-11-21 16:51:03.766000'), Timestamp('2023-11-21 16:51:04.245000'), Timestamp('2023-11-21 16:51:04.726000'), Timestamp('2023-11-21 16:51:05.206000'), Timestamp('2023-11-21 16:51:05.687000'), Timestamp('2023-11-21 16:51:06.167000'), Timestamp('2023-11-21 16:51:06.648000'), Timestamp('2023-11-21 16:51:07.128000'), Timestamp('2023-11-21 16:51:07.609000'), Timestamp('2023-11-21 16:51:08.089000'), Timestamp('2023-11-21 16:51:08.570000'), Timestamp('2023-11-21 16:51:09.050000'), Timestamp('2023-11-21 16:51:09.531000'), Timestamp('2023-11-21 16:51:10.011000'), Timestamp('2023-11-21 16:51:10.492000'), Timestamp('2023-11-21 16:51:10.972000'), Timestamp('2023-11-21 16:51:11.454000'), Timestamp('2023-11-21 16:51:11.933000'), Timestamp('2023-11-21 16:51:12.415000'), Timestamp('2023-11-21 16:51:12.895000'), Timestamp('2023-11-21 16:51:13.376000'), Timestamp('2023-11-21 16:51:13.856000'), Timestamp('2023-11-21 16:51:14.337000'), Timestamp('2023-11-21 16:51:14.817000'), Timestamp('2023-11-21 16:51:15.299000'), Timestamp('2023-11-21 16:51:15.779000'), Timestamp('2023-11-21 16:51:16.260000'), Timestamp('2023-11-21 16:51:16.740000'), Timestamp('2023-11-21 16:51:17.221000'), Timestamp('2023-11-21 16:51:17.701000'), Timestamp('2023-11-21 16:51:18.183000'), Timestamp('2023-11-21 16:51:18.662000'), Timestamp('2023-11-21 16:51:19.144000'), Timestamp('2023-11-21 16:51:19.624000'), Timestamp('2023-11-21 16:51:20.105000'), Timestamp('2023-11-21 16:51:20.585000'), Timestamp('2023-11-21 16:51:21.066000'), Timestamp('2023-11-21 16:51:21.546000'), Timestamp('2023-11-21 16:51:22.028000'), Timestamp('2023-11-21 16:51:22.508000'), Timestamp('2023-11-21 16:51:22.988000')]]"
Sports_2160P-1b70_downsample_720p,"[[Timestamp('2023-11-21 16:53:46.552000'), Timestamp('2023-11-21 16:53:47.032000'), Timestamp('2023-11-21 16:53:47.514000'), Timestamp('2023-11-21 16:53:47.994000'), Timestamp('2023-11-21 16:53:48.476000'), Timestamp('2023-11-21 16:53:48.956000'), Timestamp('2023-11-21 16:53:49.437000'), Timestamp('2023-11-21 16:53:49.917000'), Timestamp('2023-11-21 16:53:50.399000'), Timestamp('2023-11-21 16:53:50.879000'), Timestamp('2023-11-21 16:53:51.361000'), Timestamp('2023-11-21 16:53:51.841000'), Timestamp('2023-11-21 16:53:52.323000')]]","[[123.84, 124.75, 129.98, 124.59, 125.95, 124.09, 134.29, 119.81, 123.13, 99.64399999999999, 77.637, 108.15, 127.71]]",[],[]
Sports_2160P-1b70_downsample_720p,"[[Timestamp('2023-11-21 16:55:30.714000'), Timestamp('2023-11-21 16:55:31.571000'), Timestamp('2023-11-21 16:55:32.054000')]]","[[163.98, 160.55, 168.76]]",[],[]
Sports_2160P-1b70_downsample_720p,"[[Timestamp('2023-11-21 16:57:07.527000')], [Timestamp('2023-11-21 16:57:22.476000'), Timestamp('2023-11-21 16:57:23.303000'), Timestamp('2023-11-21 16:57:23.796000')], [Timestamp('2023-11-21 16:57:38.481000')]]","[[206.67], [99.92200000000001, 78.559, 78.997], [186.18]]",[],[]
Sports_2160P-1b70_downsample_720p,"[[Timestamp('2023-11-21 16:59:40.775000')], [Timestamp('2023-11-21 16:59:55.716000'), Timestamp('2023-11-21 16:59:56.558000')], [Timestamp('2023-11-21 17:00:12.825000'), Timestamp('2023-11-21 17:00:13.662000'), Timestamp('2023-11-21 17:00:14.148000'), Timestamp('2023-11-21 17:00:14.630000'), Timestamp('2023-11-21 17:00:15.110000')]]","[[204.35], [205.34, 78.786], [149.05, 78.622, 79.257, 78.668, 79.62100000000001]]",[],[]
