vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Vlog_2160P-030a_downsample_1080p,"[[Timestamp('2023-11-19 17:08:01.818000'), Timestamp('2023-11-19 17:08:02.677000'), Timestamp('2023-11-19 17:08:03.509000'), Timestamp('2023-11-19 17:08:03.999000'), Timestamp('2023-11-19 17:08:04.488000'), Timestamp('2023-11-19 17:08:05.321000'), Timestamp('2023-11-19 17:08:06.200000'), Timestamp('2023-11-19 17:08:07.036000'), Timestamp('2023-11-19 17:08:07.551000'), Timestamp('2023-11-19 17:08:08.035000'), Timestamp('2023-11-19 17:08:08.550000'), Timestamp('2023-11-19 17:08:09.034000'), Timestamp('2023-11-19 17:08:09.522000'), Timestamp('2023-11-19 17:08:10.005000'), Timestamp('2023-11-19 17:08:10.493000'), Timestamp('2023-11-19 17:08:10.976000'), Timestamp('2023-11-19 17:08:11.817000'), Timestamp('2023-11-19 17:08:12.686000'), Timestamp('2023-11-19 17:08:13.530000'), Timestamp('2023-11-19 17:08:14.019000'), Timestamp('2023-11-19 17:08:14.501000'), Timestamp('2023-11-19 17:08:14.990000'), Timestamp('2023-11-19 17:08:15.472000'), Timestamp('2023-11-19 17:08:16.322000'), Timestamp('2023-11-19 17:08:17.192000')]]","[[200.56, 195.15, 193.21, 193.98, 200.77, 195.62, 186.56, 194.05, 198.98, 199.15, 196.35, 202.94, 191.56, 197.51, 199.25, 195.64, 197.2, 201.84, 198.69, 196.78, 200.27, 194.99, 195.81, 193.98, 200.9]]",[],[]
Vlog_2160P-030a_downsample_1080p,"[[Timestamp('2023-11-19 17:13:54.261000'), Timestamp('2023-11-19 17:13:55.102000'), Timestamp('2023-11-19 17:13:55.970000'), Timestamp('2023-11-19 17:13:56.816000'), Timestamp('2023-11-19 17:13:57.304000'), Timestamp('2023-11-19 17:13:57.787000'), Timestamp('2023-11-19 17:13:58.275000'), Timestamp('2023-11-19 17:13:58.758000'), Timestamp('2023-11-19 17:13:59.599000'), Timestamp('2023-11-19 17:14:00.468000'), Timestamp('2023-11-19 17:14:01.312000')]]","[[193.87, 187.61, 191.81, 191.39, 194.86, 184.64, 199.61, 183.55, 180.14, 196.22, 189.17]]","[[78.27600000000001, 77.71, 77.982, 78.038, 79.457, 78.907, 80.222, 79.472, 79.173, 78.234, 78.45, 150.65, 193.05, 112.14, 79.96600000000001, 146.88, 192.47, 197.3, 190.93, 194.61, 196.31, 192.89, 185.33, 197.86, 122.51, 142.86, 190.04, 192.11, 191.62, 195.85, 194.27]]","[[Timestamp('2023-11-19 17:13:22.511000'), Timestamp('2023-11-19 17:13:23.365000'), Timestamp('2023-11-19 17:13:23.832000'), Timestamp('2023-11-19 17:13:24.314000'), Timestamp('2023-11-19 17:13:24.803000'), Timestamp('2023-11-19 17:13:25.284000'), Timestamp('2023-11-19 17:13:25.774000'), Timestamp('2023-11-19 17:13:26.263000'), Timestamp('2023-11-19 17:13:27.096000'), Timestamp('2023-11-19 17:13:27.974000'), Timestamp('2023-11-19 17:13:28.810000'), Timestamp('2023-11-19 17:13:29.325000'), Timestamp('2023-11-19 17:13:29.809000'), Timestamp('2023-11-19 17:13:30.324000'), Timestamp('2023-11-19 17:13:30.807000'), Timestamp('2023-11-19 17:13:31.322000'), Timestamp('2023-11-19 17:13:31.806000'), Timestamp('2023-11-19 17:13:32.321000'), Timestamp('2023-11-19 17:13:32.805000'), Timestamp('2023-11-19 17:13:33.320000'), Timestamp('2023-11-19 17:13:33.804000'), Timestamp('2023-11-19 17:13:34.319000'), Timestamp('2023-11-19 17:13:34.803000'), Timestamp('2023-11-19 17:13:35.318000'), Timestamp('2023-11-19 17:13:35.802000'), Timestamp('2023-11-19 17:13:36.317000'), Timestamp('2023-11-19 17:13:36.801000'), Timestamp('2023-11-19 17:13:37.316000'), Timestamp('2023-11-19 17:13:37.800000'), Timestamp('2023-11-19 17:13:38.315000'), Timestamp('2023-11-19 17:13:38.799000')]]"
Vlog_2160P-030a_downsample_1080p,"[[Timestamp('2023-11-19 17:21:39.944000'), Timestamp('2023-11-19 17:21:40.759000'), Timestamp('2023-11-19 17:21:41.614000'), Timestamp('2023-11-19 17:21:42.080000'), Timestamp('2023-11-19 17:21:42.565000')]]","[[189.27, 192.95, 199.36, 190.94, 187.35]]",[],[]
Vlog_2160P-030a_downsample_1080p,"[[Timestamp('2023-11-19 17:25:56.274000'), Timestamp('2023-11-19 17:25:56.763000'), Timestamp('2023-11-19 17:25:57.244000'), Timestamp('2023-11-19 17:25:57.734000')]]","[[208.8, 204.67, 201.6, 201.42]]",[],[]
Vlog_2160P-030a_downsample_1080p,"[[Timestamp('2023-11-19 17:31:26.394000'), Timestamp('2023-11-19 17:31:26.874000'), Timestamp('2023-11-19 17:31:27.355000'), Timestamp('2023-11-19 17:31:27.835000'), Timestamp('2023-11-19 17:31:28.316000'), Timestamp('2023-11-19 17:31:28.796000'), Timestamp('2023-11-19 17:31:29.277000')]]","[[197.72, 202.26, 195.76, 133.94, 79.727, 80.652, 78.521]]",[],[]
Vlog_2160P-030a_downsample_720p,"[[Timestamp('2023-11-19 17:33:26.201000'), Timestamp('2023-11-19 17:33:27.036000'), Timestamp('2023-11-19 17:33:27.526000'), Timestamp('2023-11-19 17:33:28.014000'), Timestamp('2023-11-19 17:33:28.494000'), Timestamp('2023-11-19 17:33:28.975000'), Timestamp('2023-11-19 17:33:29.454000'), Timestamp('2023-11-19 17:33:29.935000'), Timestamp('2023-11-19 17:33:30.415000'), Timestamp('2023-11-19 17:33:30.896000'), Timestamp('2023-11-19 17:33:31.375000'), Timestamp('2023-11-19 17:33:31.856000'), Timestamp('2023-11-19 17:33:32.335000'), Timestamp('2023-11-19 17:33:32.816000')]]","[[201.32, 198.24, 197.48, 200.29, 199.94, 198.79, 194.77, 180.8, 198.03, 195.58, 203.05, 196.5, 194.91, 203.41]]",[],[]
Vlog_2160P-030a_downsample_720p,"[[Timestamp('2023-11-19 17:37:32.147000'), Timestamp('2023-11-19 17:37:32.991000'), Timestamp('2023-11-19 17:37:33.473000')]]","[[198.93, 184.69, 194.76]]",[],[]
Vlog_2160P-030a_downsample_720p,"[[Timestamp('2023-11-19 17:38:47.704000'), Timestamp('2023-11-19 17:38:48.547000'), Timestamp('2023-11-19 17:38:49.031000')], [Timestamp('2023-11-19 17:39:04.990000'), Timestamp('2023-11-19 17:39:05.477000'), Timestamp('2023-11-19 17:39:05.961000')]]","[[184.27, 78.858, 78.033], [188.26, 153.14, 77.742]]",[],[]
Vlog_2160P-030a_downsample_720p,"[[Timestamp('2023-11-19 17:40:29.305000'), Timestamp('2023-11-19 17:40:30.136000')], [Timestamp('2023-11-19 17:41:02.673000'), Timestamp('2023-11-19 17:41:03.528000')], [Timestamp('2023-11-19 17:41:17.717000')]]","[[175.21, 156.38], [81.061, 81.236], [143.38]]","[[80.294, 79.185]]","[[Timestamp('2023-11-19 17:40:46.104000'), Timestamp('2023-11-19 17:40:46.937000')]]"
Vlog_2160P-030a_downsample_720p,"[[Timestamp('2023-11-19 17:42:43.895000')], [Timestamp('2023-11-19 17:43:26.516000'), Timestamp('2023-11-19 17:43:26.981000'), Timestamp('2023-11-19 17:43:27.464000')]]","[[84.79], [87.458, 77.995, 77.47800000000001]]",[],[]
