vid,time_stamp,power,failure_decoding_power,failure_decoding_time
Animation_2160P-41dc_downsample_1080p,"[[Timestamp('2023-11-21 19:17:14.038000'), Timestamp('2023-11-21 19:17:14.905000'), Timestamp('2023-11-21 19:17:15.739000'), Timestamp('2023-11-21 19:17:16.220000'), Timestamp('2023-11-21 19:17:16.703000'), Timestamp('2023-11-21 19:17:17.545000'), Timestamp('2023-11-21 19:17:18.414000'), Timestamp('2023-11-21 19:17:19.258000'), Timestamp('2023-11-21 19:17:19.738000'), Timestamp('2023-11-21 19:17:20.218000'), Timestamp('2023-11-21 19:17:20.702000'), Timestamp('2023-11-21 19:17:21.543000'), Timestamp('2023-11-21 19:17:22.422000'), Timestamp('2023-11-21 19:17:23.257000'), Timestamp('2023-11-21 19:17:23.746000'), Timestamp('2023-11-21 19:17:24.228000'), Timestamp('2023-11-21 19:17:24.718000'), Timestamp('2023-11-21 19:17:25.200000'), Timestamp('2023-11-21 19:17:26.040000'), Timestamp('2023-11-21 19:17:26.919000'), Timestamp('2023-11-21 19:17:27.755000'), Timestamp('2023-11-21 19:17:28.270000'), Timestamp('2023-11-21 19:17:28.754000'), Timestamp('2023-11-21 19:17:29.242000'), Timestamp('2023-11-21 19:17:29.725000'), Timestamp('2023-11-21 19:17:30.213000'), Timestamp('2023-11-21 19:17:30.696000'), Timestamp('2023-11-21 19:17:31.537000'), Timestamp('2023-11-21 19:17:32.406000'), Timestamp('2023-11-21 19:17:33.250000'), Timestamp('2023-11-21 19:17:33.739000'), Timestamp('2023-11-21 19:17:34.221000'), Timestamp('2023-11-21 19:17:34.710000'), Timestamp('2023-11-21 19:17:35.192000'), Timestamp('2023-11-21 19:17:36.042000'), Timestamp('2023-11-21 19:17:36.912000'), Timestamp('2023-11-21 19:17:37.748000'), Timestamp('2023-11-21 19:17:38.263000'), Timestamp('2023-11-21 19:17:38.747000'), Timestamp('2023-11-21 19:17:39.262000'), Timestamp('2023-11-21 19:17:39.746000'), Timestamp('2023-11-21 19:17:40.234000'), Timestamp('2023-11-21 19:17:40.717000'), Timestamp('2023-11-21 19:17:41.205000'), Timestamp('2023-11-21 19:17:41.689000'), Timestamp('2023-11-21 19:17:42.530000'), Timestamp('2023-11-21 19:17:43.399000'), Timestamp('2023-11-21 19:17:44.243000'), Timestamp('2023-11-21 19:17:44.732000'), Timestamp('2023-11-21 19:17:45.214000'), Timestamp('2023-11-21 19:17:45.703000'), Timestamp('2023-11-21 19:17:46.185000'), Timestamp('2023-11-21 19:17:47.026000'), Timestamp('2023-11-21 19:17:47.905000'), Timestamp('2023-11-21 19:17:48.741000'), Timestamp('2023-11-21 19:17:49.256000'), Timestamp('2023-11-21 19:17:49.740000'), Timestamp('2023-11-21 19:17:50.255000'), Timestamp('2023-11-21 19:17:50.739000'), Timestamp('2023-11-21 19:17:51.254000'), Timestamp('2023-11-21 19:17:51.739000'), Timestamp('2023-11-21 19:17:52.254000'), Timestamp('2023-11-21 19:17:52.738000'), Timestamp('2023-11-21 19:17:53.253000'), Timestamp('2023-11-21 19:17:53.737000'), Timestamp('2023-11-21 19:17:54.252000'), Timestamp('2023-11-21 19:17:54.736000'), Timestamp('2023-11-21 19:17:55.252000'), Timestamp('2023-11-21 19:17:55.736000'), Timestamp('2023-11-21 19:17:56.251000'), Timestamp('2023-11-21 19:17:56.736000'), Timestamp('2023-11-21 19:17:57.251000'), Timestamp('2023-11-21 19:17:57.736000'), Timestamp('2023-11-21 19:17:58.251000'), Timestamp('2023-11-21 19:17:58.735000'), Timestamp('2023-11-21 19:17:59.250000'), Timestamp('2023-11-21 19:17:59.735000'), Timestamp('2023-11-21 19:18:00.250000'), Timestamp('2023-11-21 19:18:00.734000'), Timestamp('2023-11-21 19:18:01.222000'), Timestamp('2023-11-21 19:18:01.706000'), Timestamp('2023-11-21 19:18:02.194000')]]","[[141.03, 128.23, 131.27, 140.08, 152.23, 147.34, 148.5, 128.99, 133.2, 140.77, 150.72, 148.64, 149.56, 129.12, 138.15, 142.23, 147.39, 150.2, 155.6, 130.34, 127.47, 140.98, 152.55, 151.9, 140.58, 155.49, 152.47, 125.49, 149.61, 143.13, 154.53, 161.37, 144.19, 141.8, 128.4, 144.78, 159.15, 150.53, 143.03, 151.04, 126.92, 133.31, 145.16, 149.25, 156.89, 148.88, 129.07, 132.61, 146.4, 155.61, 159.19, 140.23, 150.91, 129.0, 138.62, 146.69, 145.07, 155.8, 155.15, 146.0, 133.86, 123.56, 134.96, 143.05, 147.94, 154.5, 157.74, 150.23, 139.8, 129.27, 138.14, 146.2, 146.93, 157.1, 158.45, 142.64, 138.47, 125.07, 130.66, 148.83, 142.19, 131.65]]",[],[]
Animation_2160P-41dc_downsample_1080p,"[[Timestamp('2023-11-21 19:23:51.369000'), Timestamp('2023-11-21 19:23:52.210000'), Timestamp('2023-11-21 19:23:53.091000'), Timestamp('2023-11-21 19:23:53.927000'), Timestamp('2023-11-21 19:23:54.414000'), Timestamp('2023-11-21 19:23:54.895000'), Timestamp('2023-11-21 19:23:55.375000'), Timestamp('2023-11-21 19:23:55.856000'), Timestamp('2023-11-21 19:23:56.336000'), Timestamp('2023-11-21 19:23:56.818000'), Timestamp('2023-11-21 19:23:57.297000'), Timestamp('2023-11-21 19:23:57.779000'), Timestamp('2023-11-21 19:23:58.259000'), Timestamp('2023-11-21 19:23:58.740000'), Timestamp('2023-11-21 19:23:59.220000'), Timestamp('2023-11-21 19:23:59.702000'), Timestamp('2023-11-21 19:24:00.181000'), Timestamp('2023-11-21 19:24:00.663000'), Timestamp('2023-11-21 19:24:01.143000'), Timestamp('2023-11-21 19:24:01.624000'), Timestamp('2023-11-21 19:24:02.104000'), Timestamp('2023-11-21 19:24:02.585000'), Timestamp('2023-11-21 19:24:03.065000'), Timestamp('2023-11-21 19:24:03.547000'), Timestamp('2023-11-21 19:24:04.026000'), Timestamp('2023-11-21 19:24:04.508000'), Timestamp('2023-11-21 19:24:04.988000'), Timestamp('2023-11-21 19:24:05.469000'), Timestamp('2023-11-21 19:24:05.949000'), Timestamp('2023-11-21 19:24:06.430000'), Timestamp('2023-11-21 19:24:06.910000'), Timestamp('2023-11-21 19:24:07.392000'), Timestamp('2023-11-21 19:24:07.872000'), Timestamp('2023-11-21 19:24:08.353000'), Timestamp('2023-11-21 19:24:08.833000'), Timestamp('2023-11-21 19:24:09.314000'), Timestamp('2023-11-21 19:24:09.794000'), Timestamp('2023-11-21 19:24:10.276000'), Timestamp('2023-11-21 19:24:10.755000'), Timestamp('2023-11-21 19:24:11.237000'), Timestamp('2023-11-21 19:24:11.717000'), Timestamp('2023-11-21 19:24:12.198000'), Timestamp('2023-11-21 19:24:12.678000'), Timestamp('2023-11-21 19:24:13.159000'), Timestamp('2023-11-21 19:24:13.639000'), Timestamp('2023-11-21 19:24:14.121000'), Timestamp('2023-11-21 19:24:14.601000'), Timestamp('2023-11-21 19:24:15.082000'), Timestamp('2023-11-21 19:24:15.562000'), Timestamp('2023-11-21 19:24:16.043000'), Timestamp('2023-11-21 19:24:16.523000'), Timestamp('2023-11-21 19:24:17.005000'), Timestamp('2023-11-21 19:24:17.484000'), Timestamp('2023-11-21 19:24:17.966000'), Timestamp('2023-11-21 19:24:18.446000'), Timestamp('2023-11-21 19:24:18.927000'), Timestamp('2023-11-21 19:24:19.407000'), Timestamp('2023-11-21 19:24:19.888000'), Timestamp('2023-11-21 19:24:20.368000'), Timestamp('2023-11-21 19:24:20.850000'), Timestamp('2023-11-21 19:24:21.329000'), Timestamp('2023-11-21 19:24:21.811000'), Timestamp('2023-11-21 19:24:22.291000')]]","[[125.5, 132.43, 145.1, 128.29, 116.84, 129.68, 130.01, 138.6, 141.7, 129.39, 113.87, 136.88, 133.37, 142.54, 129.34, 119.5, 118.28, 138.11, 142.43, 140.82, 132.6, 113.99, 132.33, 131.41, 130.52, 138.23, 123.76, 120.01, 135.82, 141.08, 139.27, 132.16, 115.13, 125.88, 135.09, 140.05, 141.98, 123.65, 118.13, 141.51, 140.13, 140.7, 133.16, 114.3, 137.17, 138.89, 146.07, 124.29, 112.97, 119.94, 132.97, 137.38, 137.71, 133.75, 114.67, 126.85, 132.09, 134.74, 142.82, 120.41, 113.5, 133.11, 130.72]]",[],[]
Animation_2160P-41dc_downsample_1080p,"[[Timestamp('2023-11-21 19:28:24.204000'), Timestamp('2023-11-21 19:28:24.685000'), Timestamp('2023-11-21 19:28:25.165000'), Timestamp('2023-11-21 19:28:25.646000'), Timestamp('2023-11-21 19:28:26.126000'), Timestamp('2023-11-21 19:28:26.608000'), Timestamp('2023-11-21 19:28:27.087000'), Timestamp('2023-11-21 19:28:27.569000'), Timestamp('2023-11-21 19:28:28.049000'), Timestamp('2023-11-21 19:28:28.530000'), Timestamp('2023-11-21 19:28:29.010000'), Timestamp('2023-11-21 19:28:29.492000'), Timestamp('2023-11-21 19:28:29.971000'), Timestamp('2023-11-21 19:28:30.453000'), Timestamp('2023-11-21 19:28:30.933000'), Timestamp('2023-11-21 19:28:31.416000'), Timestamp('2023-11-21 19:28:31.894000'), Timestamp('2023-11-21 19:28:32.376000'), Timestamp('2023-11-21 19:28:32.855000'), Timestamp('2023-11-21 19:28:33.337000'), Timestamp('2023-11-21 19:28:33.817000'), Timestamp('2023-11-21 19:28:34.299000'), Timestamp('2023-11-21 19:28:34.779000'), Timestamp('2023-11-21 19:28:35.261000'), Timestamp('2023-11-21 19:28:35.740000'), Timestamp('2023-11-21 19:28:36.222000'), Timestamp('2023-11-21 19:28:36.702000'), Timestamp('2023-11-21 19:28:37.184000'), Timestamp('2023-11-21 19:28:37.664000'), Timestamp('2023-11-21 19:28:38.146000'), Timestamp('2023-11-21 19:28:38.626000'), Timestamp('2023-11-21 19:28:39.107000'), Timestamp('2023-11-21 19:28:39.587000'), Timestamp('2023-11-21 19:28:40.069000'), Timestamp('2023-11-21 19:28:40.549000'), Timestamp('2023-11-21 19:28:41.030000'), Timestamp('2023-11-21 19:28:41.490000')]]","[[110.7, 116.84, 127.34, 109.46, 113.16, 123.44, 120.43, 108.65, 124.36, 125.28, 109.26, 132.17, 124.45, 104.74, 121.62, 125.82, 109.78, 115.78, 126.98, 114.41, 113.0, 121.35, 127.69, 103.33, 121.95, 122.01, 106.64, 113.67, 121.96, 116.04, 103.91, 123.03, 122.93, 105.4, 113.36, 122.91, 116.56]]",[],[]
Animation_2160P-41dc_downsample_1080p,"[[Timestamp('2023-11-21 19:32:02.110000'), Timestamp('2023-11-21 19:32:02.953000'), Timestamp('2023-11-21 19:32:03.802000'), Timestamp('2023-11-21 19:32:04.630000'), Timestamp('2023-11-21 19:32:05.112000'), Timestamp('2023-11-21 19:32:05.591000'), Timestamp('2023-11-21 19:32:06.073000'), Timestamp('2023-11-21 19:32:06.553000'), Timestamp('2023-11-21 19:32:07.035000'), Timestamp('2023-11-21 19:32:07.514000'), Timestamp('2023-11-21 19:32:07.996000'), Timestamp('2023-11-21 19:32:08.476000'), Timestamp('2023-11-21 19:32:08.957000'), Timestamp('2023-11-21 19:32:09.437000'), Timestamp('2023-11-21 19:32:09.919000'), Timestamp('2023-11-21 19:32:10.398000'), Timestamp('2023-11-21 19:32:10.880000'), Timestamp('2023-11-21 19:32:11.359000'), Timestamp('2023-11-21 19:32:11.841000'), Timestamp('2023-11-21 19:32:12.321000'), Timestamp('2023-11-21 19:32:12.802000'), Timestamp('2023-11-21 19:32:13.282000'), Timestamp('2023-11-21 19:32:13.764000'), Timestamp('2023-11-21 19:32:14.243000'), Timestamp('2023-11-21 19:32:14.725000'), Timestamp('2023-11-21 19:32:15.205000'), Timestamp('2023-11-21 19:32:15.686000')]]","[[106.69, 113.25, 109.47, 104.26, 115.04, 102.63, 105.59, 101.06, 78.134, 78.13600000000001, 90.965, 109.47, 102.13, 114.26, 105.14, 107.24, 110.9, 107.74, 104.32, 86.759, 105.18, 105.25, 99.439, 113.79, 100.54, 109.48, 98.738]]",[],[]
Animation_2160P-41dc_downsample_1080p,"[[Timestamp('2023-11-21 19:35:04.402000'), Timestamp('2023-11-21 19:35:05.251000'), Timestamp('2023-11-21 19:35:06.099000'), Timestamp('2023-11-21 19:35:06.932000'), Timestamp('2023-11-21 19:35:07.414000'), Timestamp('2023-11-21 19:35:07.905000'), Timestamp('2023-11-21 19:35:08.394000'), Timestamp('2023-11-21 19:35:08.874000'), Timestamp('2023-11-21 19:35:09.356000'), Timestamp('2023-11-21 19:35:09.836000'), Timestamp('2023-11-21 19:35:10.317000'), Timestamp('2023-11-21 19:35:10.797000')]]","[[102.71, 105.17, 104.54, 108.87, 103.25, 104.24, 101.56, 102.14, 78.196, 78.303, 100.44, 108.14]]",[],[]
Animation_2160P-41dc_downsample_720p,"[[Timestamp('2023-11-21 19:40:18.440000'), Timestamp('2023-11-21 19:40:19.278000'), Timestamp('2023-11-21 19:40:19.764000'), Timestamp('2023-11-21 19:40:20.247000'), Timestamp('2023-11-21 19:40:20.727000'), Timestamp('2023-11-21 19:40:21.209000'), Timestamp('2023-11-21 19:40:21.689000'), Timestamp('2023-11-21 19:40:22.171000'), Timestamp('2023-11-21 19:40:22.651000'), Timestamp('2023-11-21 19:40:23.133000'), Timestamp('2023-11-21 19:40:23.613000'), Timestamp('2023-11-21 19:40:24.095000'), Timestamp('2023-11-21 19:40:24.575000'), Timestamp('2023-11-21 19:40:25.057000'), Timestamp('2023-11-21 19:40:25.538000'), Timestamp('2023-11-21 19:40:26.019000'), Timestamp('2023-11-21 19:40:26.500000'), Timestamp('2023-11-21 19:40:26.982000'), Timestamp('2023-11-21 19:40:27.462000'), Timestamp('2023-11-21 19:40:27.944000'), Timestamp('2023-11-21 19:40:28.424000'), Timestamp('2023-11-21 19:40:28.906000'), Timestamp('2023-11-21 19:40:29.386000'), Timestamp('2023-11-21 19:40:29.868000'), Timestamp('2023-11-21 19:40:30.348000'), Timestamp('2023-11-21 19:40:30.830000'), Timestamp('2023-11-21 19:40:31.310000'), Timestamp('2023-11-21 19:40:31.792000'), Timestamp('2023-11-21 19:40:32.272000'), Timestamp('2023-11-21 19:40:32.754000'), Timestamp('2023-11-21 19:40:33.235000'), Timestamp('2023-11-21 19:40:33.716000'), Timestamp('2023-11-21 19:40:34.197000'), Timestamp('2023-11-21 19:40:34.679000'), Timestamp('2023-11-21 19:40:35.159000'), Timestamp('2023-11-21 19:40:35.641000'), Timestamp('2023-11-21 19:40:36.121000'), Timestamp('2023-11-21 19:40:36.603000'), Timestamp('2023-11-21 19:40:37.083000'), Timestamp('2023-11-21 19:40:37.565000'), Timestamp('2023-11-21 19:40:38.045000'), Timestamp('2023-11-21 19:40:38.527000'), Timestamp('2023-11-21 19:40:39.007000'), Timestamp('2023-11-21 19:40:39.489000'), Timestamp('2023-11-21 19:40:39.970000'), Timestamp('2023-11-21 19:40:40.451000'), Timestamp('2023-11-21 19:40:40.932000'), Timestamp('2023-11-21 19:40:41.414000'), Timestamp('2023-11-21 19:40:41.894000'), Timestamp('2023-11-21 19:40:42.376000'), Timestamp('2023-11-21 19:40:42.856000'), Timestamp('2023-11-21 19:40:43.338000'), Timestamp('2023-11-21 19:40:43.818000'), Timestamp('2023-11-21 19:40:44.300000'), Timestamp('2023-11-21 19:40:44.780000'), Timestamp('2023-11-21 19:40:45.262000'), Timestamp('2023-11-21 19:40:45.742000'), Timestamp('2023-11-21 19:40:46.224000'), Timestamp('2023-11-21 19:40:46.704000'), Timestamp('2023-11-21 19:40:47.186000'), Timestamp('2023-11-21 19:40:47.667000'), Timestamp('2023-11-21 19:40:48.148000'), Timestamp('2023-11-21 19:40:48.629000'), Timestamp('2023-11-21 19:40:49.111000'), Timestamp('2023-11-21 19:40:49.591000'), Timestamp('2023-11-21 19:40:50.073000'), Timestamp('2023-11-21 19:40:50.553000'), Timestamp('2023-11-21 19:40:51.035000'), Timestamp('2023-11-21 19:40:51.515000')]]","[[105.4, 107.9, 122.86, 121.27, 138.45, 120.74, 104.65, 113.95, 117.33, 122.25, 132.18, 119.63, 107.75, 110.33, 123.6, 121.97, 134.48, 116.38, 108.69, 108.8, 119.91, 127.22, 129.95, 119.03, 110.66, 116.69, 123.05, 131.94, 124.24, 117.65, 105.77, 108.18, 121.2, 129.12, 122.86, 123.32, 103.06, 117.14, 120.17, 130.39, 123.53, 117.52, 97.89, 108.07, 117.83, 125.52, 129.72, 119.92, 105.28, 115.31, 126.92, 130.87, 128.59, 119.17, 100.32, 110.05, 121.88, 127.09, 124.11, 120.96, 107.22, 115.23, 122.5, 128.94, 124.72, 115.12, 99.60600000000001, 115.22, 118.81]]",[],[]
Animation_2160P-41dc_downsample_720p,"[[Timestamp('2023-11-21 19:44:35.301000'), Timestamp('2023-11-21 19:44:36.136000'), Timestamp('2023-11-21 19:44:36.616000'), Timestamp('2023-11-21 19:44:37.098000'), Timestamp('2023-11-21 19:44:37.588000'), Timestamp('2023-11-21 19:44:38.070000'), Timestamp('2023-11-21 19:44:38.557000'), Timestamp('2023-11-21 19:44:39.039000'), Timestamp('2023-11-21 19:44:39.518000'), Timestamp('2023-11-21 19:44:40'), Timestamp('2023-11-21 19:44:40.479000'), Timestamp('2023-11-21 19:44:40.961000'), Timestamp('2023-11-21 19:44:41.440000'), Timestamp('2023-11-21 19:44:41.921000'), Timestamp('2023-11-21 19:44:42.401000'), Timestamp('2023-11-21 19:44:42.882000'), Timestamp('2023-11-21 19:44:43.362000'), Timestamp('2023-11-21 19:44:43.843000'), Timestamp('2023-11-21 19:44:44.323000'), Timestamp('2023-11-21 19:44:44.804000'), Timestamp('2023-11-21 19:44:45.284000'), Timestamp('2023-11-21 19:44:45.765000'), Timestamp('2023-11-21 19:44:46.244000'), Timestamp('2023-11-21 19:44:46.726000'), Timestamp('2023-11-21 19:44:47.205000'), Timestamp('2023-11-21 19:44:47.686000'), Timestamp('2023-11-21 19:44:48.166000'), Timestamp('2023-11-21 19:44:48.647000'), Timestamp('2023-11-21 19:44:49.127000'), Timestamp('2023-11-21 19:44:49.608000'), Timestamp('2023-11-21 19:44:50.088000'), Timestamp('2023-11-21 19:44:50.569000'), Timestamp('2023-11-21 19:44:51.049000'), Timestamp('2023-11-21 19:44:51.530000'), Timestamp('2023-11-21 19:44:52.010000'), Timestamp('2023-11-21 19:44:52.491000'), Timestamp('2023-11-21 19:44:52.971000'), Timestamp('2023-11-21 19:44:53.452000'), Timestamp('2023-11-21 19:44:53.932000'), Timestamp('2023-11-21 19:44:54.413000'), Timestamp('2023-11-21 19:44:54.893000'), Timestamp('2023-11-21 19:44:55.375000'), Timestamp('2023-11-21 19:44:55.854000'), Timestamp('2023-11-21 19:44:56.336000')]]","[[109.03, 119.17, 112.52, 91.212, 116.01, 122.87, 96.387, 95.12799999999999, 111.71, 122.31, 96.434, 100.18, 114.19, 120.7, 97.23200000000001, 102.28, 107.21, 120.04, 92.988, 100.59, 112.43, 124.23, 94.973, 105.75, 115.73, 115.36, 90.008, 109.4, 114.03, 109.03, 90.066, 111.55, 120.25, 101.28, 94.296, 114.6, 121.87, 95.295, 98.931, 109.96, 119.86, 93.49700000000001, 99.40100000000001, 108.05]]",[],[]
Animation_2160P-41dc_downsample_720p,"[[Timestamp('2023-11-21 19:47:36.306000'), Timestamp('2023-11-21 19:47:36.789000'), Timestamp('2023-11-21 19:47:37.268000'), Timestamp('2023-11-21 19:47:37.751000'), Timestamp('2023-11-21 19:47:38.230000'), Timestamp('2023-11-21 19:47:38.713000'), Timestamp('2023-11-21 19:47:39.192000'), Timestamp('2023-11-21 19:47:39.674000'), Timestamp('2023-11-21 19:47:40.153000'), Timestamp('2023-11-21 19:47:40.636000'), Timestamp('2023-11-21 19:47:41.115000'), Timestamp('2023-11-21 19:47:41.597000'), Timestamp('2023-11-21 19:47:42.076000'), Timestamp('2023-11-21 19:47:42.559000'), Timestamp('2023-11-21 19:47:43.037000'), Timestamp('2023-11-21 19:47:43.520000'), Timestamp('2023-11-21 19:47:43.998000'), Timestamp('2023-11-21 19:47:44.480000'), Timestamp('2023-11-21 19:47:44.959000'), Timestamp('2023-11-21 19:47:45.441000'), Timestamp('2023-11-21 19:47:45.919000'), Timestamp('2023-11-21 19:47:46.401000'), Timestamp('2023-11-21 19:47:46.879000'), Timestamp('2023-11-21 19:47:47.362000'), Timestamp('2023-11-21 19:47:47.849000'), Timestamp('2023-11-21 19:47:48.308000'), Timestamp('2023-11-21 19:47:48.793000')]]","[[94.115, 104.65, 92.135, 105.65, 91.68799999999999, 100.57, 94.45100000000001, 93.37700000000001, 103.72, 89.666, 103.17, 90.667, 93.204, 103.18, 94.036, 109.02, 90.949, 105.36, 93.696, 100.91, 97.514, 94.04899999999999, 102.86, 90.51899999999999, 103.19, 91.07799999999999, 96.70700000000001]]",[],[]
Animation_2160P-41dc_downsample_720p,"[[Timestamp('2023-11-21 19:49:34.277000'), Timestamp('2023-11-21 19:49:34.766000'), Timestamp('2023-11-21 19:49:35.248000'), Timestamp('2023-11-21 19:49:35.737000'), Timestamp('2023-11-21 19:49:36.219000'), Timestamp('2023-11-21 19:49:37.060000'), Timestamp('2023-11-21 19:49:37.928000'), Timestamp('2023-11-21 19:49:38.774000'), Timestamp('2023-11-21 19:49:39.262000'), Timestamp('2023-11-21 19:49:39.745000'), Timestamp('2023-11-21 19:49:40.232000'), Timestamp('2023-11-21 19:49:40.716000'), Timestamp('2023-11-21 19:49:41.556000'), Timestamp('2023-11-21 19:49:42.434000')]]","[[90.695, 86.988, 85.35700000000001, 91.581, 89.875, 92.92200000000001, 92.345, 92.13600000000001, 89.119, 89.353, 86.975, 80.72399999999999, 89.03399999999999, 88.33200000000001]]",[],[]
Animation_2160P-41dc_downsample_720p,"[[Timestamp('2023-11-21 19:51:09.064000'), Timestamp('2023-11-21 19:51:09.879000'), Timestamp('2023-11-21 19:51:10.703000'), Timestamp('2023-11-21 19:51:11.908000'), Timestamp('2023-11-21 19:51:12.764000')]]","[[93.50299999999999, 85.21, 77.946, 91.301, 92.26799999999999]]",[],[]
