video_name,vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
Gaming_2160P-3002,Gaming_2160P-3002,Gaming,2160,3840,2160,yuv420p,24.0,2388797,83952,54.139431,99.919348,10,45.544948,6.017133,2,2488320,2023-11-20 18:59:49.463,2023-11-20 19:00:56.015,1,2023-11-20 19:01:10.028,2023-11-20 19:01:13.024,1,6734.441418646156,313.1818666666667,7047.623285312823
Gaming_2160P-3002,Gaming_2160P-3002,Gaming,2160,3840,2160,yuv420p,24.0,2388797,30658,48.570039,99.4752,20,35.929508,5.474246,2,2488320,2023-11-20 19:04:42.539,2023-11-20 19:05:32.445,1,2023-11-20 19:05:46.338,2023-11-20 19:05:48.021,1,5200.941313500002,180.7331625,5381.674476000002
Gaming_2160P-3002,Gaming_2160P-3002,Gaming,2160,3840,2160,yuv420p,24.0,2388797,10379,42.41385,91.040901,30,21.927168,5.14443,2,2488320,2023-11-20 19:07:07.095,2023-11-20 19:07:48.053,1,2023-11-20 19:08:02.911,2023-11-20 19:08:05.079,2,3839.771542000001,206.8091333333333,4046.580675333334
Gaming_2160P-3002,Gaming_2160P-3002,Gaming,2160,3840,2160,yuv420p,24.0,2388797,3837,36.091022,57.410795,40,22.40969,4.058464,2,2488320,2023-11-20 19:10:02.854,2023-11-20 19:10:47.099,1,2023-11-20 19:11:01.387,2023-11-20 19:11:20.832,2,3348.727791385869,146.3077233333333,3495.035514719202
Gaming_2160P-3002,Gaming_2160P-3002,Gaming,2160,3840,2160,yuv420p,24.0,2388797,1493,29.858247,26.338229,50,22.648748,4.083448,2,2488320,2023-11-20 19:12:50.347,2023-11-20 19:13:37.382,1,2023-11-20 19:13:52.592,2023-11-20 19:14:10.334,2,3056.808478430232,,
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,36004,47.834608,99.526794,10,9.803924,1.266504,12,622080,2023-11-21 06:10:28.110,2023-11-21 06:12:27.434,1,2023-11-21 06:12:44.989,2023-11-21 06:12:53.925,1,1993.418489791261,142.00281375,2135.421303541261
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,10817,44.040482,96.316415,20,9.061112,1.136084,12,622080,2023-11-21 06:17:58.164,2023-11-21 06:19:29.304,1,2023-11-21 06:19:43.108,2023-11-21 06:19:48.817,1,1458.6179579213483,87.6630033125,1546.2809612338483
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,3314,38.818828,73.414707,30,5.630519,1.141224,12,622080,2023-11-21 06:22:44.110,2023-11-21 06:23:50.577,1,2023-11-21 06:24:05.520,2023-11-21 06:24:07.232,1,997.45988934944,28.013313333333333,1025.4732026827733
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,1099,33.054149,37.017833,40,6.423062,1.124836,12,622080,2023-11-21 06:29:46.093,2023-11-21 06:31:02.270,1,2023-11-21 06:31:16.355,2023-11-21 06:31:17.223,1,903.8604188666668,15.088733333333332,918.9491522000004
Gaming_2160P-3002,Gaming_2160P-3002_downsample_1080p,Gaming,1080,1920,1080,yuv420p,24.0,2388797,394,27.768556,8.28753,50,6.793595,1.11088,12,622080,2023-11-21 06:35:34.415,2023-11-21 06:37:02.293,1,2023-11-21 06:37:16.206,2023-11-21 06:37:17.650,1,867.7595966399998,24.97077111111111,892.730367751111
