vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-08 15:24:32.291667,2023-12-08 15:24:51.766957,1,2023-12-08 15:25:01.813354,2023-12-08 15:25:04.047006,1,1084.081793634383,191.24595499075,1275.3277486251332
,,,,,,,,,,,,,,1,622080,2023-12-08 15:25:14.124622,2023-12-08 15:25:21.561578,1,2023-12-08 15:25:31.603718,2023-12-08 15:25:33.847644,1,802.7560667350874,89.78982296779999,892.5458897028874
,,,,,,,,,,,,,,1,622080,2023-12-08 15:25:44.522763,2023-12-08 15:25:50.063582,1,2023-12-08 15:26:00.101644,2023-12-08 15:26:00.832915,1,554.351058533283,42.2454689958,596.596527529083
,,,,,,,,,,,,,,1,622080,2023-12-08 15:26:10.909311,2023-12-08 15:26:15.846626,1,2023-12-08 15:26:25.886740,2023-12-08 15:26:26.415965,1,387.4339861931916,18.8706601669,406.30464636009157
,,,,,,,,,,,,,,1,622080,2023-12-08 15:26:36.487804,2023-12-08 15:26:41.620964,1,2023-12-08 15:26:51.660135,2023-12-08 15:26:52.191543,1,240.34277475147144,14.71571089596667,255.05848564743812
,,,,,,,,,,,,,,2,276480,2023-12-08 15:27:02.829192,2023-12-08 15:27:12.170199,1,2023-12-08 15:27:22.208856,2023-12-08 15:27:24.342775,1,497.5518098673691,85.8064291141263,583.3582389814954
,,,,,,,,,,,,,,2,276480,2023-12-08 15:27:35.051306,2023-12-08 15:27:42.186042,1,2023-12-08 15:27:52.226321,2023-12-08 15:27:53.458496,1,357.1476935592464,40.76630656753001,397.91400012677644
,,,,,,,,,,,,,,2,276480,2023-12-08 15:28:04.195695,2023-12-08 15:28:10.378340,1,2023-12-08 15:28:20.424300,2023-12-08 15:28:21.154376,1,181.32575754826044,15.062268170400003,196.38802571866046
,,,,,,,,,,,,,,2,276480,2023-12-08 15:28:31.902223,2023-12-08 15:28:39.471699,1,2023-12-08 15:28:49.509398,2023-12-08 15:28:50.039565,1,217.91968773512727,8.274640295033334,226.1943280301606
,,,,,,,,,,,,,,2,276480,2023-12-08 15:29:00.794293,2023-12-08 15:29:06.833678,1,2023-12-08 15:29:16.872039,2023-12-08 15:29:18.614531,1,102.5548346608957,3.5991873084999995,106.1540219693957
