vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-08 15:32:59.404547,2023-12-08 15:33:19.577996,1,2023-12-08 15:33:31.027054,2023-12-08 15:33:35.246712,1,2086.5151211072834,248.2654510132875,2334.780572120571
,,,,,,,,,,,,,,1,622080,2023-12-08 15:33:45.695710,2023-12-08 15:33:59.059943,1,2023-12-08 15:34:09.098960,2023-12-08 15:34:12.036323,1,1437.5127103301193,121.82517783805551,1559.3378881681747
,,,,,,,,,,,,,,1,622080,2023-12-08 15:34:22.114398,2023-12-08 15:34:31.428570,1,2023-12-08 15:34:41.463933,2023-12-08 15:34:44.067320,1,924.8110357230103,69.5941938015,994.4052295245102
,,,,,,,,,,,,,,1,622080,2023-12-08 15:34:54.145293,2023-12-08 15:35:04.396185,1,2023-12-08 15:35:14.436802,2023-12-08 15:35:15.379898,1,677.6384435469355,59.4641572755,737.1026008224355
,,,,,,,,,,,,,,1,622080,2023-12-08 15:35:25.456178,2023-12-08 15:35:39.864746,1,2023-12-08 15:35:49.905470,2023-12-08 15:35:50.737676,1,673.3774781499702,47.79953704651667,721.1770151964869
,,,,,,,,,,,,,,2,276480,2023-12-08 15:36:02.778445,2023-12-08 15:36:21.033764,1,2023-12-08 15:36:31.074927,2023-12-08 15:36:36.916122,1,869.1612565361168,136.4274174927057,1005.5886740288224
,,,,,,,,,,,,,,2,276480,2023-12-08 15:36:50.586671,2023-12-08 15:37:03.542431,1,2023-12-08 15:37:13.582776,2023-12-08 15:37:15.917428,1,588.3846237096366,49.16883152994285,637.5534552395794
,,,,,,,,,,,,,,2,276480,2023-12-08 15:37:29.942429,2023-12-08 15:37:38.881076,1,2023-12-08 15:37:48.913130,2023-12-08 15:37:49.944350,1,379.3800070253264,30.346589313456246,409.72659633878266
,,,,,,,,,,,,,,2,276480,2023-12-08 15:38:02.999301,2023-12-08 15:38:13.242415,1,2023-12-08 15:38:23.281276,2023-12-08 15:38:24.112949,1,271.468796634882,24.952698042608333,296.42149467749033
,,,,,,,,,,,,,,2,276480,2023-12-08 15:38:36.997521,2023-12-08 15:38:48.646196,1,2023-12-08 15:38:58.686111,2023-12-08 15:38:59.517114,1,220.72352861097718,22.935127989399998,243.65865660037718
