vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-09 00:42:32.921016,2023-12-09 00:46:41.181362,1,2023-12-09 00:46:51.229556,2023-12-09 00:46:53.563805,1,2193.579803599074,171.32462367480954,2364.9044272738834
,,,,,,,,,,,,,,1,622080,2023-12-09 00:47:03.640960,2023-12-09 00:47:16.098654,1,2023-12-09 00:47:26.139142,2023-12-09 00:47:27.472414,1,1365.4376523679578,98.51387878385454,1463.9515311518123
,,,,,,,,,,,,,,1,622080,2023-12-09 00:47:37.550757,2023-12-09 00:47:47.692888,1,2023-12-09 00:47:57.732147,2023-12-09 00:47:58.664348,1,887.2984184882997,64.50552356114285,951.8039420494425
,,,,,,,,,,,,,,1,622080,2023-12-09 00:48:08.742275,2023-12-09 00:48:20.991341,1,2023-12-09 00:48:31.030516,2023-12-09 00:48:31.862726,1,631.3565632688001,53.16633152325001,684.5228947920501
,,,,,,,,,,,,,,1,622080,2023-12-09 00:48:41.939933,2023-12-09 00:48:54.592078,1,2023-12-09 00:49:04.633510,2023-12-09 00:49:05.465841,1,466.4234975740967,47.943229537600004,514.3667271116967
,,,,,,,,,,,,,,2,276480,2023-12-09 00:49:17.562052,2023-12-09 00:49:39.323015,1,2023-12-09 00:49:49.364907,2023-12-09 00:49:52.610271,1,1096.4896617919762,79.46425660952693,1175.9539184015032
,,,,,,,,,,,,,,2,276480,2023-12-09 00:50:10.588578,2023-12-09 00:50:23.233610,1,2023-12-09 00:50:33.271782,2023-12-09 00:50:34.848780,1,620.8587320137195,40.800483963136365,661.6592159768559
,,,,,,,,,,,,,,2,276480,2023-12-09 00:50:47.503646,2023-12-09 00:50:59.949385,1,2023-12-09 00:51:09.989352,2023-12-09 00:51:10.922105,1,415.4852967450011,32.970253484000004,448.4555502290011
,,,,,,,,,,,,,,2,276480,2023-12-09 00:51:23.340818,2023-12-09 00:51:38.394113,1,2023-12-09 00:51:48.435236,2023-12-09 00:51:50.129400,1,297.25889761939703,23.589740252520002,320.84863787191705
,,,,,,,,,,,,,,2,276480,2023-12-09 00:52:04.910492,2023-12-09 00:52:21.674227,1,2023-12-09 00:52:31.714625,2023-12-09 00:52:32.449790,1,209.22629806221957,22.394358132929998,231.62065619514956
