vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-08 15:54:23.238377,2023-12-08 15:54:47.812381,1,2023-12-08 15:54:57.855796,2023-12-08 15:55:01.113026,1,2477.9475733861777,161.67305458095998,2639.620627967138
,,,,,,,,,,,,,,1,622080,2023-12-08 15:55:11.190428,2023-12-08 15:55:26.295891,1,2023-12-08 15:55:36.336312,2023-12-08 15:55:41.457569,1,1639.548030467874,185.750413992,1825.298444459874
,,,,,,,,,,,,,,1,622080,2023-12-08 15:55:51.537057,2023-12-08 15:56:02.753566,1,2023-12-08 15:56:12.793108,2023-12-08 15:56:13.739913,1,938.1391085138863,66.53832140207142,1004.6774299159578
,,,,,,,,,,,,,,1,622080,2023-12-08 15:56:23.817928,2023-12-08 15:56:38.849427,1,2023-12-08 15:56:48.887511,2023-12-08 15:56:51.237243,1,812.3017143986557,50.83096368941666,863.1326780880723
,,,,,,,,,,,,,,1,622080,2023-12-08 15:57:01.314526,2023-12-08 15:57:16.372496,1,2023-12-08 15:57:26.414376,2023-12-08 15:57:27.434728,1,503.98147459153233,51.6724863431,555.6539609346323
,,,,,,,,,,,,,,2,276480,2023-12-08 15:57:39.561509,2023-12-08 15:57:59.522805,1,2023-12-08 15:58:09.564365,2023-12-08 15:58:13.505153,1,1125.8634689283997,93.5797456532761,1219.4432145816759
,,,,,,,,,,,,,,2,276480,2023-12-08 15:58:26.420706,2023-12-08 15:58:40.070910,1,2023-12-08 15:58:50.110107,2023-12-08 15:58:51.241942,1,660.2674481684945,46.927802090027775,707.1952502585223
,,,,,,,,,,,,,,2,276480,2023-12-08 15:59:03.738933,2023-12-08 15:59:17.085916,1,2023-12-08 15:59:27.130179,2023-12-08 15:59:27.962329,1,433.82586922641417,30.854681063,464.68055028941416
,,,,,,,,,,,,,,2,276480,2023-12-08 15:59:53.862500,2023-12-08 16:00:09.319456,1,2023-12-08 16:00:19.360577,2023-12-08 16:00:20.092821,1,322.05957970571086,22.14905681826,344.2086365239709
,,,,,,,,,,,,,,2,276480,2023-12-08 16:00:42.132281,2023-12-08 16:00:59.094558,1,2023-12-08 16:01:09.135804,2023-12-08 16:01:09.819843,1,216.77153091055223,18.086224577924998,234.85775548847724
