vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,1244160,2023-12-09 00:55:57.689139,2023-12-09 00:56:10.711822,1,2023-12-09 00:56:21.215383,2023-12-09 00:56:41.275232,1,1651.437057427482,377.36762434454084,2028.8046817720228
,,,,,,,,,,,,,,1,1244160,2023-12-09 00:56:52.318632,2023-12-09 00:57:02.312806,1,2023-12-09 00:57:12.355060,2023-12-09 00:57:15.222066,1,1300.6059731083208,90.0223331165,1390.6283062248208
,,,,,,,,,,,,,,1,1244160,2023-12-09 00:57:26.069576,2023-12-09 00:57:33.258893,1,2023-12-09 00:57:43.296178,2023-12-09 00:57:45.653212,1,916.6717471580903,52.46632179428572,969.138068952376
,,,,,,,,,,,,,,1,1244160,2023-12-09 00:57:55.730885,2023-12-09 00:58:01.384218,1,2023-12-09 00:58:11.425222,2023-12-09 00:58:12.257128,1,624.4744878217305,38.69983914233333,663.1743269640638
,,,,,,,,,,,,,,1,1244160,2023-12-09 00:58:23.151405,2023-12-09 00:58:30.847978,1,2023-12-09 00:58:40.889823,2023-12-09 00:58:41.671711,1,445.94338963242376,30.434315717160004,476.3777053495838
,,,,,,,,,,,,,,2,552960,2023-12-09 00:58:53.335673,2023-12-09 00:59:09.013371,1,2023-12-09 00:59:19.054053,2023-12-09 00:59:21.195922,1,925.9175613492639,81.0852965822842,1007.0028579315481
,,,,,,,,,,,,,,2,552960,2023-12-09 00:59:34.930615,2023-12-09 00:59:42.565937,1,2023-12-09 00:59:52.604108,2023-12-09 00:59:53.936789,1,508.9016458544731,38.19534728567273,547.0969931401459
,,,,,,,,,,,,,,2,552960,2023-12-09 01:00:05.974331,2023-12-09 01:00:11.856787,1,2023-12-09 01:00:21.897187,2023-12-09 01:00:22.729283,1,368.19238990089104,22.929767115166666,391.1221570160577
,,,,,,,,,,,,,,2,552960,2023-12-09 01:00:34.819882,2023-12-09 01:00:40.350551,1,2023-12-09 01:00:50.389389,2023-12-09 01:00:51.120651,1,247.10772366033527,15.62850439956,262.73622805989527
,,,,,,,,,,,,,,2,552960,2023-12-09 01:01:03.396438,2023-12-09 01:01:09.635286,1,2023-12-09 01:01:19.672572,2023-12-09 01:01:20.304486,1,159.60982154757997,13.88317030935,173.49299185692996
