vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-08 16:19:02.326044,2023-12-08 16:19:18.181469,1,2023-12-08 16:19:28.221624,2023-12-08 16:19:30.655197,1,1823.5396511146696,195.20914730195446,2018.7487984166241
,,,,,,,,,,,,,,1,622080,2023-12-08 16:19:40.727829,2023-12-08 16:19:49.700850,1,2023-12-08 16:19:59.740865,2023-12-08 16:20:00.872900,1,824.9252332311378,63.32285323292222,888.24808646406
,,,,,,,,,,,,,,1,622080,2023-12-08 16:20:10.953021,2023-12-08 16:20:17.748140,1,2023-12-08 16:20:27.787759,2023-12-08 16:20:28.992642,1,573.583685457382,33.3962188021,606.9799042594819
,,,,,,,,,,,,,,1,622080,2023-12-08 16:20:41.239748,2023-12-08 16:20:47.899780,1,2023-12-08 16:20:57.938663,2023-12-08 16:20:59.232624,1,470.00799452963844,28.445562854125,498.45355738376344
,,,,,,,,,,,,,,1,622080,2023-12-08 16:21:09.311238,2023-12-08 16:21:15.564187,1,2023-12-08 16:21:25.603780,2023-12-08 16:21:28.215275,1,327.7694012461876,,
,,,,,,,,,,,,,,2,276480,2023-12-08 16:21:39.511475,2023-12-08 16:21:52.055150,1,2023-12-08 16:22:02.094286,2023-12-08 16:22:04.526950,1,660.0096743235341,79.266205444,739.2758797675341
,,,,,,,,,,,,,,2,276480,2023-12-08 16:22:15.790350,2023-12-08 16:22:22.825286,1,2023-12-08 16:22:32.865244,2023-12-08 16:22:34.198583,1,333.3645711058235,26.254411736999998,359.61898284282347
,,,,,,,,,,,,,,2,276480,2023-12-08 16:22:45.487281,2023-12-08 16:22:51.619299,1,2023-12-08 16:23:01.657822,2023-12-08 16:23:02.389459,1,261.5011634491373,16.10991342442,277.6110768735573
,,,,,,,,,,,,,,2,276480,2023-12-08 16:23:13.708314,2023-12-08 16:23:19.145141,1,2023-12-08 16:23:30.340107,2023-12-08 16:23:31.804191,1,161.11794490283168,12.508743849833335,173.62668875266502
,,,,,,,,,,,,,,2,276480,2023-12-08 16:23:43.102895,2023-12-08 16:23:49.245349,1,2023-12-08 16:23:59.284772,2023-12-08 16:23:59.816188,1,141.3290295252407,8.039470852933334,149.36850037817405
