vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-09 01:08:57.038036,2023-12-09 01:09:12.407574,1,2023-12-09 01:09:22.448450,2023-12-09 01:09:25.618689,1,1709.7500803636374,163.981728777825,1873.7318091414625
,,,,,,,,,,,,,,1,622080,2023-12-09 01:09:35.756886,2023-12-09 01:09:45.253940,1,2023-12-09 01:09:55.294980,2023-12-09 01:09:56.326739,1,958.6820015597922,75.11773279187499,1033.7997343516672
,,,,,,,,,,,,,,1,622080,2023-12-09 01:10:06.405074,2023-12-09 01:10:16.350830,1,2023-12-09 01:10:26.446360,2023-12-09 01:10:28.060365,1,672.0843037461088,35.35556186736,707.4398656134689
,,,,,,,,,,,,,,1,622080,2023-12-09 01:10:38.139596,2023-12-09 01:10:48.352682,1,2023-12-09 01:10:58.394901,2023-12-09 01:10:59.055350,1,499.6056931149602,26.320578506399997,525.9262716213602
,,,,,,,,,,,,,,1,622080,2023-12-09 01:11:09.132958,2023-12-09 01:11:16.172153,1,2023-12-09 01:11:26.201197,2023-12-09 01:11:26.732906,1,318.1162327502941,14.9742696147,333.0905023649941
,,,,,,,,,,,,,,2,276480,2023-12-09 01:11:37.671184,2023-12-09 01:11:52.108616,1,2023-12-09 01:12:02.147469,2023-12-09 01:12:05.188604,1,807.8574505339719,77.11939680257333,884.9768473365452
,,,,,,,,,,,,,,2,276480,2023-12-09 01:12:16.776139,2023-12-09 01:12:24.412065,1,2023-12-09 01:12:34.451221,2023-12-09 01:12:35.281136,1,397.5597648798675,25.0809202789,422.6406851587675
,,,,,,,,,,,,,,2,276480,2023-12-09 01:12:46.346932,2023-12-09 01:12:54.325687,1,2023-12-09 01:13:04.364822,2023-12-09 01:13:04.896198,1,248.54267258209032,11.950301293899999,260.49297387599034
,,,,,,,,,,,,,,2,276480,2023-12-09 01:13:15.981966,2023-12-09 01:13:23.619247,1,2023-12-09 01:13:33.659064,2023-12-09 01:13:34.582602,1,167.46792135978248,10.1665359372,177.63445729698248
,,,,,,,,,,,,,,2,276480,2023-12-09 01:13:46.044418,2023-12-09 01:13:54.186708,1,2023-12-09 01:14:04.225956,2023-12-09 01:14:04.656626,1,120.71213731021649,5.545578247125,126.2577155573415
