vid,category,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,encoding_elapsed_time,decoding_elapsed_time,duplicate_count,duplicate_bitrate_rawvideo (kb/s),start_time_encode,end_time_encode,count_encode,start_time_decode,end_time_decode,count_decode,target_encode_energy,decode_energy,total_energy
,,,,,,,,,,,,,,1,622080,2023-12-08 21:36:06.338439,2023-12-08 21:36:23.419210,1,2023-12-08 21:36:33.463663,2023-12-08 21:36:38.255844,1,1441.5705626762508,154.1811081738,1595.7516708500507
,,,,,,,,,,,,,,1,622080,2023-12-08 21:36:48.335078,2023-12-08 21:37:02.360828,1,2023-12-08 21:37:12.401564,2023-12-08 21:37:17.638591,1,1075.4307164132053,77.2488297675,1152.6795461807053
,,,,,,,,,,,,,,1,622080,2023-12-08 21:37:27.726267,2023-12-08 21:37:41.206946,1,2023-12-08 21:37:51.249016,2023-12-08 21:37:54.685498,1,877.5540030201521,53.729177432699984,931.2831804528521
,,,,,,,,,,,,,,1,622080,2023-12-08 21:38:04.767808,2023-12-08 21:38:16.511977,1,2023-12-08 21:38:26.559136,2023-12-08 21:38:29.623649,1,695.5642045795436,26.133798852,721.6980034315436
,,,,,,,,,,,,,,1,622080,2023-12-08 21:38:40.815844,2023-12-08 21:38:52.392557,1,2023-12-08 21:39:03.127766,2023-12-08 21:39:05.367553,1,685.5747219075926,21.3291169204,706.9038388279926
,,,,,,,,,,,,,,2,276480,2023-12-08 21:39:17.015097,2023-12-08 21:39:41.722952,1,2023-12-08 21:39:51.769136,2023-12-08 21:39:57.905060,1,717.8739957878423,58.61369804271001,776.4876938305523
,,,,,,,,,,,,,,2,276480,2023-12-08 21:40:09.246381,2023-12-08 21:40:27.403304,1,2023-12-08 21:40:37.444591,2023-12-08 21:40:40.683200,1,498.9844314358996,27.4152298382,526.3996612740996
,,,,,,,,,,,,,,2,276480,2023-12-08 21:40:51.972768,2023-12-08 21:41:06.026363,1,2023-12-08 21:41:16.066491,2023-12-08 21:41:18.201513,1,359.198595176087,17.02001936951052,376.2186145455975
,,,,,,,,,,,,,,2,276480,2023-12-08 21:41:37.852426,2023-12-08 21:41:49.398158,1,2023-12-08 21:41:59.443590,2023-12-08 21:42:00.878585,1,295.3852847436283,12.507078497200002,307.8923632408283
,,,,,,,,,,,,,,2,276480,2023-12-08 21:42:12.746286,2023-12-08 21:42:24.692134,1,2023-12-08 21:42:34.732579,2023-12-08 21:42:35.967180,1,252.38558746636664,10.752389606549999,263.13797707291667
