vid,time,power
,"[datetime.datetime(2023, 12, 9, 0, 46, 51, 430191), datetime.datetime(2023, 12, 9, 0, 46, 51, 530357), datetime.datetime(2023, 12, 9, 0, 46, 51, 630484), datetime.datetime(2023, 12, 9, 0, 46, 51, 730626), datetime.datetime(2023, 12, 9, 0, 46, 51, 830764), datetime.datetime(2023, 12, 9, 0, 46, 51, 930888), datetime.datetime(2023, 12, 9, 0, 46, 52, 31014), datetime.datetime(2023, 12, 9, 0, 46, 52, 131140), datetime.datetime(2023, 12, 9, 0, 46, 52, 231286), datetime.datetime(2023, 12, 9, 0, 46, 52, 331416), datetime.datetime(2023, 12, 9, 0, 46, 52, 431536), datetime.datetime(2023, 12, 9, 0, 46, 52, 531656), datetime.datetime(2023, 12, 9, 0, 46, 52, 631766), datetime.datetime(2023, 12, 9, 0, 46, 52, 731906), datetime.datetime(2023, 12, 9, 0, 46, 52, 832036), datetime.datetime(2023, 12, 9, 0, 46, 52, 932156), datetime.datetime(2023, 12, 9, 0, 46, 53, 32286), datetime.datetime(2023, 12, 9, 0, 46, 53, 132406), datetime.datetime(2023, 12, 9, 0, 46, 53, 232526), datetime.datetime(2023, 12, 9, 0, 46, 53, 332666), datetime.datetime(2023, 12, 9, 0, 46, 53, 432796), datetime.datetime(2023, 12, 9, 0, 46, 53, 533046)]","[21.8882, 35.5459, 72.98100000000002, 82.1289, 92.478, 93.8661, 104.454, 88.5914, 85.212, 82.2549, 103.138, 96.7813, 93.709, 90.7094, 94.2817, 95.9467, 70.4257, 56.2336, 58.5152, 105.659, 86.1202, 48.2183]"
,"[datetime.datetime(2023, 12, 9, 0, 47, 26, 339891), datetime.datetime(2023, 12, 9, 0, 47, 26, 440046), datetime.datetime(2023, 12, 9, 0, 47, 26, 540194), datetime.datetime(2023, 12, 9, 0, 47, 26, 640320), datetime.datetime(2023, 12, 9, 0, 47, 26, 740451), datetime.datetime(2023, 12, 9, 0, 47, 26, 840575), datetime.datetime(2023, 12, 9, 0, 47, 26, 940704), datetime.datetime(2023, 12, 9, 0, 47, 27, 40845), datetime.datetime(2023, 12, 9, 0, 47, 27, 140982), datetime.datetime(2023, 12, 9, 0, 47, 27, 241132), datetime.datetime(2023, 12, 9, 0, 47, 27, 341262), datetime.datetime(2023, 12, 9, 0, 47, 27, 441542)]","[15.0256, 61.1711, 110.183, 97.423, 91.5159, 93.6577, 101.35, 95.6013, 100.376, 98.6718, 118.687, 39.1801]"
,"[datetime.datetime(2023, 12, 9, 0, 47, 57, 932828), datetime.datetime(2023, 12, 9, 0, 47, 58, 32969), datetime.datetime(2023, 12, 9, 0, 47, 58, 133097), datetime.datetime(2023, 12, 9, 0, 47, 58, 233222), datetime.datetime(2023, 12, 9, 0, 47, 58, 333361), datetime.datetime(2023, 12, 9, 0, 47, 58, 433487), datetime.datetime(2023, 12, 9, 0, 47, 58, 533620), datetime.datetime(2023, 12, 9, 0, 47, 58, 633788)]","[14.1467, 51.1681, 112.262, 112.226, 117.835, 116.966, 119.568, 88.3166]"
,"[datetime.datetime(2023, 12, 9, 0, 48, 31, 231334), datetime.datetime(2023, 12, 9, 0, 48, 31, 331515), datetime.datetime(2023, 12, 9, 0, 48, 31, 431684), datetime.datetime(2023, 12, 9, 0, 48, 31, 531846), datetime.datetime(2023, 12, 9, 0, 48, 31, 631987), datetime.datetime(2023, 12, 9, 0, 48, 31, 732147), datetime.datetime(2023, 12, 9, 0, 48, 31, 832435)]","[14.6027, 48.5078, 112.743, 117.036, 121.124, 116.676, 53.9371]"
,"[datetime.datetime(2023, 12, 9, 0, 49, 4, 834102), datetime.datetime(2023, 12, 9, 0, 49, 4, 934248), datetime.datetime(2023, 12, 9, 0, 49, 5, 34383), datetime.datetime(2023, 12, 9, 0, 49, 5, 134524), datetime.datetime(2023, 12, 9, 0, 49, 5, 234661), datetime.datetime(2023, 12, 9, 0, 49, 5, 334813), datetime.datetime(2023, 12, 9, 0, 49, 5, 435110)]","[14.7457, 40.4305, 104.968, 100.854, 104.989, 112.641, 39.5462]"
,"[datetime.datetime(2023, 12, 9, 0, 49, 49, 565566), datetime.datetime(2023, 12, 9, 0, 49, 49, 665725), datetime.datetime(2023, 12, 9, 0, 49, 49, 765871), datetime.datetime(2023, 12, 9, 0, 49, 49, 865979), datetime.datetime(2023, 12, 9, 0, 49, 49, 966081), datetime.datetime(2023, 12, 9, 0, 49, 50, 66197), datetime.datetime(2023, 12, 9, 0, 49, 50, 166314), datetime.datetime(2023, 12, 9, 0, 49, 50, 266437), datetime.datetime(2023, 12, 9, 0, 49, 50, 366557), datetime.datetime(2023, 12, 9, 0, 49, 50, 466707), datetime.datetime(2023, 12, 9, 0, 49, 50, 566857), datetime.datetime(2023, 12, 9, 0, 49, 50, 666977), datetime.datetime(2023, 12, 9, 0, 49, 50, 767117), datetime.datetime(2023, 12, 9, 0, 49, 50, 867247), datetime.datetime(2023, 12, 9, 0, 49, 50, 967357), datetime.datetime(2023, 12, 9, 0, 49, 51, 67487), datetime.datetime(2023, 12, 9, 0, 49, 51, 167617), datetime.datetime(2023, 12, 9, 0, 49, 51, 267737), datetime.datetime(2023, 12, 9, 0, 49, 51, 367857), datetime.datetime(2023, 12, 9, 0, 49, 51, 467987), datetime.datetime(2023, 12, 9, 0, 49, 51, 568117), datetime.datetime(2023, 12, 9, 0, 49, 51, 668267), datetime.datetime(2023, 12, 9, 0, 49, 51, 768427), datetime.datetime(2023, 12, 9, 0, 49, 51, 868557), datetime.datetime(2023, 12, 9, 0, 49, 51, 968677), datetime.datetime(2023, 12, 9, 0, 49, 52, 68837), datetime.datetime(2023, 12, 9, 0, 49, 52, 169127)]","[23.8502, 70.3593, 65.8213, 63.7184, 69.9061, 78.9288, 83.6686, 69.3617, 76.8113, 49.7568, 41.6098, 60.514, 39.9463, 39.9338, 69.485, 81.8839, 74.6397, 62.0782, 68.7902, 86.50200000000002, 74.35300000000002, 52.0975, 43.0902, 39.7583, 61.9203, 38.3267, 20.6976]"
,"[datetime.datetime(2023, 12, 9, 0, 50, 33, 472547), datetime.datetime(2023, 12, 9, 0, 50, 33, 572690), datetime.datetime(2023, 12, 9, 0, 50, 33, 672815), datetime.datetime(2023, 12, 9, 0, 50, 33, 772950), datetime.datetime(2023, 12, 9, 0, 50, 33, 873097), datetime.datetime(2023, 12, 9, 0, 50, 33, 973250), datetime.datetime(2023, 12, 9, 0, 50, 34, 73405), datetime.datetime(2023, 12, 9, 0, 50, 34, 173547), datetime.datetime(2023, 12, 9, 0, 50, 34, 273682), datetime.datetime(2023, 12, 9, 0, 50, 34, 373802), datetime.datetime(2023, 12, 9, 0, 50, 34, 473942), datetime.datetime(2023, 12, 9, 0, 50, 34, 574202)]","[24.1978, 82.5455, 90.7417, 94.3575, 58.3773, 54.5253, 70.6857, 102.434, 93.7858, 76.039, 67.0942, 72.0768]"
,"[datetime.datetime(2023, 12, 9, 0, 51, 10, 190148), datetime.datetime(2023, 12, 9, 0, 51, 10, 290292), datetime.datetime(2023, 12, 9, 0, 51, 10, 390424), datetime.datetime(2023, 12, 9, 0, 51, 10, 490546), datetime.datetime(2023, 12, 9, 0, 51, 10, 590650), datetime.datetime(2023, 12, 9, 0, 51, 10, 690774), datetime.datetime(2023, 12, 9, 0, 51, 10, 790998), datetime.datetime(2023, 12, 9, 0, 51, 10, 891240)]","[24.7246, 87.8368, 98.5936, 112.99, 101.448, 122.075, 110.71, 19.4731]"
,"[datetime.datetime(2023, 12, 9, 0, 51, 48, 635929), datetime.datetime(2023, 12, 9, 0, 51, 48, 736077), datetime.datetime(2023, 12, 9, 0, 51, 48, 836221), datetime.datetime(2023, 12, 9, 0, 51, 48, 936359), datetime.datetime(2023, 12, 9, 0, 51, 49, 36498), datetime.datetime(2023, 12, 9, 0, 51, 49, 136767)]","[26.2904, 103.049, 116.298, 120.191, 105.177, 49.4002]"
,"[datetime.datetime(2023, 12, 9, 0, 52, 31, 915386), datetime.datetime(2023, 12, 9, 0, 52, 32, 15529), datetime.datetime(2023, 12, 9, 0, 52, 32, 115650), datetime.datetime(2023, 12, 9, 0, 52, 32, 215776), datetime.datetime(2023, 12, 9, 0, 52, 32, 316013), datetime.datetime(2023, 12, 9, 0, 52, 32, 416257)]","[27.0721, 70.9142, 113.76, 121.943, 113.419, 19.5976]"
