vid,time,power
,"[datetime.datetime(2023, 12, 9, 0, 56, 21, 416238), datetime.datetime(2023, 12, 9, 0, 56, 21, 516512), datetime.datetime(2023, 12, 9, 0, 56, 21, 616783), datetime.datetime(2023, 12, 9, 0, 56, 21, 717065), datetime.datetime(2023, 12, 9, 0, 56, 21, 817341), datetime.datetime(2023, 12, 9, 0, 56, 21, 917619), datetime.datetime(2023, 12, 9, 0, 56, 22, 17895), datetime.datetime(2023, 12, 9, 0, 56, 22, 118173), datetime.datetime(2023, 12, 9, 0, 56, 22, 218453), datetime.datetime(2023, 12, 9, 0, 56, 22, 318743), datetime.datetime(2023, 12, 9, 0, 56, 22, 418993), datetime.datetime(2023, 12, 9, 0, 56, 22, 519273), datetime.datetime(2023, 12, 9, 0, 56, 22, 619553), datetime.datetime(2023, 12, 9, 0, 56, 22, 719823), datetime.datetime(2023, 12, 9, 0, 56, 22, 820103), datetime.datetime(2023, 12, 9, 0, 56, 22, 920383), datetime.datetime(2023, 12, 9, 0, 56, 23, 20673), datetime.datetime(2023, 12, 9, 0, 56, 23, 120943), datetime.datetime(2023, 12, 9, 0, 56, 23, 221223), datetime.datetime(2023, 12, 9, 0, 56, 23, 321503), datetime.datetime(2023, 12, 9, 0, 56, 23, 421773), datetime.datetime(2023, 12, 9, 0, 56, 23, 522053), datetime.datetime(2023, 12, 9, 0, 56, 23, 622333), datetime.datetime(2023, 12, 9, 0, 56, 23, 722613), datetime.datetime(2023, 12, 9, 0, 56, 23, 822903), datetime.datetime(2023, 12, 9, 0, 56, 23, 923173), datetime.datetime(2023, 12, 9, 0, 56, 24, 23463), datetime.datetime(2023, 12, 9, 0, 56, 24, 123743), datetime.datetime(2023, 12, 9, 0, 56, 24, 224023), datetime.datetime(2023, 12, 9, 0, 56, 24, 324313), datetime.datetime(2023, 12, 9, 0, 56, 24, 424593), datetime.datetime(2023, 12, 9, 0, 56, 24, 524873), datetime.datetime(2023, 12, 9, 0, 56, 24, 625143), datetime.datetime(2023, 12, 9, 0, 56, 24, 725413), datetime.datetime(2023, 12, 9, 0, 56, 24, 825693), datetime.datetime(2023, 12, 9, 0, 56, 24, 925983), datetime.datetime(2023, 12, 9, 0, 56, 25, 26263), datetime.datetime(2023, 12, 9, 0, 56, 25, 126543), datetime.datetime(2023, 12, 9, 0, 56, 25, 226833), datetime.datetime(2023, 12, 9, 0, 56, 25, 327113), datetime.datetime(2023, 12, 9, 0, 56, 25, 427393), datetime.datetime(2023, 12, 9, 0, 56, 25, 527673), datetime.datetime(2023, 12, 9, 0, 56, 25, 627963), datetime.datetime(2023, 12, 9, 0, 56, 25, 728243), datetime.datetime(2023, 12, 9, 0, 56, 25, 828523), datetime.datetime(2023, 12, 9, 0, 56, 25, 928803), datetime.datetime(2023, 12, 9, 0, 56, 26, 29083), datetime.datetime(2023, 12, 9, 0, 56, 26, 129353), datetime.datetime(2023, 12, 9, 0, 56, 26, 229633), datetime.datetime(2023, 12, 9, 0, 56, 26, 329923), datetime.datetime(2023, 12, 9, 0, 56, 26, 430203), datetime.datetime(2023, 12, 9, 0, 56, 26, 530483), datetime.datetime(2023, 12, 9, 0, 56, 26, 630763), datetime.datetime(2023, 12, 9, 0, 56, 26, 731073), datetime.datetime(2023, 12, 9, 0, 56, 26, 831343), datetime.datetime(2023, 12, 9, 0, 56, 26, 931623), datetime.datetime(2023, 12, 9, 0, 56, 27, 31903), datetime.datetime(2023, 12, 9, 0, 56, 27, 132183), datetime.datetime(2023, 12, 9, 0, 56, 27, 232463), datetime.datetime(2023, 12, 9, 0, 56, 27, 332743), datetime.datetime(2023, 12, 9, 0, 56, 27, 433013), datetime.datetime(2023, 12, 9, 0, 56, 27, 533293), datetime.datetime(2023, 12, 9, 0, 56, 27, 633573), datetime.datetime(2023, 12, 9, 0, 56, 27, 733843), datetime.datetime(2023, 12, 9, 0, 56, 27, 834123), datetime.datetime(2023, 12, 9, 0, 56, 27, 934403), datetime.datetime(2023, 12, 9, 0, 56, 28, 34683), datetime.datetime(2023, 12, 9, 0, 56, 28, 134963), datetime.datetime(2023, 12, 9, 0, 56, 28, 235253), datetime.datetime(2023, 12, 9, 0, 56, 28, 335523), datetime.datetime(2023, 12, 9, 0, 56, 29, 1953), datetime.datetime(2023, 12, 9, 0, 56, 29, 102233), datetime.datetime(2023, 12, 9, 0, 56, 29, 202513), datetime.datetime(2023, 12, 9, 0, 56, 29, 302803), datetime.datetime(2023, 12, 9, 0, 56, 29, 403073), datetime.datetime(2023, 12, 9, 0, 56, 29, 503353), datetime.datetime(2023, 12, 9, 0, 56, 29, 603633), datetime.datetime(2023, 12, 9, 0, 56, 29, 703913), datetime.datetime(2023, 12, 9, 0, 56, 29, 804203), datetime.datetime(2023, 12, 9, 0, 56, 29, 904473), datetime.datetime(2023, 12, 9, 0, 56, 30, 4753), datetime.datetime(2023, 12, 9, 0, 56, 30, 105033), datetime.datetime(2023, 12, 9, 0, 56, 30, 205303), datetime.datetime(2023, 12, 9, 0, 56, 30, 305593), datetime.datetime(2023, 12, 9, 0, 56, 30, 405873), datetime.datetime(2023, 12, 9, 0, 56, 30, 506153), datetime.datetime(2023, 12, 9, 0, 56, 30, 606433), datetime.datetime(2023, 12, 9, 0, 56, 30, 706703), datetime.datetime(2023, 12, 9, 0, 56, 30, 806993), datetime.datetime(2023, 12, 9, 0, 56, 30, 907263), datetime.datetime(2023, 12, 9, 0, 56, 31, 7553), datetime.datetime(2023, 12, 9, 0, 56, 31, 107833), datetime.datetime(2023, 12, 9, 0, 56, 31, 208113), datetime.datetime(2023, 12, 9, 0, 56, 31, 308383), datetime.datetime(2023, 12, 9, 0, 56, 31, 408683), datetime.datetime(2023, 12, 9, 0, 56, 31, 508983), datetime.datetime(2023, 12, 9, 0, 56, 31, 609183), datetime.datetime(2023, 12, 9, 0, 56, 31, 709483), datetime.datetime(2023, 12, 9, 0, 56, 31, 809783), datetime.datetime(2023, 12, 9, 0, 56, 31, 910083), datetime.datetime(2023, 12, 9, 0, 56, 32, 10383), datetime.datetime(2023, 12, 9, 0, 56, 32, 110583), datetime.datetime(2023, 12, 9, 0, 56, 32, 210883), datetime.datetime(2023, 12, 9, 0, 56, 32, 311183), datetime.datetime(2023, 12, 9, 0, 56, 32, 411383), datetime.datetime(2023, 12, 9, 0, 56, 32, 511683), datetime.datetime(2023, 12, 9, 0, 56, 32, 611983), datetime.datetime(2023, 12, 9, 0, 56, 32, 712283), datetime.datetime(2023, 12, 9, 0, 56, 32, 812583), datetime.datetime(2023, 12, 9, 0, 56, 32, 912783), datetime.datetime(2023, 12, 9, 0, 56, 33, 13083), datetime.datetime(2023, 12, 9, 0, 56, 33, 113383), datetime.datetime(2023, 12, 9, 0, 56, 33, 213683), datetime.datetime(2023, 12, 9, 0, 56, 33, 313983), datetime.datetime(2023, 12, 9, 0, 56, 33, 414183), datetime.datetime(2023, 12, 9, 0, 56, 34, 144983), datetime.datetime(2023, 12, 9, 0, 56, 34, 245283), datetime.datetime(2023, 12, 9, 0, 56, 34, 345583), datetime.datetime(2023, 12, 9, 0, 56, 34, 445883), datetime.datetime(2023, 12, 9, 0, 56, 34, 546183), datetime.datetime(2023, 12, 9, 0, 56, 34, 646483), datetime.datetime(2023, 12, 9, 0, 56, 34, 746683), datetime.datetime(2023, 12, 9, 0, 56, 34, 846983), datetime.datetime(2023, 12, 9, 0, 56, 34, 947283), datetime.datetime(2023, 12, 9, 0, 56, 35, 47583), datetime.datetime(2023, 12, 9, 0, 56, 35, 147883), datetime.datetime(2023, 12, 9, 0, 56, 35, 248083), datetime.datetime(2023, 12, 9, 0, 56, 35, 348383), datetime.datetime(2023, 12, 9, 0, 56, 35, 448683), datetime.datetime(2023, 12, 9, 0, 56, 35, 548983), datetime.datetime(2023, 12, 9, 0, 56, 35, 649283), datetime.datetime(2023, 12, 9, 0, 56, 35, 749483), datetime.datetime(2023, 12, 9, 0, 56, 35, 849783), datetime.datetime(2023, 12, 9, 0, 56, 35, 950083), datetime.datetime(2023, 12, 9, 0, 56, 36, 50383), datetime.datetime(2023, 12, 9, 0, 56, 36, 150683), datetime.datetime(2023, 12, 9, 0, 56, 36, 250983), datetime.datetime(2023, 12, 9, 0, 56, 36, 351283), datetime.datetime(2023, 12, 9, 0, 56, 36, 451483), datetime.datetime(2023, 12, 9, 0, 56, 36, 551783), datetime.datetime(2023, 12, 9, 0, 56, 36, 652083), datetime.datetime(2023, 12, 9, 0, 56, 36, 752383), datetime.datetime(2023, 12, 9, 0, 56, 36, 852683), datetime.datetime(2023, 12, 9, 0, 56, 36, 952883), datetime.datetime(2023, 12, 9, 0, 56, 37, 53183), datetime.datetime(2023, 12, 9, 0, 56, 37, 153483), datetime.datetime(2023, 12, 9, 0, 56, 37, 253783), datetime.datetime(2023, 12, 9, 0, 56, 37, 354083), datetime.datetime(2023, 12, 9, 0, 56, 37, 454283), datetime.datetime(2023, 12, 9, 0, 56, 37, 554583), datetime.datetime(2023, 12, 9, 0, 56, 37, 654883), datetime.datetime(2023, 12, 9, 0, 56, 37, 755183), datetime.datetime(2023, 12, 9, 0, 56, 37, 855483), datetime.datetime(2023, 12, 9, 0, 56, 37, 955683), datetime.datetime(2023, 12, 9, 0, 56, 38, 55983), datetime.datetime(2023, 12, 9, 0, 56, 38, 156283), datetime.datetime(2023, 12, 9, 0, 56, 38, 256583), datetime.datetime(2023, 12, 9, 0, 56, 38, 356883), datetime.datetime(2023, 12, 9, 0, 56, 38, 457083), datetime.datetime(2023, 12, 9, 0, 56, 38, 557383), datetime.datetime(2023, 12, 9, 0, 56, 39, 243283), datetime.datetime(2023, 12, 9, 0, 56, 39, 343483), datetime.datetime(2023, 12, 9, 0, 56, 39, 443583), datetime.datetime(2023, 12, 9, 0, 56, 39, 543683), datetime.datetime(2023, 12, 9, 0, 56, 39, 643783), datetime.datetime(2023, 12, 9, 0, 56, 39, 743983), datetime.datetime(2023, 12, 9, 0, 56, 39, 844083), datetime.datetime(2023, 12, 9, 0, 56, 39, 944183), datetime.datetime(2023, 12, 9, 0, 56, 40, 44383), datetime.datetime(2023, 12, 9, 0, 56, 40, 144483), datetime.datetime(2023, 12, 9, 0, 56, 40, 244683), datetime.datetime(2023, 12, 9, 0, 56, 40, 344883), datetime.datetime(2023, 12, 9, 0, 56, 40, 444983), datetime.datetime(2023, 12, 9, 0, 56, 40, 545083), datetime.datetime(2023, 12, 9, 0, 56, 40, 645283), datetime.datetime(2023, 12, 9, 0, 56, 40, 745383), datetime.datetime(2023, 12, 9, 0, 56, 40, 845583), datetime.datetime(2023, 12, 9, 0, 56, 40, 945683), datetime.datetime(2023, 12, 9, 0, 56, 41, 45783), datetime.datetime(2023, 12, 9, 0, 56, 41, 145983), datetime.datetime(2023, 12, 9, 0, 56, 41, 246183)]","[10.0241, 9.95989, 10.0351, 9.7972, 9.981, 9.92906, 9.8757, 9.91019, 9.94327, 9.83301, 10.0389, 9.94286, 9.76838, 9.8907, 9.82062, 9.85968, 9.88313, 9.96366, 10.0703, 9.92694, 9.88927, 9.90187, 10.2915, 10.3698, 9.92978, 10.0625, 9.80543, 9.74354, 10.0315, 9.92574, 10.1075, 9.85765, 9.74359, 10.3059, 10.1184, 10.0843, 10.0231, 9.98345, 9.93567, 9.84933, 9.88881, 9.95605, 10.0205, 10.0748, 9.84477, 9.74393, 9.79262, 10.5859, 9.76209, 9.84528, 9.21109, 9.86505, 9.73278, 10.3062, 9.98515, 10.3001, 9.92969, 10.245, 9.77164, 9.75031, 9.94762, 9.89406, 9.90827, 10.0844, 10.7417, 9.90432, 10.0173, 9.82479, 9.91751, 10.135, 10.0756, 9.69069, 9.92278, 10.4792, 10.3514, 9.8467, 10.2009, 10.5086, 9.96265, 9.97643, 9.94541, 9.97999, 10.0491, 9.8104, 10.1276, 10.6982, 9.8131, 9.88646, 9.9086, 9.95461, 9.83077, 10.0254, 9.85765, 10.3463, 10.2776, 10.2089, 10.2832, 9.8958, 9.99967, 9.78807, 9.85165, 9.92571, 9.92419, 9.64626, 9.97969, 10.0051, 10.7466, 10.8059, 10.7333, 10.2826, 9.96691, 10.1431, 10.9245, 10.7299, 10.8232, 10.496, 10.3702, 10.39, 10.7822, 10.3362, 10.1018, 10.4558, 10.8338, 10.703, 10.2157, 10.5582, 10.8434, 10.5429, 10.9124, 10.6398, 10.8365, 10.798, 11.2582, 10.8389, 10.7893, 10.8225, 10.7838, 10.7755, 10.5652, 10.5169, 10.5851, 10.7795, 10.9064, 10.6958, 10.7403, 10.5167, 10.5559, 10.6458, 10.5135, 10.6882, 10.3708, 10.7281, 10.1701, 10.4019, 10.6786, 10.657, 10.8044, 10.534, 10.7951, 10.6938, 12.9623, 61.48, 85.2754, 81.0963, 90.8849, 92.18, 87.3226, 95.0545, 100.244, 86.2691, 92.7362, 96.6339, 90.4662, 100.51, 101.113, 103.625, 101.952, 102.568, 103.954, 106.889, 28.8136]"
,"[datetime.datetime(2023, 12, 9, 0, 57, 12, 555625), datetime.datetime(2023, 12, 9, 0, 57, 12, 655776), datetime.datetime(2023, 12, 9, 0, 57, 12, 755916), datetime.datetime(2023, 12, 9, 0, 57, 12, 856050), datetime.datetime(2023, 12, 9, 0, 57, 12, 956189), datetime.datetime(2023, 12, 9, 0, 57, 13, 56332), datetime.datetime(2023, 12, 9, 0, 57, 13, 156456), datetime.datetime(2023, 12, 9, 0, 57, 13, 256580), datetime.datetime(2023, 12, 9, 0, 57, 13, 356710), datetime.datetime(2023, 12, 9, 0, 57, 13, 456830), datetime.datetime(2023, 12, 9, 0, 57, 13, 556950), datetime.datetime(2023, 12, 9, 0, 57, 13, 657170)]","[27.5624, 41.6741, 81.7349, 79.0384, 92.3478, 96.705, 96.6136, 95.278, 88.8913, 99.9652, 99.15, 70.9826]"
,"[datetime.datetime(2023, 12, 9, 0, 57, 43, 496866), datetime.datetime(2023, 12, 9, 0, 57, 43, 597035), datetime.datetime(2023, 12, 9, 0, 57, 43, 697162), datetime.datetime(2023, 12, 9, 0, 57, 43, 797288), datetime.datetime(2023, 12, 9, 0, 57, 43, 897397), datetime.datetime(2023, 12, 9, 0, 57, 43, 997533), datetime.datetime(2023, 12, 9, 0, 57, 44, 97653), datetime.datetime(2023, 12, 9, 0, 57, 44, 197859)]","[17.0701, 25.098000000000006, 85.0037, 100.637, 96.3958, 104.925, 94.7904, 54.4843]"
,"[datetime.datetime(2023, 12, 9, 0, 58, 11, 625964), datetime.datetime(2023, 12, 9, 0, 58, 11, 726175), datetime.datetime(2023, 12, 9, 0, 58, 11, 826337), datetime.datetime(2023, 12, 9, 0, 58, 11, 926492), datetime.datetime(2023, 12, 9, 0, 58, 12, 26632), datetime.datetime(2023, 12, 9, 0, 58, 12, 126761), datetime.datetime(2023, 12, 9, 0, 58, 12, 227024)]","[13.835, 15.3186, 59.7031, 96.0815, 104.121, 97.2567, 40.4764]"
,"[datetime.datetime(2023, 12, 9, 0, 58, 41, 90693), datetime.datetime(2023, 12, 9, 0, 58, 41, 190917), datetime.datetime(2023, 12, 9, 0, 58, 41, 291103), datetime.datetime(2023, 12, 9, 0, 58, 41, 391266), datetime.datetime(2023, 12, 9, 0, 58, 41, 491415), datetime.datetime(2023, 12, 9, 0, 58, 41, 591659)]","[14.1688, 17.5163, 77.785, 91.7432, 102.543, 43.7172]"
,"[datetime.datetime(2023, 12, 9, 0, 59, 19, 254744), datetime.datetime(2023, 12, 9, 0, 59, 19, 354880), datetime.datetime(2023, 12, 9, 0, 59, 19, 455003), datetime.datetime(2023, 12, 9, 0, 59, 19, 555123), datetime.datetime(2023, 12, 9, 0, 59, 19, 655244), datetime.datetime(2023, 12, 9, 0, 59, 19, 755421), datetime.datetime(2023, 12, 9, 0, 59, 19, 855548), datetime.datetime(2023, 12, 9, 0, 59, 19, 955676), datetime.datetime(2023, 12, 9, 0, 59, 20, 55803), datetime.datetime(2023, 12, 9, 0, 59, 20, 155983), datetime.datetime(2023, 12, 9, 0, 59, 20, 256103), datetime.datetime(2023, 12, 9, 0, 59, 20, 356223), datetime.datetime(2023, 12, 9, 0, 59, 20, 456343), datetime.datetime(2023, 12, 9, 0, 59, 20, 556473), datetime.datetime(2023, 12, 9, 0, 59, 20, 656603), datetime.datetime(2023, 12, 9, 0, 59, 20, 756713), datetime.datetime(2023, 12, 9, 0, 59, 20, 856823), datetime.datetime(2023, 12, 9, 0, 59, 20, 956943), datetime.datetime(2023, 12, 9, 0, 59, 21, 57123), datetime.datetime(2023, 12, 9, 0, 59, 21, 157293)]","[36.4071, 64.0523, 85.9734, 93.7657, 87.8496, 80.0902, 89.4207, 93.0675, 101.672, 97.9644, 73.9556, 88.8836, 85.0722, 80.0581, 83.0269, 89.1785, 92.1746, 99.2474, 97.6734, 49.7144]"
,"[datetime.datetime(2023, 12, 9, 0, 59, 52, 804782), datetime.datetime(2023, 12, 9, 0, 59, 52, 904910), datetime.datetime(2023, 12, 9, 0, 59, 53, 5029), datetime.datetime(2023, 12, 9, 0, 59, 53, 105160), datetime.datetime(2023, 12, 9, 0, 59, 53, 205327), datetime.datetime(2023, 12, 9, 0, 59, 53, 305457), datetime.datetime(2023, 12, 9, 0, 59, 53, 405607), datetime.datetime(2023, 12, 9, 0, 59, 53, 505769), datetime.datetime(2023, 12, 9, 0, 59, 53, 605928), datetime.datetime(2023, 12, 9, 0, 59, 53, 706078), datetime.datetime(2023, 12, 9, 0, 59, 53, 806208), datetime.datetime(2023, 12, 9, 0, 59, 53, 906458)]","[29.1306, 51.0991, 72.9509, 73.8967, 77.057, 87.3291, 67.7451, 70.6156, 66.9855, 74.5135, 91.4217, 52.8118]"
,"[datetime.datetime(2023, 12, 9, 1, 0, 22, 97878), datetime.datetime(2023, 12, 9, 1, 0, 22, 198045), datetime.datetime(2023, 12, 9, 1, 0, 22, 298184), datetime.datetime(2023, 12, 9, 1, 0, 22, 398311), datetime.datetime(2023, 12, 9, 1, 0, 22, 498439), datetime.datetime(2023, 12, 9, 1, 0, 22, 598578), datetime.datetime(2023, 12, 9, 1, 0, 22, 698839)]","[19.4787, 49.2165, 84.4511, 105.265, 97.6637, 101.787, 28.0968]"
,"[datetime.datetime(2023, 12, 9, 1, 0, 50, 590184), datetime.datetime(2023, 12, 9, 1, 0, 50, 690389), datetime.datetime(2023, 12, 9, 1, 0, 50, 790534), datetime.datetime(2023, 12, 9, 1, 0, 50, 890663), datetime.datetime(2023, 12, 9, 1, 0, 50, 990804), datetime.datetime(2023, 12, 9, 1, 0, 51, 91061)]","[18.1109, 48.4237, 89.7149, 75.4008, 80.3725, 23.1351]"
,"[datetime.datetime(2023, 12, 9, 1, 1, 19, 873299), datetime.datetime(2023, 12, 9, 1, 1, 19, 973479), datetime.datetime(2023, 12, 9, 1, 1, 20, 73642), datetime.datetime(2023, 12, 9, 1, 1, 20, 173849), datetime.datetime(2023, 12, 9, 1, 1, 20, 274135)]","[16.1039, 69.8931, 92.2355, 98.8518, 34.888000000000005]"
