vid,time,power
,"[datetime.datetime(2023, 12, 8, 16, 7, 44, 412379), datetime.datetime(2023, 12, 8, 16, 7, 44, 512542), datetime.datetime(2023, 12, 8, 16, 7, 44, 612709), datetime.datetime(2023, 12, 8, 16, 7, 44, 712859), datetime.datetime(2023, 12, 8, 16, 7, 44, 813005), datetime.datetime(2023, 12, 8, 16, 7, 44, 913128), datetime.datetime(2023, 12, 8, 16, 7, 45, 13281), datetime.datetime(2023, 12, 8, 16, 7, 45, 113435), datetime.datetime(2023, 12, 8, 16, 7, 45, 213565), datetime.datetime(2023, 12, 8, 16, 7, 45, 313685), datetime.datetime(2023, 12, 8, 16, 7, 45, 413805), datetime.datetime(2023, 12, 8, 16, 7, 45, 513935), datetime.datetime(2023, 12, 8, 16, 7, 45, 614065), datetime.datetime(2023, 12, 8, 16, 7, 45, 714185), datetime.datetime(2023, 12, 8, 16, 7, 45, 814325), datetime.datetime(2023, 12, 8, 16, 7, 45, 914505), datetime.datetime(2023, 12, 8, 16, 7, 46, 14795)]","[25.6836, 51.6443, 63.4024, 60.1253, 57.9269, 61.9404, 59.9675, 58.3909, 55.36, 99.0306, 108.018, 109.544, 116.043, 114.503, 85.3835, 54.6247, 35.2143]"
,"[datetime.datetime(2023, 12, 8, 16, 8, 16, 436645), datetime.datetime(2023, 12, 8, 16, 8, 16, 536796), datetime.datetime(2023, 12, 8, 16, 8, 16, 636917), datetime.datetime(2023, 12, 8, 16, 8, 16, 737042), datetime.datetime(2023, 12, 8, 16, 8, 16, 837166), datetime.datetime(2023, 12, 8, 16, 8, 16, 937291), datetime.datetime(2023, 12, 8, 16, 8, 17, 37413), datetime.datetime(2023, 12, 8, 16, 8, 17, 137601), datetime.datetime(2023, 12, 8, 16, 8, 17, 237766), datetime.datetime(2023, 12, 8, 16, 8, 17, 338046)]","[23.061, 31.0335, 59.8903, 66.3136, 62.2921, 96.7315, 105.258, 113.698, 80.7314, 35.4562]"
,"[datetime.datetime(2023, 12, 8, 16, 8, 44, 911095), datetime.datetime(2023, 12, 8, 16, 8, 45, 11271), datetime.datetime(2023, 12, 8, 16, 8, 45, 111418), datetime.datetime(2023, 12, 8, 16, 8, 45, 211536), datetime.datetime(2023, 12, 8, 16, 8, 45, 311664), datetime.datetime(2023, 12, 8, 16, 8, 45, 411847)]","[16.859, 38.4766, 99.4784, 117.445, 104.098, 28.6792]"
,"[datetime.datetime(2023, 12, 8, 16, 9, 11, 200529), datetime.datetime(2023, 12, 8, 16, 9, 11, 300690), datetime.datetime(2023, 12, 8, 16, 9, 11, 400849), datetime.datetime(2023, 12, 8, 16, 9, 11, 500971), datetime.datetime(2023, 12, 8, 16, 9, 11, 601235)]","[15.2182, 50.487, 110.886, 121.267, 39.5416]"
,"[datetime.datetime(2023, 12, 8, 16, 9, 40, 22413), datetime.datetime(2023, 12, 8, 16, 9, 40, 122579), datetime.datetime(2023, 12, 8, 16, 9, 40, 222723), datetime.datetime(2023, 12, 8, 16, 9, 40, 322930)]","[15.3491, 47.7643, 114.24, 99.1776]"
,"[datetime.datetime(2023, 12, 8, 16, 10, 13, 374376), datetime.datetime(2023, 12, 8, 16, 10, 13, 474529), datetime.datetime(2023, 12, 8, 16, 10, 13, 574663), datetime.datetime(2023, 12, 8, 16, 10, 13, 674793), datetime.datetime(2023, 12, 8, 16, 10, 15, 398928), datetime.datetime(2023, 12, 8, 16, 10, 15, 499048), datetime.datetime(2023, 12, 8, 16, 10, 15, 599158), datetime.datetime(2023, 12, 8, 16, 10, 15, 699288), datetime.datetime(2023, 12, 8, 16, 10, 15, 799428), datetime.datetime(2023, 12, 8, 16, 10, 15, 899558), datetime.datetime(2023, 12, 8, 16, 10, 15, 999708), datetime.datetime(2023, 12, 8, 16, 10, 16, 99898), datetime.datetime(2023, 12, 8, 16, 10, 16, 200068), datetime.datetime(2023, 12, 8, 16, 10, 16, 300218), datetime.datetime(2023, 12, 8, 16, 10, 16, 400358), datetime.datetime(2023, 12, 8, 16, 10, 16, 500478), datetime.datetime(2023, 12, 8, 16, 10, 16, 600598), datetime.datetime(2023, 12, 8, 16, 10, 16, 700738), datetime.datetime(2023, 12, 8, 16, 10, 16, 801008)]","[29.4268, 52.8019, 37.3413, 43.1879, 17.4329, 86.7354, 106.955, 69.1864, 43.5105, 44.9713, 44.0196, 47.5141, 46.7477, 43.7237, 93.2299, 89.6361, 110.672, 64.1117, 32.3006]"
,"[datetime.datetime(2023, 12, 8, 16, 10, 51, 788638), datetime.datetime(2023, 12, 8, 16, 10, 51, 888775), datetime.datetime(2023, 12, 8, 16, 10, 51, 988918), datetime.datetime(2023, 12, 8, 16, 10, 52, 89054), datetime.datetime(2023, 12, 8, 16, 10, 52, 189175), datetime.datetime(2023, 12, 8, 16, 10, 52, 289304), datetime.datetime(2023, 12, 8, 16, 10, 52, 389446), datetime.datetime(2023, 12, 8, 16, 10, 52, 489584), datetime.datetime(2023, 12, 8, 16, 10, 52, 589712), datetime.datetime(2023, 12, 8, 16, 10, 52, 689842), datetime.datetime(2023, 12, 8, 16, 10, 52, 790102)]","[22.8632, 30.1735, 33.1533, 64.4564, 96.4653, 40.4727, 38.052, 27.751, 60.6164, 105.482, 42.3822]"
,"[datetime.datetime(2023, 12, 8, 16, 11, 24, 699364), datetime.datetime(2023, 12, 8, 16, 11, 24, 799522), datetime.datetime(2023, 12, 8, 16, 11, 24, 899636), datetime.datetime(2023, 12, 8, 16, 11, 24, 999745), datetime.datetime(2023, 12, 8, 16, 11, 25, 99925)]","[29.0855, 100.057, 71.7096, 73.4466, 64.2538]"
,"[datetime.datetime(2023, 12, 8, 16, 11, 53, 879517), datetime.datetime(2023, 12, 8, 16, 11, 53, 979685), datetime.datetime(2023, 12, 8, 16, 11, 54, 79833), datetime.datetime(2023, 12, 8, 16, 11, 54, 180095)]","[25.225, 66.9182, 94.2806, 74.1934]"
,"[datetime.datetime(2023, 12, 8, 16, 12, 23, 296833), datetime.datetime(2023, 12, 8, 16, 12, 23, 396964), datetime.datetime(2023, 12, 8, 16, 12, 23, 497181)]","[25.9079, 89.0563, 110.188]"
