vid,time,power
,"[datetime.datetime(2023, 12, 8, 16, 19, 28, 422324), datetime.datetime(2023, 12, 8, 16, 19, 28, 522447), datetime.datetime(2023, 12, 8, 16, 19, 28, 622566), datetime.datetime(2023, 12, 8, 16, 19, 28, 722692), datetime.datetime(2023, 12, 8, 16, 19, 28, 822816), datetime.datetime(2023, 12, 8, 16, 19, 28, 922948), datetime.datetime(2023, 12, 8, 16, 19, 29, 23074), datetime.datetime(2023, 12, 8, 16, 19, 29, 123194), datetime.datetime(2023, 12, 8, 16, 19, 29, 223324), datetime.datetime(2023, 12, 8, 16, 19, 29, 323454), datetime.datetime(2023, 12, 8, 16, 19, 29, 423574), datetime.datetime(2023, 12, 8, 16, 19, 29, 523704), datetime.datetime(2023, 12, 8, 16, 19, 29, 623824), datetime.datetime(2023, 12, 8, 16, 19, 29, 723944), datetime.datetime(2023, 12, 8, 16, 19, 29, 824114), datetime.datetime(2023, 12, 8, 16, 19, 29, 924244), datetime.datetime(2023, 12, 8, 16, 19, 30, 24364), datetime.datetime(2023, 12, 8, 16, 19, 30, 124484), datetime.datetime(2023, 12, 8, 16, 19, 30, 224614), datetime.datetime(2023, 12, 8, 16, 19, 30, 324744), datetime.datetime(2023, 12, 8, 16, 19, 30, 424864), datetime.datetime(2023, 12, 8, 16, 19, 30, 525034), datetime.datetime(2023, 12, 8, 16, 19, 30, 625254)]","[41.07, 81.8311, 103.506, 105.793, 110.445, 102.114, 92.9664, 90.8261, 93.906, 89.3394, 85.8674, 89.5963, 87.6399, 95.8951, 88.7185, 82.1355, 83.1887, 84.9158, 83.7223, 83.5968, 83.9896, 88.4322, 33.8749]"
,"[datetime.datetime(2023, 12, 8, 16, 19, 59, 941626), datetime.datetime(2023, 12, 8, 16, 20, 0, 41771), datetime.datetime(2023, 12, 8, 16, 20, 0, 141903), datetime.datetime(2023, 12, 8, 16, 20, 0, 242045), datetime.datetime(2023, 12, 8, 16, 20, 0, 342179), datetime.datetime(2023, 12, 8, 16, 20, 0, 442327), datetime.datetime(2023, 12, 8, 16, 20, 0, 542490), datetime.datetime(2023, 12, 8, 16, 20, 0, 642649), datetime.datetime(2023, 12, 8, 16, 20, 0, 742795), datetime.datetime(2023, 12, 8, 16, 20, 0, 843055)]","[27.5695, 71.618, 102.95, 75.6135, 74.0048, 82.7102, 69.5583, 69.6086, 58.5918, 59.3391]"
,"[datetime.datetime(2023, 12, 8, 16, 20, 27, 988583), datetime.datetime(2023, 12, 8, 16, 20, 28, 88730), datetime.datetime(2023, 12, 8, 16, 20, 28, 188863), datetime.datetime(2023, 12, 8, 16, 20, 28, 289022), datetime.datetime(2023, 12, 8, 16, 20, 28, 389301)]","[17.8164, 73.8014, 123.344, 118.402, 67.3432]"
,"[datetime.datetime(2023, 12, 8, 16, 20, 58, 139508), datetime.datetime(2023, 12, 8, 16, 20, 58, 239671), datetime.datetime(2023, 12, 8, 16, 20, 58, 339827), datetime.datetime(2023, 12, 8, 16, 20, 58, 439974), datetime.datetime(2023, 12, 8, 16, 20, 58, 540243)]","[15.3647, 52.8752, 107.603, 108.091, 55.715]"
,"[datetime.datetime(2023, 12, 8, 16, 21, 26, 340341)]",[12.8839]
,"[datetime.datetime(2023, 12, 8, 16, 22, 2, 294941), datetime.datetime(2023, 12, 8, 16, 22, 2, 395053), datetime.datetime(2023, 12, 8, 16, 22, 2, 495170), datetime.datetime(2023, 12, 8, 16, 22, 2, 595296), datetime.datetime(2023, 12, 8, 16, 22, 2, 695423), datetime.datetime(2023, 12, 8, 16, 22, 2, 795548), datetime.datetime(2023, 12, 8, 16, 22, 2, 895672), datetime.datetime(2023, 12, 8, 16, 22, 2, 995825), datetime.datetime(2023, 12, 8, 16, 22, 3, 95996), datetime.datetime(2023, 12, 8, 16, 22, 3, 196186), datetime.datetime(2023, 12, 8, 16, 22, 3, 296326), datetime.datetime(2023, 12, 8, 16, 22, 3, 396456), datetime.datetime(2023, 12, 8, 16, 22, 3, 496576), datetime.datetime(2023, 12, 8, 16, 22, 3, 596706), datetime.datetime(2023, 12, 8, 16, 22, 3, 696836), datetime.datetime(2023, 12, 8, 16, 22, 3, 796956), datetime.datetime(2023, 12, 8, 16, 22, 3, 897106), datetime.datetime(2023, 12, 8, 16, 22, 3, 997246), datetime.datetime(2023, 12, 8, 16, 22, 4, 97376), datetime.datetime(2023, 12, 8, 16, 22, 4, 197526), datetime.datetime(2023, 12, 8, 16, 22, 4, 297646), datetime.datetime(2023, 12, 8, 16, 22, 4, 397776), datetime.datetime(2023, 12, 8, 16, 22, 4, 497906)]","[59.2667, 90.6748, 94.1544, 84.0939, 75.3944, 72.1906, 70.3803, 57.6693, 62.8003, 60.5825, 56.867, 50.7502, 88.0017, 95.6406, 82.6436, 68.8009, 66.877, 70.7755, 79.124, 70.9405, 64.655, 60.9072, 57.7793]"
,"[datetime.datetime(2023, 12, 8, 16, 22, 33, 65880), datetime.datetime(2023, 12, 8, 16, 22, 33, 166018), datetime.datetime(2023, 12, 8, 16, 22, 33, 266185), datetime.datetime(2023, 12, 8, 16, 22, 33, 366341), datetime.datetime(2023, 12, 8, 16, 22, 33, 466470), datetime.datetime(2023, 12, 8, 16, 22, 33, 566583), datetime.datetime(2023, 12, 8, 16, 22, 33, 666732), datetime.datetime(2023, 12, 8, 16, 22, 33, 766881), datetime.datetime(2023, 12, 8, 16, 22, 33, 867014), datetime.datetime(2023, 12, 8, 16, 22, 33, 967154), datetime.datetime(2023, 12, 8, 16, 22, 34, 67394), datetime.datetime(2023, 12, 8, 16, 22, 34, 167684)]","[28.4283, 72.5196, 56.6626, 52.7699, 41.1115, 44.595, 58.6522, 50.5667, 33.3066, 42.1791, 43.437, 30.692]"
,"[datetime.datetime(2023, 12, 8, 16, 23, 1, 858452), datetime.datetime(2023, 12, 8, 16, 23, 1, 958610), datetime.datetime(2023, 12, 8, 16, 23, 2, 58767), datetime.datetime(2023, 12, 8, 16, 23, 2, 158934), datetime.datetime(2023, 12, 8, 16, 23, 2, 259181), datetime.datetime(2023, 12, 8, 16, 23, 2, 359451)]","[24.1738, 55.3313, 82.1556, 83.9882, 75.9069, 17.3135]"
,"[datetime.datetime(2023, 12, 8, 16, 23, 30, 540879), datetime.datetime(2023, 12, 8, 16, 23, 30, 641016), datetime.datetime(2023, 12, 8, 16, 23, 30, 741157), datetime.datetime(2023, 12, 8, 16, 23, 30, 841444)]","[34.3737, 98.0889, 117.242, 46.92100000000001]"
,"[datetime.datetime(2023, 12, 8, 16, 23, 59, 485531), datetime.datetime(2023, 12, 8, 16, 23, 59, 585686), datetime.datetime(2023, 12, 8, 16, 23, 59, 685813), datetime.datetime(2023, 12, 8, 16, 23, 59, 786048)]","[23.758000000000006, 59.4147, 77.3401, 79.1408]"
