vid,time,power
,"[datetime.datetime(2023, 12, 8, 21, 4, 0, 506453), datetime.datetime(2023, 12, 8, 21, 4, 0, 606650), datetime.datetime(2023, 12, 8, 21, 4, 0, 706854), datetime.datetime(2023, 12, 8, 21, 4, 0, 807062), datetime.datetime(2023, 12, 8, 21, 4, 0, 907198), datetime.datetime(2023, 12, 8, 21, 4, 1, 7330), datetime.datetime(2023, 12, 8, 21, 4, 1, 107458), datetime.datetime(2023, 12, 8, 21, 4, 1, 207631), datetime.datetime(2023, 12, 8, 21, 4, 1, 307754), datetime.datetime(2023, 12, 8, 21, 4, 1, 407944), datetime.datetime(2023, 12, 8, 21, 4, 1, 508074), datetime.datetime(2023, 12, 8, 21, 4, 1, 608284), datetime.datetime(2023, 12, 8, 21, 4, 1, 708424), datetime.datetime(2023, 12, 8, 21, 4, 1, 808564), datetime.datetime(2023, 12, 8, 21, 4, 1, 908714), datetime.datetime(2023, 12, 8, 21, 4, 2, 8914), datetime.datetime(2023, 12, 8, 21, 4, 2, 109054), datetime.datetime(2023, 12, 8, 21, 4, 2, 209224), datetime.datetime(2023, 12, 8, 21, 4, 2, 309374), datetime.datetime(2023, 12, 8, 21, 4, 2, 409554), datetime.datetime(2023, 12, 8, 21, 4, 2, 509754), datetime.datetime(2023, 12, 8, 21, 4, 2, 609994), datetime.datetime(2023, 12, 8, 21, 4, 2, 710124), datetime.datetime(2023, 12, 8, 21, 4, 2, 810274), datetime.datetime(2023, 12, 8, 21, 4, 2, 910484), datetime.datetime(2023, 12, 8, 21, 4, 3, 10624), datetime.datetime(2023, 12, 8, 21, 4, 3, 110774), datetime.datetime(2023, 12, 8, 21, 4, 3, 210964), datetime.datetime(2023, 12, 8, 21, 4, 3, 311114), datetime.datetime(2023, 12, 8, 21, 4, 3, 411294), datetime.datetime(2023, 12, 8, 21, 4, 3, 511424), datetime.datetime(2023, 12, 8, 21, 4, 3, 611604), datetime.datetime(2023, 12, 8, 21, 4, 3, 711764), datetime.datetime(2023, 12, 8, 21, 4, 3, 811934), datetime.datetime(2023, 12, 8, 21, 4, 3, 912154), datetime.datetime(2023, 12, 8, 21, 4, 4, 12314), datetime.datetime(2023, 12, 8, 21, 4, 4, 112474), datetime.datetime(2023, 12, 8, 21, 4, 4, 212684), datetime.datetime(2023, 12, 8, 21, 4, 4, 312884), datetime.datetime(2023, 12, 8, 21, 4, 4, 413074), datetime.datetime(2023, 12, 8, 21, 4, 4, 513254), datetime.datetime(2023, 12, 8, 21, 4, 4, 613384), datetime.datetime(2023, 12, 8, 21, 4, 4, 713524), datetime.datetime(2023, 12, 8, 21, 4, 4, 813704), datetime.datetime(2023, 12, 8, 21, 4, 4, 913954)]","[37.8351, 52.8207, 52.236, 59.4357, 71.8792, 75.1437, 82.0977, 115.697, 92.1175, 57.3322, 58.6981, 78.5998, 70.0262, 67.4273, 85.3398, 75.7989, 58.6734, 66.9181, 62.3309, 65.6234, 47.4409, 43.7043, 49.4476, 62.0798, 55.6716, 56.7655, 57.9961, 62.9328, 55.7507, 69.747, 67.6623, 71.4157, 72.0984, 65.6799, 78.64699999999998, 68.0919, 73.7805, 76.0832, 64.3568, 46.7098, 68.683, 59.7795, 64.5786, 57.9004, 47.717]"
,"[datetime.datetime(2023, 12, 8, 21, 4, 51, 898138), datetime.datetime(2023, 12, 8, 21, 4, 51, 998269), datetime.datetime(2023, 12, 8, 21, 4, 52, 98395), datetime.datetime(2023, 12, 8, 21, 4, 52, 198522), datetime.datetime(2023, 12, 8, 21, 4, 52, 298675), datetime.datetime(2023, 12, 8, 21, 4, 52, 398803), datetime.datetime(2023, 12, 8, 21, 4, 52, 498980), datetime.datetime(2023, 12, 8, 21, 4, 52, 599174), datetime.datetime(2023, 12, 8, 21, 4, 52, 699341), datetime.datetime(2023, 12, 8, 21, 4, 52, 799511), datetime.datetime(2023, 12, 8, 21, 4, 52, 899681), datetime.datetime(2023, 12, 8, 21, 4, 52, 999881), datetime.datetime(2023, 12, 8, 21, 4, 53, 100081), datetime.datetime(2023, 12, 8, 21, 4, 53, 200211), datetime.datetime(2023, 12, 8, 21, 4, 53, 300441), datetime.datetime(2023, 12, 8, 21, 4, 53, 400651), datetime.datetime(2023, 12, 8, 21, 4, 53, 500931), datetime.datetime(2023, 12, 8, 21, 4, 53, 601191), datetime.datetime(2023, 12, 8, 21, 4, 53, 701431), datetime.datetime(2023, 12, 8, 21, 4, 53, 801671), datetime.datetime(2023, 12, 8, 21, 4, 53, 901771), datetime.datetime(2023, 12, 8, 21, 4, 54, 1941), datetime.datetime(2023, 12, 8, 21, 4, 54, 102141), datetime.datetime(2023, 12, 8, 21, 4, 54, 202301), datetime.datetime(2023, 12, 8, 21, 4, 54, 302441), datetime.datetime(2023, 12, 8, 21, 4, 54, 402561), datetime.datetime(2023, 12, 8, 21, 4, 54, 502681), datetime.datetime(2023, 12, 8, 21, 4, 54, 602941)]","[38.1317, 42.1238, 44.4539, 62.6085, 57.01600000000001, 96.6494, 70.7866, 53.7483, 48.5407, 60.4222, 58.5326, 47.647, 49.1371, 36.0988, 46.6545, 37.5793, 50.3469, 44.4487, 55.525, 64.0182, 72.1096, 67.7973, 60.2658, 59.1455, 60.1732, 52.9234, 57.57, 47.3239]"
,"[datetime.datetime(2023, 12, 8, 21, 5, 32, 142106), datetime.datetime(2023, 12, 8, 21, 5, 32, 242256), datetime.datetime(2023, 12, 8, 21, 5, 32, 342400), datetime.datetime(2023, 12, 8, 21, 5, 32, 442554), datetime.datetime(2023, 12, 8, 21, 5, 32, 542729), datetime.datetime(2023, 12, 8, 21, 5, 32, 642836), datetime.datetime(2023, 12, 8, 21, 5, 32, 743080), datetime.datetime(2023, 12, 8, 21, 5, 32, 843200), datetime.datetime(2023, 12, 8, 21, 5, 32, 943337), datetime.datetime(2023, 12, 8, 21, 5, 33, 43527), datetime.datetime(2023, 12, 8, 21, 5, 33, 143647), datetime.datetime(2023, 12, 8, 21, 5, 33, 243827), datetime.datetime(2023, 12, 8, 21, 5, 33, 343957), datetime.datetime(2023, 12, 8, 21, 5, 33, 444257), datetime.datetime(2023, 12, 8, 21, 5, 33, 544467), datetime.datetime(2023, 12, 8, 21, 5, 33, 644687), datetime.datetime(2023, 12, 8, 21, 5, 33, 744867), datetime.datetime(2023, 12, 8, 21, 5, 33, 845097), datetime.datetime(2023, 12, 8, 21, 5, 33, 945367)]","[36.5196, 40.0144, 53.9646, 57.8047, 45.4563, 42.8393, 36.6732, 29.0478, 28.3882, 24.1771, 29.8183, 33.2805, 42.0419, 46.6577, 42.9721, 44.3421, 38.515, 33.5741, 18.0225]"
,"[datetime.datetime(2023, 12, 8, 21, 6, 4, 304098), datetime.datetime(2023, 12, 8, 21, 6, 4, 404293), datetime.datetime(2023, 12, 8, 21, 6, 4, 504479), datetime.datetime(2023, 12, 8, 21, 6, 4, 604705), datetime.datetime(2023, 12, 8, 21, 6, 4, 704859), datetime.datetime(2023, 12, 8, 21, 6, 4, 805085), datetime.datetime(2023, 12, 8, 21, 6, 4, 905361), datetime.datetime(2023, 12, 8, 21, 6, 5, 5557), datetime.datetime(2023, 12, 8, 21, 6, 5, 105785), datetime.datetime(2023, 12, 8, 21, 6, 5, 206015), datetime.datetime(2023, 12, 8, 21, 6, 5, 306225), datetime.datetime(2023, 12, 8, 21, 6, 5, 406515)]","[26.6778, 37.7675, 40.831, 33.5016, 25.7422, 24.0125, 26.9508, 26.2242, 35.321, 29.8023, 21.6962, 11.2826]"
,"[datetime.datetime(2023, 12, 8, 21, 6, 32, 799482), datetime.datetime(2023, 12, 8, 21, 6, 32, 899693), datetime.datetime(2023, 12, 8, 21, 6, 32, 999966), datetime.datetime(2023, 12, 8, 21, 6, 33, 100140), datetime.datetime(2023, 12, 8, 21, 6, 33, 200396), datetime.datetime(2023, 12, 8, 21, 6, 33, 300710), datetime.datetime(2023, 12, 8, 21, 6, 33, 401004)]","[19.6352, 27.8313, 26.8408, 28.7025, 27.2654, 24.0736, 20.1915]"
,"[datetime.datetime(2023, 12, 8, 21, 7, 41, 583310), datetime.datetime(2023, 12, 8, 21, 7, 41, 683544), datetime.datetime(2023, 12, 8, 21, 7, 41, 783776), datetime.datetime(2023, 12, 8, 21, 7, 41, 883951), datetime.datetime(2023, 12, 8, 21, 7, 41, 984101), datetime.datetime(2023, 12, 8, 21, 7, 42, 84274), datetime.datetime(2023, 12, 8, 21, 7, 42, 184424), datetime.datetime(2023, 12, 8, 21, 7, 42, 284588), datetime.datetime(2023, 12, 8, 21, 7, 42, 384776), datetime.datetime(2023, 12, 8, 21, 7, 42, 485046), datetime.datetime(2023, 12, 8, 21, 7, 42, 585226), datetime.datetime(2023, 12, 8, 21, 7, 42, 685376), datetime.datetime(2023, 12, 8, 21, 7, 42, 785546), datetime.datetime(2023, 12, 8, 21, 7, 42, 885776), datetime.datetime(2023, 12, 8, 21, 7, 42, 985926), datetime.datetime(2023, 12, 8, 21, 7, 43, 86056), datetime.datetime(2023, 12, 8, 21, 7, 43, 186186), datetime.datetime(2023, 12, 8, 21, 7, 43, 286356), datetime.datetime(2023, 12, 8, 21, 7, 43, 386486), datetime.datetime(2023, 12, 8, 21, 7, 43, 486636), datetime.datetime(2023, 12, 8, 21, 7, 43, 586836), datetime.datetime(2023, 12, 8, 21, 7, 43, 686966), datetime.datetime(2023, 12, 8, 21, 7, 43, 787136), datetime.datetime(2023, 12, 8, 21, 7, 43, 887326), datetime.datetime(2023, 12, 8, 21, 7, 43, 987566), datetime.datetime(2023, 12, 8, 21, 7, 44, 87756), datetime.datetime(2023, 12, 8, 21, 7, 44, 187956), datetime.datetime(2023, 12, 8, 21, 7, 44, 288096), datetime.datetime(2023, 12, 8, 21, 7, 44, 388316), datetime.datetime(2023, 12, 8, 21, 7, 44, 488516), datetime.datetime(2023, 12, 8, 21, 7, 44, 588716), datetime.datetime(2023, 12, 8, 21, 7, 44, 688846), datetime.datetime(2023, 12, 8, 21, 7, 44, 789056), datetime.datetime(2023, 12, 8, 21, 7, 44, 889246), datetime.datetime(2023, 12, 8, 21, 7, 44, 989376), datetime.datetime(2023, 12, 8, 21, 7, 45, 89506), datetime.datetime(2023, 12, 8, 21, 7, 45, 189656), datetime.datetime(2023, 12, 8, 21, 7, 45, 289866), datetime.datetime(2023, 12, 8, 21, 7, 45, 390096), datetime.datetime(2023, 12, 8, 21, 7, 45, 490316), datetime.datetime(2023, 12, 8, 21, 7, 45, 590546), datetime.datetime(2023, 12, 8, 21, 7, 45, 690836), datetime.datetime(2023, 12, 8, 21, 7, 45, 791076), datetime.datetime(2023, 12, 8, 21, 7, 45, 891226), datetime.datetime(2023, 12, 8, 21, 7, 45, 991506), datetime.datetime(2023, 12, 8, 21, 7, 46, 91686), datetime.datetime(2023, 12, 8, 21, 7, 46, 191896), datetime.datetime(2023, 12, 8, 21, 7, 46, 292096), datetime.datetime(2023, 12, 8, 21, 7, 46, 392256), datetime.datetime(2023, 12, 8, 21, 7, 46, 492486), datetime.datetime(2023, 12, 8, 21, 7, 46, 592696), datetime.datetime(2023, 12, 8, 21, 7, 46, 692826), datetime.datetime(2023, 12, 8, 21, 7, 46, 792986), datetime.datetime(2023, 12, 8, 21, 7, 46, 893216), datetime.datetime(2023, 12, 8, 21, 7, 46, 993396), datetime.datetime(2023, 12, 8, 21, 7, 47, 93606), datetime.datetime(2023, 12, 8, 21, 7, 47, 193836), datetime.datetime(2023, 12, 8, 21, 7, 47, 294106)]","[34.7836, 41.4369, 44.4477, 63.0293, 78.1774, 37.3475, 36.7381, 44.0854, 57.4957, 59.3271, 41.4084, 49.0436, 31.1967, 29.4611, 29.5208, 38.9533, 34.5047, 39.0558, 41.5433, 44.1956, 53.0195, 57.0138, 55.1062, 48.5, 52.8749, 49.9417, 52.6215, 57.4576, 72.891, 62.20399999999999, 48.3676, 83.8561, 55.9948, 36.1918, 43.7972, 61.1296, 58.6967, 40.0502, 53.6307, 37.1389, 30.9728, 34.8829, 42.8716, 35.1126, 41.3623, 43.6852, 39.1494, 46.4944, 53.4116, 52.4469, 44.0848, 50.2557, 50.6185, 51.356, 45.0587, 52.0373, 51.4439, 32.6189]"
,"[datetime.datetime(2023, 12, 8, 21, 8, 43, 324607), datetime.datetime(2023, 12, 8, 21, 8, 43, 424824), datetime.datetime(2023, 12, 8, 21, 8, 43, 524994), datetime.datetime(2023, 12, 8, 21, 8, 43, 625165), datetime.datetime(2023, 12, 8, 21, 8, 43, 725334), datetime.datetime(2023, 12, 8, 21, 8, 43, 825491), datetime.datetime(2023, 12, 8, 21, 8, 43, 925647), datetime.datetime(2023, 12, 8, 21, 8, 44, 25908), datetime.datetime(2023, 12, 8, 21, 8, 44, 126059), datetime.datetime(2023, 12, 8, 21, 8, 44, 226209), datetime.datetime(2023, 12, 8, 21, 8, 44, 326439), datetime.datetime(2023, 12, 8, 21, 8, 44, 426609), datetime.datetime(2023, 12, 8, 21, 8, 44, 526769), datetime.datetime(2023, 12, 8, 21, 8, 44, 627049), datetime.datetime(2023, 12, 8, 21, 8, 44, 727199), datetime.datetime(2023, 12, 8, 21, 8, 44, 827459), datetime.datetime(2023, 12, 8, 21, 8, 44, 927699), datetime.datetime(2023, 12, 8, 21, 8, 45, 27909), datetime.datetime(2023, 12, 8, 21, 8, 45, 128089), datetime.datetime(2023, 12, 8, 21, 8, 45, 228269), datetime.datetime(2023, 12, 8, 21, 8, 45, 328439), datetime.datetime(2023, 12, 8, 21, 8, 45, 428669), datetime.datetime(2023, 12, 8, 21, 8, 45, 528829), datetime.datetime(2023, 12, 8, 21, 8, 45, 629039), datetime.datetime(2023, 12, 8, 21, 8, 45, 729199), datetime.datetime(2023, 12, 8, 21, 8, 45, 829349), datetime.datetime(2023, 12, 8, 21, 8, 45, 929509), datetime.datetime(2023, 12, 8, 21, 8, 46, 29729), datetime.datetime(2023, 12, 8, 21, 8, 46, 129999), datetime.datetime(2023, 12, 8, 21, 8, 46, 230219), datetime.datetime(2023, 12, 8, 21, 8, 46, 330409), datetime.datetime(2023, 12, 8, 21, 8, 46, 430599), datetime.datetime(2023, 12, 8, 21, 8, 46, 530739), datetime.datetime(2023, 12, 8, 21, 8, 46, 630979), datetime.datetime(2023, 12, 8, 21, 8, 46, 731099), datetime.datetime(2023, 12, 8, 21, 8, 46, 831309), datetime.datetime(2023, 12, 8, 21, 8, 46, 931499), datetime.datetime(2023, 12, 8, 21, 8, 47, 31749)]","[32.2441, 38.1978, 66.7773, 39.0671, 32.7029, 33.9323, 22.8464, 19.0013, 22.2942, 25.5833, 21.0675, 28.1285, 38.6197, 46.067, 35.5042, 40.6631, 40.0302, 39.5414, 60.8164, 38.4635, 64.4918, 40.5736, 26.977, 35.0576, 25.1186, 19.347, 19.798, 23.8395, 20.4846, 21.4284, 37.2969, 48.5026, 41.0893, 38.3259, 35.6524, 36.1639, 37.4647, 29.8944]"
,"[datetime.datetime(2023, 12, 8, 21, 9, 29, 685488), datetime.datetime(2023, 12, 8, 21, 9, 29, 785685), datetime.datetime(2023, 12, 8, 21, 9, 29, 885943), datetime.datetime(2023, 12, 8, 21, 9, 29, 986142), datetime.datetime(2023, 12, 8, 21, 9, 30, 86348), datetime.datetime(2023, 12, 8, 21, 9, 30, 186557), datetime.datetime(2023, 12, 8, 21, 9, 30, 286773), datetime.datetime(2023, 12, 8, 21, 9, 30, 386993), datetime.datetime(2023, 12, 8, 21, 9, 30, 487226), datetime.datetime(2023, 12, 8, 21, 9, 30, 587456), datetime.datetime(2023, 12, 8, 21, 9, 30, 687666), datetime.datetime(2023, 12, 8, 21, 9, 30, 787836), datetime.datetime(2023, 12, 8, 21, 9, 30, 888006), datetime.datetime(2023, 12, 8, 21, 9, 30, 988276), datetime.datetime(2023, 12, 8, 21, 9, 31, 88456), datetime.datetime(2023, 12, 8, 21, 9, 31, 188616), datetime.datetime(2023, 12, 8, 21, 9, 31, 288846), datetime.datetime(2023, 12, 8, 21, 9, 31, 389086), datetime.datetime(2023, 12, 8, 21, 9, 31, 489326), datetime.datetime(2023, 12, 8, 21, 9, 31, 589466), datetime.datetime(2023, 12, 8, 21, 9, 31, 689646), datetime.datetime(2023, 12, 8, 21, 9, 31, 789846), datetime.datetime(2023, 12, 8, 21, 9, 31, 889986)]","[21.7448, 36.3255, 26.6056, 21.6476, 17.6498, 17.1833, 20.4009, 18.5822, 25.7961, 26.1057, 29.5781, 41.7984, 38.4211, 37.603, 24.3608, 18.7179, 18.8148, 19.9247, 18.9674, 28.9231, 25.4606, 30.0333, 27.3778]"
,"[datetime.datetime(2023, 12, 8, 21, 10, 4, 738662), datetime.datetime(2023, 12, 8, 21, 10, 4, 838830), datetime.datetime(2023, 12, 8, 21, 10, 4, 939101), datetime.datetime(2023, 12, 8, 21, 10, 5, 39377), datetime.datetime(2023, 12, 8, 21, 10, 5, 139647), datetime.datetime(2023, 12, 8, 21, 10, 5, 239955), datetime.datetime(2023, 12, 8, 21, 10, 5, 340207), datetime.datetime(2023, 12, 8, 21, 10, 5, 440387), datetime.datetime(2023, 12, 8, 21, 10, 5, 540640), datetime.datetime(2023, 12, 8, 21, 10, 5, 640910), datetime.datetime(2023, 12, 8, 21, 10, 5, 741180), datetime.datetime(2023, 12, 8, 21, 10, 5, 841510), datetime.datetime(2023, 12, 8, 21, 10, 5, 941720), datetime.datetime(2023, 12, 8, 21, 10, 6, 42000), datetime.datetime(2023, 12, 8, 21, 10, 6, 142200), datetime.datetime(2023, 12, 8, 21, 10, 6, 242510)]","[23.6786, 21.9114, 18.4936, 17.8956, 18.1298, 19.3125, 18.3297, 23.2144, 23.4964, 20.1091, 20.0581, 18.7735, 19.5084, 18.5427, 17.9645, 11.2382]"
,"[datetime.datetime(2023, 12, 8, 21, 10, 35, 476480), datetime.datetime(2023, 12, 8, 21, 10, 35, 576681), datetime.datetime(2023, 12, 8, 21, 10, 35, 676997), datetime.datetime(2023, 12, 8, 21, 10, 35, 777265), datetime.datetime(2023, 12, 8, 21, 10, 35, 877474), datetime.datetime(2023, 12, 8, 21, 10, 35, 977707), datetime.datetime(2023, 12, 8, 21, 10, 36, 77927), datetime.datetime(2023, 12, 8, 21, 10, 36, 178241)]","[20.2488, 21.4687, 21.1703, 19.2861, 23.3119, 21.7036, 20.2247, 11.8086]"
