vid,time,power
,"[datetime.datetime(2023, 12, 8, 21, 36, 33, 664501), datetime.datetime(2023, 12, 8, 21, 36, 33, 764749), datetime.datetime(2023, 12, 8, 21, 36, 33, 864990), datetime.datetime(2023, 12, 8, 21, 36, 33, 965243), datetime.datetime(2023, 12, 8, 21, 36, 34, 65558), datetime.datetime(2023, 12, 8, 21, 36, 34, 165743), datetime.datetime(2023, 12, 8, 21, 36, 34, 265956), datetime.datetime(2023, 12, 8, 21, 36, 34, 366196), datetime.datetime(2023, 12, 8, 21, 36, 34, 466413), datetime.datetime(2023, 12, 8, 21, 36, 34, 566663), datetime.datetime(2023, 12, 8, 21, 36, 34, 666873), datetime.datetime(2023, 12, 8, 21, 36, 34, 767083), datetime.datetime(2023, 12, 8, 21, 36, 34, 867233), datetime.datetime(2023, 12, 8, 21, 36, 34, 967433), datetime.datetime(2023, 12, 8, 21, 36, 35, 67613), datetime.datetime(2023, 12, 8, 21, 36, 35, 167803), datetime.datetime(2023, 12, 8, 21, 36, 35, 268023), datetime.datetime(2023, 12, 8, 21, 36, 35, 368243), datetime.datetime(2023, 12, 8, 21, 36, 35, 468363), datetime.datetime(2023, 12, 8, 21, 36, 35, 568513), datetime.datetime(2023, 12, 8, 21, 36, 35, 668693), datetime.datetime(2023, 12, 8, 21, 36, 37, 523843), datetime.datetime(2023, 12, 8, 21, 36, 37, 624023), datetime.datetime(2023, 12, 8, 21, 36, 37, 724203), datetime.datetime(2023, 12, 8, 21, 36, 37, 824393), datetime.datetime(2023, 12, 8, 21, 36, 37, 924573), datetime.datetime(2023, 12, 8, 21, 36, 38, 24793), datetime.datetime(2023, 12, 8, 21, 36, 38, 125043), datetime.datetime(2023, 12, 8, 21, 36, 38, 225293)]","[13.6007, 21.8647, 28.7941, 30.7584, 21.3323, 23.3138, 20.0696, 21.411, 19.9938, 26.5678, 30.5249, 27.5409, 45.6201, 41.7421, 36.711, 40.0988, 36.4444, 40.6241, 37.5601, 59.18600000000001, 53.2284, 11.8539, 43.1998, 42.8747, 47.9404, 43.3614, 42.2299, 38.1146, 16.3273]"
,"[datetime.datetime(2023, 12, 8, 21, 37, 14, 438164), datetime.datetime(2023, 12, 8, 21, 37, 14, 538464), datetime.datetime(2023, 12, 8, 21, 37, 14, 638634), datetime.datetime(2023, 12, 8, 21, 37, 14, 738874), datetime.datetime(2023, 12, 8, 21, 37, 15, 820994), datetime.datetime(2023, 12, 8, 21, 37, 15, 921204), datetime.datetime(2023, 12, 8, 21, 37, 16, 21364), datetime.datetime(2023, 12, 8, 21, 37, 16, 121564), datetime.datetime(2023, 12, 8, 21, 37, 16, 221744), datetime.datetime(2023, 12, 8, 21, 37, 16, 321944), datetime.datetime(2023, 12, 8, 21, 37, 16, 422164), datetime.datetime(2023, 12, 8, 21, 37, 16, 522324), datetime.datetime(2023, 12, 8, 21, 37, 16, 622544), datetime.datetime(2023, 12, 8, 21, 37, 16, 722734), datetime.datetime(2023, 12, 8, 21, 37, 16, 822924), datetime.datetime(2023, 12, 8, 21, 37, 16, 923114), datetime.datetime(2023, 12, 8, 21, 37, 17, 23364)]","[13.5176, 25.592, 28.8303, 37.2913, 13.7658, 22.6185, 23.583, 29.4443, 26.6507, 27.8335, 29.8395, 42.8784, 43.1713, 35.008, 39.0688, 39.0059, 23.996]"
,"[datetime.datetime(2023, 12, 8, 21, 37, 51, 449903), datetime.datetime(2023, 12, 8, 21, 37, 51, 550071), datetime.datetime(2023, 12, 8, 21, 37, 51, 650215), datetime.datetime(2023, 12, 8, 21, 37, 51, 750430), datetime.datetime(2023, 12, 8, 21, 37, 51, 850649), datetime.datetime(2023, 12, 8, 21, 37, 51, 950928), datetime.datetime(2023, 12, 8, 21, 37, 52, 51163), datetime.datetime(2023, 12, 8, 21, 37, 52, 151405), datetime.datetime(2023, 12, 8, 21, 37, 52, 251696), datetime.datetime(2023, 12, 8, 21, 37, 52, 351876), datetime.datetime(2023, 12, 8, 21, 37, 53, 431336), datetime.datetime(2023, 12, 8, 21, 37, 53, 531606), datetime.datetime(2023, 12, 8, 21, 37, 53, 631896)]","[14.5825, 26.3638, 37.1365, 31.4418, 28.3473, 33.1801, 20.9548, 24.2145, 21.2569, 21.8371, 14.1683, 22.0032, 11.9621]"
,"[datetime.datetime(2023, 12, 8, 21, 38, 26, 759960), datetime.datetime(2023, 12, 8, 21, 38, 26, 860122), datetime.datetime(2023, 12, 8, 21, 38, 26, 960344), datetime.datetime(2023, 12, 8, 21, 38, 27, 60553), datetime.datetime(2023, 12, 8, 21, 38, 27, 160714), datetime.datetime(2023, 12, 8, 21, 38, 27, 260916), datetime.datetime(2023, 12, 8, 21, 38, 27, 361096), datetime.datetime(2023, 12, 8, 21, 38, 27, 461294), datetime.datetime(2023, 12, 8, 21, 38, 27, 561516), datetime.datetime(2023, 12, 8, 21, 38, 27, 661706), datetime.datetime(2023, 12, 8, 21, 38, 27, 761946)]","[14.8694, 26.1381, 34.2532, 29.96, 32.5142, 29.3724, 22.2817, 21.2208, 27.1561, 23.0541, 15.5728]"
,"[datetime.datetime(2023, 12, 8, 21, 39, 3, 328716), datetime.datetime(2023, 12, 8, 21, 39, 3, 428914), datetime.datetime(2023, 12, 8, 21, 39, 3, 529117), datetime.datetime(2023, 12, 8, 21, 39, 3, 629287), datetime.datetime(2023, 12, 8, 21, 39, 3, 729456), datetime.datetime(2023, 12, 8, 21, 39, 3, 829618), datetime.datetime(2023, 12, 8, 21, 39, 3, 929782), datetime.datetime(2023, 12, 8, 21, 39, 4, 29958)]","[14.7118, 27.2781, 36.8277, 39.5025, 36.2705, 26.2977, 32.0251, 22.4946]"
,"[datetime.datetime(2023, 12, 8, 21, 39, 51, 969870), datetime.datetime(2023, 12, 8, 21, 39, 52, 70070), datetime.datetime(2023, 12, 8, 21, 39, 52, 170346), datetime.datetime(2023, 12, 8, 21, 39, 52, 270663), datetime.datetime(2023, 12, 8, 21, 39, 52, 370923), datetime.datetime(2023, 12, 8, 21, 39, 52, 471214), datetime.datetime(2023, 12, 8, 21, 39, 52, 571474), datetime.datetime(2023, 12, 8, 21, 39, 52, 671716), datetime.datetime(2023, 12, 8, 21, 39, 52, 771966), datetime.datetime(2023, 12, 8, 21, 39, 52, 872166), datetime.datetime(2023, 12, 8, 21, 39, 52, 972356), datetime.datetime(2023, 12, 8, 21, 39, 53, 72556), datetime.datetime(2023, 12, 8, 21, 39, 53, 172726), datetime.datetime(2023, 12, 8, 21, 39, 53, 272946), datetime.datetime(2023, 12, 8, 21, 39, 53, 373106), datetime.datetime(2023, 12, 8, 21, 39, 53, 473316), datetime.datetime(2023, 12, 8, 21, 39, 53, 573586), datetime.datetime(2023, 12, 8, 21, 39, 53, 673786), datetime.datetime(2023, 12, 8, 21, 39, 53, 773986), datetime.datetime(2023, 12, 8, 21, 39, 53, 874216), datetime.datetime(2023, 12, 8, 21, 39, 53, 974446), datetime.datetime(2023, 12, 8, 21, 39, 54, 74726), datetime.datetime(2023, 12, 8, 21, 39, 54, 174916), datetime.datetime(2023, 12, 8, 21, 39, 54, 275106), datetime.datetime(2023, 12, 8, 21, 39, 54, 375356), datetime.datetime(2023, 12, 8, 21, 39, 54, 475616), datetime.datetime(2023, 12, 8, 21, 39, 54, 575916), datetime.datetime(2023, 12, 8, 21, 39, 54, 676206), datetime.datetime(2023, 12, 8, 21, 39, 54, 776446), datetime.datetime(2023, 12, 8, 21, 39, 54, 876606), datetime.datetime(2023, 12, 8, 21, 39, 54, 976836), datetime.datetime(2023, 12, 8, 21, 39, 55, 77106), datetime.datetime(2023, 12, 8, 21, 39, 55, 177336), datetime.datetime(2023, 12, 8, 21, 39, 55, 277606), datetime.datetime(2023, 12, 8, 21, 39, 56, 316646), datetime.datetime(2023, 12, 8, 21, 39, 56, 416876), datetime.datetime(2023, 12, 8, 21, 39, 56, 517096), datetime.datetime(2023, 12, 8, 21, 39, 56, 617376), datetime.datetime(2023, 12, 8, 21, 39, 56, 717606), datetime.datetime(2023, 12, 8, 21, 39, 56, 817886), datetime.datetime(2023, 12, 8, 21, 39, 56, 918166)]","[18.0613, 25.9667, 18.5207, 19.0844, 18.1005, 18.2446, 19.9652, 17.7214, 29.8926, 23.6799, 23.3131, 21.4399, 21.4323, 25.6565, 37.8993, 36.063, 28.2164, 28.4788, 29.1528, 27.4724, 27.5303, 24.4288, 23.7921, 19.6463, 18.8733, 16.7186, 17.8517, 20.071, 16.6316, 26.5611, 25.1739, 24.1324, 24.1033, 26.8432, 17.2754, 25.4482, 28.6824, 26.6427, 25.964, 22.8862, 17.8894]"
,"[datetime.datetime(2023, 12, 8, 21, 40, 37, 645324), datetime.datetime(2023, 12, 8, 21, 40, 37, 745553), datetime.datetime(2023, 12, 8, 21, 40, 37, 845740), datetime.datetime(2023, 12, 8, 21, 40, 37, 945913), datetime.datetime(2023, 12, 8, 21, 40, 38, 46078), datetime.datetime(2023, 12, 8, 21, 40, 38, 146250), datetime.datetime(2023, 12, 8, 21, 40, 38, 246463), datetime.datetime(2023, 12, 8, 21, 40, 38, 346668), datetime.datetime(2023, 12, 8, 21, 40, 38, 446871), datetime.datetime(2023, 12, 8, 21, 40, 38, 547111), datetime.datetime(2023, 12, 8, 21, 40, 38, 647371), datetime.datetime(2023, 12, 8, 21, 40, 38, 747651), datetime.datetime(2023, 12, 8, 21, 40, 38, 847901), datetime.datetime(2023, 12, 8, 21, 40, 38, 948141), datetime.datetime(2023, 12, 8, 21, 40, 39, 48331), datetime.datetime(2023, 12, 8, 21, 40, 39, 148531), datetime.datetime(2023, 12, 8, 21, 40, 39, 248821), datetime.datetime(2023, 12, 8, 21, 40, 39, 349031), datetime.datetime(2023, 12, 8, 21, 40, 39, 449311), datetime.datetime(2023, 12, 8, 21, 40, 39, 549651), datetime.datetime(2023, 12, 8, 21, 40, 39, 649881), datetime.datetime(2023, 12, 8, 21, 40, 39, 750071), datetime.datetime(2023, 12, 8, 21, 40, 39, 850331), datetime.datetime(2023, 12, 8, 21, 40, 39, 950631), datetime.datetime(2023, 12, 8, 21, 40, 40, 50841), datetime.datetime(2023, 12, 8, 21, 40, 40, 151111), datetime.datetime(2023, 12, 8, 21, 40, 40, 251401), datetime.datetime(2023, 12, 8, 21, 40, 40, 351681), datetime.datetime(2023, 12, 8, 21, 40, 40, 451941), datetime.datetime(2023, 12, 8, 21, 40, 40, 552211), datetime.datetime(2023, 12, 8, 21, 40, 40, 652501)]","[17.7578, 25.0239, 18.659, 18.5159, 15.3391, 15.4434, 18.299, 15.534, 15.7619, 16.5376, 25.3509, 19.2407, 18.3522, 17.5981, 19.5702, 19.8115, 23.4677, 18.4143, 18.0131, 14.6713, 17.0507, 17.4388, 15.8237, 16.0096, 18.9433, 22.1201, 18.7297, 16.3499, 16.8231, 16.3455, 10.4361]"
,"[datetime.datetime(2023, 12, 8, 21, 41, 16, 267307), datetime.datetime(2023, 12, 8, 21, 41, 16, 367504), datetime.datetime(2023, 12, 8, 21, 41, 16, 467787), datetime.datetime(2023, 12, 8, 21, 41, 16, 568134), datetime.datetime(2023, 12, 8, 21, 41, 16, 668348), datetime.datetime(2023, 12, 8, 21, 41, 16, 768679), datetime.datetime(2023, 12, 8, 21, 41, 16, 868859), datetime.datetime(2023, 12, 8, 21, 41, 16, 969121), datetime.datetime(2023, 12, 8, 21, 41, 17, 69381), datetime.datetime(2023, 12, 8, 21, 41, 17, 169581), datetime.datetime(2023, 12, 8, 21, 41, 17, 269801), datetime.datetime(2023, 12, 8, 21, 41, 17, 370111), datetime.datetime(2023, 12, 8, 21, 41, 17, 470361), datetime.datetime(2023, 12, 8, 21, 41, 17, 570571), datetime.datetime(2023, 12, 8, 21, 41, 17, 670841), datetime.datetime(2023, 12, 8, 21, 41, 17, 771111), datetime.datetime(2023, 12, 8, 21, 41, 17, 871301), datetime.datetime(2023, 12, 8, 21, 41, 17, 971561), datetime.datetime(2023, 12, 8, 21, 41, 18, 71811), datetime.datetime(2023, 12, 8, 21, 41, 18, 172121)]","[18.0019, 25.4016, 20.1152, 17.5551, 15.9455, 15.2748, 15.1461, 17.4098, 15.57, 18.9341, 22.8382, 20.554, 20.0013, 15.7561, 14.8852, 15.2276, 19.2905, 16.1305, 15.5026, 10.6878]"
,"[datetime.datetime(2023, 12, 8, 21, 41, 59, 644388), datetime.datetime(2023, 12, 8, 21, 41, 59, 744660), datetime.datetime(2023, 12, 8, 21, 41, 59, 844860), datetime.datetime(2023, 12, 8, 21, 41, 59, 945173), datetime.datetime(2023, 12, 8, 21, 42, 0, 45410), datetime.datetime(2023, 12, 8, 21, 42, 0, 145656), datetime.datetime(2023, 12, 8, 21, 42, 0, 245971), datetime.datetime(2023, 12, 8, 21, 42, 0, 346200), datetime.datetime(2023, 12, 8, 21, 42, 0, 446440), datetime.datetime(2023, 12, 8, 21, 42, 0, 546690), datetime.datetime(2023, 12, 8, 21, 42, 0, 646980), datetime.datetime(2023, 12, 8, 21, 42, 0, 747220), datetime.datetime(2023, 12, 8, 21, 42, 0, 847520)]","[18.4796, 27.0949, 22.661, 18.2692, 18.895, 18.3856, 21.6195, 26.0414, 21.782, 19.1025, 17.6267, 19.533, 16.2617]"
,"[datetime.datetime(2023, 12, 8, 21, 42, 34, 933449), datetime.datetime(2023, 12, 8, 21, 42, 35, 33681), datetime.datetime(2023, 12, 8, 21, 42, 35, 133988), datetime.datetime(2023, 12, 8, 21, 42, 35, 234221), datetime.datetime(2023, 12, 8, 21, 42, 35, 334445), datetime.datetime(2023, 12, 8, 21, 42, 35, 434704), datetime.datetime(2023, 12, 8, 21, 42, 35, 534915), datetime.datetime(2023, 12, 8, 21, 42, 35, 635201), datetime.datetime(2023, 12, 8, 21, 42, 35, 735449), datetime.datetime(2023, 12, 8, 21, 42, 35, 835779), datetime.datetime(2023, 12, 8, 21, 42, 35, 936079)]","[17.6277, 24.5116, 23.9225, 18.4044, 20.3274, 23.1736, 23.8175, 22.9106, 19.9258, 19.8626, 11.6866]"
