vid,time,power
,"[datetime.datetime(2023, 12, 8, 23, 24, 53, 86860), datetime.datetime(2023, 12, 8, 23, 24, 53, 187056), datetime.datetime(2023, 12, 8, 23, 24, 53, 287232), datetime.datetime(2023, 12, 8, 23, 24, 53, 387356), datetime.datetime(2023, 12, 8, 23, 24, 53, 487477), datetime.datetime(2023, 12, 8, 23, 24, 53, 587628), datetime.datetime(2023, 12, 8, 23, 24, 53, 687790), datetime.datetime(2023, 12, 8, 23, 24, 53, 788062), datetime.datetime(2023, 12, 8, 23, 24, 53, 888241), datetime.datetime(2023, 12, 8, 23, 24, 53, 988481), datetime.datetime(2023, 12, 8, 23, 24, 54, 88641), datetime.datetime(2023, 12, 8, 23, 24, 54, 188831), datetime.datetime(2023, 12, 8, 23, 24, 54, 289011), datetime.datetime(2023, 12, 8, 23, 24, 54, 389201), datetime.datetime(2023, 12, 8, 23, 24, 54, 489351), datetime.datetime(2023, 12, 8, 23, 24, 54, 589481), datetime.datetime(2023, 12, 8, 23, 24, 54, 689661), datetime.datetime(2023, 12, 8, 23, 24, 54, 789801), datetime.datetime(2023, 12, 8, 23, 24, 54, 889941), datetime.datetime(2023, 12, 8, 23, 24, 54, 990081), datetime.datetime(2023, 12, 8, 23, 24, 55, 90211), datetime.datetime(2023, 12, 8, 23, 24, 55, 190341), datetime.datetime(2023, 12, 8, 23, 24, 55, 290561), datetime.datetime(2023, 12, 8, 23, 24, 55, 390801), datetime.datetime(2023, 12, 8, 23, 24, 55, 490941), datetime.datetime(2023, 12, 8, 23, 24, 55, 591051), datetime.datetime(2023, 12, 8, 23, 24, 55, 691181), datetime.datetime(2023, 12, 8, 23, 24, 55, 791321), datetime.datetime(2023, 12, 8, 23, 24, 55, 891451), datetime.datetime(2023, 12, 8, 23, 24, 55, 991581), datetime.datetime(2023, 12, 8, 23, 24, 56, 91721), datetime.datetime(2023, 12, 8, 23, 24, 56, 191851), datetime.datetime(2023, 12, 8, 23, 24, 56, 291981), datetime.datetime(2023, 12, 8, 23, 24, 56, 392161), datetime.datetime(2023, 12, 8, 23, 24, 56, 492391), datetime.datetime(2023, 12, 8, 23, 24, 56, 592551), datetime.datetime(2023, 12, 8, 23, 24, 56, 692731), datetime.datetime(2023, 12, 8, 23, 24, 56, 792911), datetime.datetime(2023, 12, 8, 23, 24, 56, 893091), datetime.datetime(2023, 12, 8, 23, 24, 56, 993261), datetime.datetime(2023, 12, 8, 23, 24, 57, 93431), datetime.datetime(2023, 12, 8, 23, 24, 57, 193641)]","[42.7675, 39.3522, 35.2882, 38.7435, 61.7106, 58.9351, 47.7992, 45.3576, 56.9934, 62.0551, 63.8524, 76.8227, 55.1874, 56.4286, 62.5807, 72.0724, 73.5619, 76.8471, 63.5865, 63.2915, 63.8922, 85.6042, 53.7979, 51.2272, 46.8062, 86.4349, 65.6957, 66.8482, 71.6217, 78.7194, 77.4862, 60.959, 68.8134, 89.5236, 63.1885, 49.2893, 62.0873, 57.4977, 62.0575, 55.8036, 68.2645, 59.1934]"
,"[datetime.datetime(2023, 12, 8, 23, 25, 51, 854891), datetime.datetime(2023, 12, 8, 23, 25, 51, 955089), datetime.datetime(2023, 12, 8, 23, 25, 52, 55273), datetime.datetime(2023, 12, 8, 23, 25, 52, 155458), datetime.datetime(2023, 12, 8, 23, 25, 52, 255651), datetime.datetime(2023, 12, 8, 23, 25, 52, 355851), datetime.datetime(2023, 12, 8, 23, 25, 52, 455976), datetime.datetime(2023, 12, 8, 23, 25, 52, 556159), datetime.datetime(2023, 12, 8, 23, 25, 52, 656321), datetime.datetime(2023, 12, 8, 23, 25, 52, 756491), datetime.datetime(2023, 12, 8, 23, 25, 52, 856601), datetime.datetime(2023, 12, 8, 23, 25, 52, 956781), datetime.datetime(2023, 12, 8, 23, 25, 53, 56961), datetime.datetime(2023, 12, 8, 23, 25, 53, 157191), datetime.datetime(2023, 12, 8, 23, 25, 53, 257431), datetime.datetime(2023, 12, 8, 23, 25, 53, 357591), datetime.datetime(2023, 12, 8, 23, 25, 53, 457721), datetime.datetime(2023, 12, 8, 23, 25, 53, 557881), datetime.datetime(2023, 12, 8, 23, 25, 53, 658011), datetime.datetime(2023, 12, 8, 23, 25, 53, 758131), datetime.datetime(2023, 12, 8, 23, 25, 53, 858291), datetime.datetime(2023, 12, 8, 23, 25, 53, 958481)]","[28.0248, 26.5295, 35.2428, 26.5195, 37.2018, 47.8785, 45.4163, 45.4162, 39.3006, 40.7104, 47.7354, 50.1414, 41.5294, 50.6793, 56.2368, 63.3148, 72.3547, 48.9686, 42.011, 47.9516, 39.3341, 33.9964]"
,"[datetime.datetime(2023, 12, 8, 23, 26, 30, 658818), datetime.datetime(2023, 12, 8, 23, 26, 30, 758983), datetime.datetime(2023, 12, 8, 23, 26, 30, 859162), datetime.datetime(2023, 12, 8, 23, 26, 30, 959344), datetime.datetime(2023, 12, 8, 23, 26, 31, 59580), datetime.datetime(2023, 12, 8, 23, 26, 31, 159840), datetime.datetime(2023, 12, 8, 23, 26, 31, 260012), datetime.datetime(2023, 12, 8, 23, 26, 31, 360276), datetime.datetime(2023, 12, 8, 23, 26, 31, 460539), datetime.datetime(2023, 12, 8, 23, 26, 31, 560699), datetime.datetime(2023, 12, 8, 23, 26, 31, 660889), datetime.datetime(2023, 12, 8, 23, 26, 31, 761019), datetime.datetime(2023, 12, 8, 23, 26, 31, 861159), datetime.datetime(2023, 12, 8, 23, 26, 31, 961409), datetime.datetime(2023, 12, 8, 23, 26, 32, 61689)]","[18.4765, 21.8237, 24.2602, 28.5966, 25.8521, 29.6702, 28.1797, 30.0123, 23.1857, 30.7461, 42.2128, 38.1775, 34.1355, 27.7376, 11.6946]"
,"[datetime.datetime(2023, 12, 8, 23, 27, 3, 355143), datetime.datetime(2023, 12, 8, 23, 27, 3, 455346), datetime.datetime(2023, 12, 8, 23, 27, 3, 555597), datetime.datetime(2023, 12, 8, 23, 27, 3, 655825), datetime.datetime(2023, 12, 8, 23, 27, 3, 756042), datetime.datetime(2023, 12, 8, 23, 27, 3, 856287), datetime.datetime(2023, 12, 8, 23, 27, 3, 956499), datetime.datetime(2023, 12, 8, 23, 27, 4, 56718), datetime.datetime(2023, 12, 8, 23, 27, 4, 156889), datetime.datetime(2023, 12, 8, 23, 27, 4, 257069), datetime.datetime(2023, 12, 8, 23, 27, 4, 357319), datetime.datetime(2023, 12, 8, 23, 27, 4, 457539)]","[16.1746, 21.5225, 22.9831, 23.5523, 23.3466, 23.4338, 30.1065, 30.661, 31.6554, 33.885, 25.1774, 13.1592]"
,"[datetime.datetime(2023, 12, 8, 23, 27, 35, 251148), datetime.datetime(2023, 12, 8, 23, 27, 35, 351327), datetime.datetime(2023, 12, 8, 23, 27, 35, 451485), datetime.datetime(2023, 12, 8, 23, 27, 35, 551637), datetime.datetime(2023, 12, 8, 23, 27, 35, 651787), datetime.datetime(2023, 12, 8, 23, 27, 35, 751995), datetime.datetime(2023, 12, 8, 23, 27, 35, 852232), datetime.datetime(2023, 12, 8, 23, 27, 35, 952515)]","[14.4493, 28.553, 41.2184, 39.2488, 34.7519, 39.2342, 33.7232, 25.5143]"
,"[datetime.datetime(2023, 12, 8, 23, 28, 54, 54927), datetime.datetime(2023, 12, 8, 23, 28, 54, 155111), datetime.datetime(2023, 12, 8, 23, 28, 54, 255295), datetime.datetime(2023, 12, 8, 23, 28, 54, 355493), datetime.datetime(2023, 12, 8, 23, 28, 54, 455720), datetime.datetime(2023, 12, 8, 23, 28, 54, 555914), datetime.datetime(2023, 12, 8, 23, 28, 54, 656085), datetime.datetime(2023, 12, 8, 23, 28, 54, 756266), datetime.datetime(2023, 12, 8, 23, 28, 54, 856456), datetime.datetime(2023, 12, 8, 23, 28, 54, 956606), datetime.datetime(2023, 12, 8, 23, 28, 55, 56756), datetime.datetime(2023, 12, 8, 23, 28, 55, 156906), datetime.datetime(2023, 12, 8, 23, 28, 55, 257056), datetime.datetime(2023, 12, 8, 23, 28, 55, 357206), datetime.datetime(2023, 12, 8, 23, 28, 55, 457406), datetime.datetime(2023, 12, 8, 23, 28, 55, 557636), datetime.datetime(2023, 12, 8, 23, 28, 55, 657846), datetime.datetime(2023, 12, 8, 23, 28, 55, 758016), datetime.datetime(2023, 12, 8, 23, 28, 55, 858256), datetime.datetime(2023, 12, 8, 23, 28, 55, 958426), datetime.datetime(2023, 12, 8, 23, 28, 56, 58576), datetime.datetime(2023, 12, 8, 23, 28, 56, 158806), datetime.datetime(2023, 12, 8, 23, 28, 56, 259036), datetime.datetime(2023, 12, 8, 23, 28, 56, 359216), datetime.datetime(2023, 12, 8, 23, 28, 56, 459406), datetime.datetime(2023, 12, 8, 23, 28, 56, 559616), datetime.datetime(2023, 12, 8, 23, 28, 56, 659856), datetime.datetime(2023, 12, 8, 23, 28, 56, 759986), datetime.datetime(2023, 12, 8, 23, 28, 56, 860126), datetime.datetime(2023, 12, 8, 23, 28, 56, 960286), datetime.datetime(2023, 12, 8, 23, 28, 57, 60436), datetime.datetime(2023, 12, 8, 23, 28, 57, 160576), datetime.datetime(2023, 12, 8, 23, 28, 57, 260716), datetime.datetime(2023, 12, 8, 23, 28, 57, 360926), datetime.datetime(2023, 12, 8, 23, 28, 57, 461076), datetime.datetime(2023, 12, 8, 23, 28, 57, 561256), datetime.datetime(2023, 12, 8, 23, 28, 57, 661416), datetime.datetime(2023, 12, 8, 23, 28, 57, 761566), datetime.datetime(2023, 12, 8, 23, 28, 57, 861766), datetime.datetime(2023, 12, 8, 23, 28, 57, 961986), datetime.datetime(2023, 12, 8, 23, 28, 58, 62196), datetime.datetime(2023, 12, 8, 23, 28, 58, 162436), datetime.datetime(2023, 12, 8, 23, 28, 58, 262596), datetime.datetime(2023, 12, 8, 23, 28, 58, 362796), datetime.datetime(2023, 12, 8, 23, 28, 58, 462976), datetime.datetime(2023, 12, 8, 23, 28, 58, 563136), datetime.datetime(2023, 12, 8, 23, 28, 58, 663276), datetime.datetime(2023, 12, 8, 23, 28, 58, 763486), datetime.datetime(2023, 12, 8, 23, 28, 58, 863756), datetime.datetime(2023, 12, 8, 23, 28, 58, 963936), datetime.datetime(2023, 12, 8, 23, 28, 59, 64166), datetime.datetime(2023, 12, 8, 23, 28, 59, 164376), datetime.datetime(2023, 12, 8, 23, 28, 59, 264576), datetime.datetime(2023, 12, 8, 23, 28, 59, 364796), datetime.datetime(2023, 12, 8, 23, 28, 59, 464946), datetime.datetime(2023, 12, 8, 23, 28, 59, 565136), datetime.datetime(2023, 12, 8, 23, 28, 59, 665306), datetime.datetime(2023, 12, 8, 23, 28, 59, 765426), datetime.datetime(2023, 12, 8, 23, 28, 59, 865586), datetime.datetime(2023, 12, 8, 23, 28, 59, 965766), datetime.datetime(2023, 12, 8, 23, 29, 0, 65956), datetime.datetime(2023, 12, 8, 23, 29, 0, 166196), datetime.datetime(2023, 12, 8, 23, 29, 0, 266426), datetime.datetime(2023, 12, 8, 23, 29, 0, 366596), datetime.datetime(2023, 12, 8, 23, 29, 0, 466776), datetime.datetime(2023, 12, 8, 23, 29, 0, 566946), datetime.datetime(2023, 12, 8, 23, 29, 0, 667206)]","[26.588, 22.232, 31.9407, 33.104, 24.4044, 30.6205, 40.2297, 38.9895, 31.9102, 35.8741, 38.8512, 45.2198, 42.0392, 51.0639, 57.7275, 29.7583, 27.0871, 24.3289, 33.3108, 35.8365, 57.3311, 47.108, 34.6831, 45.1491, 59.7838, 49.9761, 32.0849, 36.7062, 40.3254, 38.451, 37.6661, 38.6212, 49.6593, 56.1734, 25.989, 33.6594, 30.626, 24.5818, 37.796, 46.4459, 35.316, 32.399, 36.9536, 36.2147, 40.921, 43.1239, 55.0043, 53.24, 27.9225, 19.6669, 27.5536, 36.7954, 43.3201, 56.2039, 46.3662, 39.8015, 43.5428, 62.7742, 46.3061, 41.121, 41.1184, 41.6511, 42.5412, 35.81800000000001, 39.2286, 42.453, 26.8932]"
,"[datetime.datetime(2023, 12, 8, 23, 29, 53, 795175), datetime.datetime(2023, 12, 8, 23, 29, 53, 895456), datetime.datetime(2023, 12, 8, 23, 29, 53, 995704), datetime.datetime(2023, 12, 8, 23, 29, 54, 95943), datetime.datetime(2023, 12, 8, 23, 29, 54, 196235), datetime.datetime(2023, 12, 8, 23, 29, 54, 296450), datetime.datetime(2023, 12, 8, 23, 29, 54, 396653), datetime.datetime(2023, 12, 8, 23, 29, 54, 496864), datetime.datetime(2023, 12, 8, 23, 29, 54, 597189), datetime.datetime(2023, 12, 8, 23, 29, 54, 697439), datetime.datetime(2023, 12, 8, 23, 29, 54, 797629), datetime.datetime(2023, 12, 8, 23, 29, 54, 897899), datetime.datetime(2023, 12, 8, 23, 29, 54, 998199), datetime.datetime(2023, 12, 8, 23, 29, 55, 98409), datetime.datetime(2023, 12, 8, 23, 29, 55, 198669), datetime.datetime(2023, 12, 8, 23, 29, 55, 298879), datetime.datetime(2023, 12, 8, 23, 29, 55, 399139), datetime.datetime(2023, 12, 8, 23, 29, 55, 499349), datetime.datetime(2023, 12, 8, 23, 29, 55, 599589), datetime.datetime(2023, 12, 8, 23, 29, 55, 699839), datetime.datetime(2023, 12, 8, 23, 29, 55, 800119), datetime.datetime(2023, 12, 8, 23, 29, 55, 900309), datetime.datetime(2023, 12, 8, 23, 29, 56, 609), datetime.datetime(2023, 12, 8, 23, 29, 56, 100779), datetime.datetime(2023, 12, 8, 23, 29, 56, 201069), datetime.datetime(2023, 12, 8, 23, 29, 56, 301279), datetime.datetime(2023, 12, 8, 23, 29, 56, 401449), datetime.datetime(2023, 12, 8, 23, 29, 56, 501659), datetime.datetime(2023, 12, 8, 23, 29, 56, 601829), datetime.datetime(2023, 12, 8, 23, 29, 56, 702109), datetime.datetime(2023, 12, 8, 23, 29, 56, 802419), datetime.datetime(2023, 12, 8, 23, 29, 56, 902689), datetime.datetime(2023, 12, 8, 23, 29, 57, 2969), datetime.datetime(2023, 12, 8, 23, 29, 57, 103269)]","[18.0811, 19.681, 17.7368, 19.414, 16.9062, 18.4235, 24.3268, 28.1949, 16.3876, 19.8582, 24.9787, 20.7573, 27.3456, 18.7776, 19.2468, 19.5149, 21.0304, 17.9083, 18.9014, 18.1305, 20.0492, 20.81, 20.8453, 25.3032, 23.5513, 16.2403, 22.0673, 23.8979, 20.7986, 30.4424, 20.4998, 18.0593, 18.7454, 14.2088]"
,"[datetime.datetime(2023, 12, 8, 23, 30, 37, 685105), datetime.datetime(2023, 12, 8, 23, 30, 37, 785318), datetime.datetime(2023, 12, 8, 23, 30, 37, 885527), datetime.datetime(2023, 12, 8, 23, 30, 37, 985764), datetime.datetime(2023, 12, 8, 23, 30, 38, 85984), datetime.datetime(2023, 12, 8, 23, 30, 38, 186167), datetime.datetime(2023, 12, 8, 23, 30, 38, 286420), datetime.datetime(2023, 12, 8, 23, 30, 38, 386721), datetime.datetime(2023, 12, 8, 23, 30, 38, 486895), datetime.datetime(2023, 12, 8, 23, 30, 38, 587175), datetime.datetime(2023, 12, 8, 23, 30, 38, 687375), datetime.datetime(2023, 12, 8, 23, 30, 38, 787595), datetime.datetime(2023, 12, 8, 23, 30, 38, 887805), datetime.datetime(2023, 12, 8, 23, 30, 38, 988055), datetime.datetime(2023, 12, 8, 23, 30, 39, 88315), datetime.datetime(2023, 12, 8, 23, 30, 39, 188515), datetime.datetime(2023, 12, 8, 23, 30, 39, 288795), datetime.datetime(2023, 12, 8, 23, 30, 39, 389025), datetime.datetime(2023, 12, 8, 23, 30, 39, 489305)]","[19.702, 17.5548, 18.999, 19.1173, 19.9999, 17.3109, 19.9605, 19.2657, 18.0976, 18.1185, 19.3222, 18.6943, 18.6371, 21.2175, 16.0249, 20.3465, 19.7278, 18.8424, 14.2084]"
,"[datetime.datetime(2023, 12, 8, 23, 31, 14, 269923), datetime.datetime(2023, 12, 8, 23, 31, 14, 370124), datetime.datetime(2023, 12, 8, 23, 31, 14, 470353), datetime.datetime(2023, 12, 8, 23, 31, 14, 570675), datetime.datetime(2023, 12, 8, 23, 31, 14, 670911), datetime.datetime(2023, 12, 8, 23, 31, 14, 771105), datetime.datetime(2023, 12, 8, 23, 31, 14, 871289), datetime.datetime(2023, 12, 8, 23, 31, 14, 971571), datetime.datetime(2023, 12, 8, 23, 31, 15, 71878), datetime.datetime(2023, 12, 8, 23, 31, 15, 172148), datetime.datetime(2023, 12, 8, 23, 31, 15, 272378), datetime.datetime(2023, 12, 8, 23, 31, 15, 372558), datetime.datetime(2023, 12, 8, 23, 31, 15, 472838), datetime.datetime(2023, 12, 8, 23, 31, 15, 573148)]","[19.0187, 18.9737, 20.6424, 19.0701, 19.7051, 21.3423, 19.8213, 20.0022, 19.6782, 19.6592, 19.2104, 21.9762, 21.8559, 10.4805]"
,"[datetime.datetime(2023, 12, 8, 23, 31, 49, 686310), datetime.datetime(2023, 12, 8, 23, 31, 49, 786505), datetime.datetime(2023, 12, 8, 23, 31, 49, 886704), datetime.datetime(2023, 12, 8, 23, 31, 49, 986913), datetime.datetime(2023, 12, 8, 23, 31, 50, 87194), datetime.datetime(2023, 12, 8, 23, 31, 50, 187400), datetime.datetime(2023, 12, 8, 23, 31, 50, 287617), datetime.datetime(2023, 12, 8, 23, 31, 50, 387857), datetime.datetime(2023, 12, 8, 23, 31, 50, 488120), datetime.datetime(2023, 12, 8, 23, 31, 50, 588430)]","[18.773, 23.8591, 20.8399, 23.6749, 22.8478, 23.1378, 23.3825, 23.8874, 22.4885, 12.2389]"
